"location","age_group","forecast_date","target_end_date","target","type","quantile","value","pathogen"
"DE","00+","2022-03-20","2022-02-20","-28 day ahead inc hosp","quantile",0.5,9738,"COVID-19"
"DE","00+","2022-03-20","2022-02-21","-27 day ahead inc hosp","quantile",0.5,9793,"COVID-19"
"DE","00+","2022-03-20","2022-02-22","-26 day ahead inc hosp","quantile",0.5,9865,"COVID-19"
"DE","00+","2022-03-20","2022-02-23","-25 day ahead inc hosp","quantile",0.5,9769,"COVID-19"
"DE","00+","2022-03-20","2022-02-24","-24 day ahead inc hosp","quantile",0.5,9709,"COVID-19"
"DE","00+","2022-03-20","2022-02-25","-23 day ahead inc hosp","quantile",0.5,9591,"COVID-19"
"DE","00+","2022-03-20","2022-02-26","-22 day ahead inc hosp","quantile",0.5,9503,"COVID-19"
"DE","00+","2022-03-20","2022-02-27","-21 day ahead inc hosp","quantile",0.5,9483,"COVID-19"
"DE","00+","2022-03-20","2022-02-28","-20 day ahead inc hosp","quantile",0.5,9376,"COVID-19"
"DE","00+","2022-03-20","2022-03-01","-19 day ahead inc hosp","quantile",0.5,9157,"COVID-19"
"DE","00+","2022-03-20","2022-03-02","-18 day ahead inc hosp","quantile",0.5,8998,"COVID-19"
"DE","00+","2022-03-20","2022-03-03","-17 day ahead inc hosp","quantile",0.5,8969,"COVID-19"
"DE","00+","2022-03-20","2022-03-04","-16 day ahead inc hosp","quantile",0.5,8950,"COVID-19"
"DE","00+","2022-03-20","2022-03-05","-15 day ahead inc hosp","quantile",0.5,8956,"COVID-19"
"DE","00+","2022-03-20","2022-03-06","-14 day ahead inc hosp","quantile",0.5,8898,"COVID-19"
"DE","00+","2022-03-20","2022-03-07","-13 day ahead inc hosp","quantile",0.5,8946.5,"COVID-19"
"DE","00+","2022-03-20","2022-03-08","-12 day ahead inc hosp","quantile",0.5,9089,"COVID-19"
"DE","00+","2022-03-20","2022-03-09","-11 day ahead inc hosp","quantile",0.5,9390,"COVID-19"
"DE","00+","2022-03-20","2022-03-10","-10 day ahead inc hosp","quantile",0.5,9528,"COVID-19"
"DE","00+","2022-03-20","2022-03-11","-9 day ahead inc hosp","quantile",0.5,9713,"COVID-19"
"DE","00+","2022-03-20","2022-03-12","-8 day ahead inc hosp","quantile",0.5,9840,"COVID-19"
"DE","00+","2022-03-20","2022-03-13","-7 day ahead inc hosp","quantile",0.5,9917,"COVID-19"
"DE","00+","2022-03-20","2022-03-14","-6 day ahead inc hosp","quantile",0.5,9989,"COVID-19"
"DE","00+","2022-03-20","2022-03-15","-5 day ahead inc hosp","quantile",0.5,10322,"COVID-19"
"DE","00+","2022-03-20","2022-03-16","-4 day ahead inc hosp","quantile",0.5,10361,"COVID-19"
"DE","00+","2022-03-20","2022-03-17","-3 day ahead inc hosp","quantile",0.5,10356.5,"COVID-19"
"DE","00+","2022-03-20","2022-03-18","-2 day ahead inc hosp","quantile",0.5,10208,"COVID-19"
"DE","00+","2022-03-20","2022-03-19","-1 day ahead inc hosp","quantile",0.5,10146,"COVID-19"
"DE","00+","2022-03-20","2022-03-20","0 day ahead inc hosp","quantile",0.5,10064,"COVID-19"
"DE","00-04","2022-03-20","2022-02-20","-28 day ahead inc hosp","quantile",0.5,394,"COVID-19"
"DE","00-04","2022-03-20","2022-02-21","-27 day ahead inc hosp","quantile",0.5,399,"COVID-19"
"DE","00-04","2022-03-20","2022-02-22","-26 day ahead inc hosp","quantile",0.5,387,"COVID-19"
"DE","00-04","2022-03-20","2022-02-23","-25 day ahead inc hosp","quantile",0.5,368,"COVID-19"
"DE","00-04","2022-03-20","2022-02-24","-24 day ahead inc hosp","quantile",0.5,371,"COVID-19"
"DE","00-04","2022-03-20","2022-02-25","-23 day ahead inc hosp","quantile",0.5,379,"COVID-19"
"DE","00-04","2022-03-20","2022-02-26","-22 day ahead inc hosp","quantile",0.5,367,"COVID-19"
"DE","00-04","2022-03-20","2022-02-27","-21 day ahead inc hosp","quantile",0.5,369,"COVID-19"
"DE","00-04","2022-03-20","2022-02-28","-20 day ahead inc hosp","quantile",0.5,358,"COVID-19"
"DE","00-04","2022-03-20","2022-03-01","-19 day ahead inc hosp","quantile",0.5,358,"COVID-19"
"DE","00-04","2022-03-20","2022-03-02","-18 day ahead inc hosp","quantile",0.5,364,"COVID-19"
"DE","00-04","2022-03-20","2022-03-03","-17 day ahead inc hosp","quantile",0.5,376,"COVID-19"
"DE","00-04","2022-03-20","2022-03-04","-16 day ahead inc hosp","quantile",0.5,351,"COVID-19"
"DE","00-04","2022-03-20","2022-03-05","-15 day ahead inc hosp","quantile",0.5,345,"COVID-19"
"DE","00-04","2022-03-20","2022-03-06","-14 day ahead inc hosp","quantile",0.5,343,"COVID-19"
"DE","00-04","2022-03-20","2022-03-07","-13 day ahead inc hosp","quantile",0.5,354,"COVID-19"
"DE","00-04","2022-03-20","2022-03-08","-12 day ahead inc hosp","quantile",0.5,362,"COVID-19"
"DE","00-04","2022-03-20","2022-03-09","-11 day ahead inc hosp","quantile",0.5,365,"COVID-19"
"DE","00-04","2022-03-20","2022-03-10","-10 day ahead inc hosp","quantile",0.5,358,"COVID-19"
"DE","00-04","2022-03-20","2022-03-11","-9 day ahead inc hosp","quantile",0.5,377,"COVID-19"
"DE","00-04","2022-03-20","2022-03-12","-8 day ahead inc hosp","quantile",0.5,400,"COVID-19"
"DE","00-04","2022-03-20","2022-03-13","-7 day ahead inc hosp","quantile",0.5,425,"COVID-19"
"DE","00-04","2022-03-20","2022-03-14","-6 day ahead inc hosp","quantile",0.5,421,"COVID-19"
"DE","00-04","2022-03-20","2022-03-15","-5 day ahead inc hosp","quantile",0.5,454,"COVID-19"
"DE","00-04","2022-03-20","2022-03-16","-4 day ahead inc hosp","quantile",0.5,455,"COVID-19"
"DE","00-04","2022-03-20","2022-03-17","-3 day ahead inc hosp","quantile",0.5,454,"COVID-19"
"DE","00-04","2022-03-20","2022-03-18","-2 day ahead inc hosp","quantile",0.5,453,"COVID-19"
"DE","00-04","2022-03-20","2022-03-19","-1 day ahead inc hosp","quantile",0.5,441,"COVID-19"
"DE","00-04","2022-03-20","2022-03-20","0 day ahead inc hosp","quantile",0.5,431,"COVID-19"
"DE","05-14","2022-03-20","2022-02-20","-28 day ahead inc hosp","quantile",0.5,319,"COVID-19"
"DE","05-14","2022-03-20","2022-02-21","-27 day ahead inc hosp","quantile",0.5,318,"COVID-19"
"DE","05-14","2022-03-20","2022-02-22","-26 day ahead inc hosp","quantile",0.5,320,"COVID-19"
"DE","05-14","2022-03-20","2022-02-23","-25 day ahead inc hosp","quantile",0.5,315,"COVID-19"
"DE","05-14","2022-03-20","2022-02-24","-24 day ahead inc hosp","quantile",0.5,294,"COVID-19"
"DE","05-14","2022-03-20","2022-02-25","-23 day ahead inc hosp","quantile",0.5,286,"COVID-19"
"DE","05-14","2022-03-20","2022-02-26","-22 day ahead inc hosp","quantile",0.5,275,"COVID-19"
"DE","05-14","2022-03-20","2022-02-27","-21 day ahead inc hosp","quantile",0.5,259,"COVID-19"
"DE","05-14","2022-03-20","2022-02-28","-20 day ahead inc hosp","quantile",0.5,254,"COVID-19"
"DE","05-14","2022-03-20","2022-03-01","-19 day ahead inc hosp","quantile",0.5,234,"COVID-19"
"DE","05-14","2022-03-20","2022-03-02","-18 day ahead inc hosp","quantile",0.5,216,"COVID-19"
"DE","05-14","2022-03-20","2022-03-03","-17 day ahead inc hosp","quantile",0.5,229,"COVID-19"
"DE","05-14","2022-03-20","2022-03-04","-16 day ahead inc hosp","quantile",0.5,234,"COVID-19"
"DE","05-14","2022-03-20","2022-03-05","-15 day ahead inc hosp","quantile",0.5,235,"COVID-19"
"DE","05-14","2022-03-20","2022-03-06","-14 day ahead inc hosp","quantile",0.5,235,"COVID-19"
"DE","05-14","2022-03-20","2022-03-07","-13 day ahead inc hosp","quantile",0.5,244,"COVID-19"
"DE","05-14","2022-03-20","2022-03-08","-12 day ahead inc hosp","quantile",0.5,270,"COVID-19"
"DE","05-14","2022-03-20","2022-03-09","-11 day ahead inc hosp","quantile",0.5,273,"COVID-19"
"DE","05-14","2022-03-20","2022-03-10","-10 day ahead inc hosp","quantile",0.5,275,"COVID-19"
"DE","05-14","2022-03-20","2022-03-11","-9 day ahead inc hosp","quantile",0.5,272,"COVID-19"
"DE","05-14","2022-03-20","2022-03-12","-8 day ahead inc hosp","quantile",0.5,274,"COVID-19"
"DE","05-14","2022-03-20","2022-03-13","-7 day ahead inc hosp","quantile",0.5,282,"COVID-19"
"DE","05-14","2022-03-20","2022-03-14","-6 day ahead inc hosp","quantile",0.5,277,"COVID-19"
"DE","05-14","2022-03-20","2022-03-15","-5 day ahead inc hosp","quantile",0.5,283,"COVID-19"
"DE","05-14","2022-03-20","2022-03-16","-4 day ahead inc hosp","quantile",0.5,304,"COVID-19"
"DE","05-14","2022-03-20","2022-03-17","-3 day ahead inc hosp","quantile",0.5,302,"COVID-19"
"DE","05-14","2022-03-20","2022-03-18","-2 day ahead inc hosp","quantile",0.5,295,"COVID-19"
"DE","05-14","2022-03-20","2022-03-19","-1 day ahead inc hosp","quantile",0.5,293,"COVID-19"
"DE","05-14","2022-03-20","2022-03-20","0 day ahead inc hosp","quantile",0.5,302,"COVID-19"
"DE","15-34","2022-03-20","2022-02-20","-28 day ahead inc hosp","quantile",0.5,1172,"COVID-19"
"DE","15-34","2022-03-20","2022-02-21","-27 day ahead inc hosp","quantile",0.5,1164,"COVID-19"
"DE","15-34","2022-03-20","2022-02-22","-26 day ahead inc hosp","quantile",0.5,1145,"COVID-19"
"DE","15-34","2022-03-20","2022-02-23","-25 day ahead inc hosp","quantile",0.5,1115,"COVID-19"
"DE","15-34","2022-03-20","2022-02-24","-24 day ahead inc hosp","quantile",0.5,1122,"COVID-19"
"DE","15-34","2022-03-20","2022-02-25","-23 day ahead inc hosp","quantile",0.5,1112,"COVID-19"
"DE","15-34","2022-03-20","2022-02-26","-22 day ahead inc hosp","quantile",0.5,1096,"COVID-19"
"DE","15-34","2022-03-20","2022-02-27","-21 day ahead inc hosp","quantile",0.5,1082,"COVID-19"
"DE","15-34","2022-03-20","2022-02-28","-20 day ahead inc hosp","quantile",0.5,1065,"COVID-19"
"DE","15-34","2022-03-20","2022-03-01","-19 day ahead inc hosp","quantile",0.5,1021,"COVID-19"
"DE","15-34","2022-03-20","2022-03-02","-18 day ahead inc hosp","quantile",0.5,999,"COVID-19"
"DE","15-34","2022-03-20","2022-03-03","-17 day ahead inc hosp","quantile",0.5,991,"COVID-19"
"DE","15-34","2022-03-20","2022-03-04","-16 day ahead inc hosp","quantile",0.5,983,"COVID-19"
"DE","15-34","2022-03-20","2022-03-05","-15 day ahead inc hosp","quantile",0.5,1004,"COVID-19"
"DE","15-34","2022-03-20","2022-03-06","-14 day ahead inc hosp","quantile",0.5,1028,"COVID-19"
"DE","15-34","2022-03-20","2022-03-07","-13 day ahead inc hosp","quantile",0.5,1060,"COVID-19"
"DE","15-34","2022-03-20","2022-03-08","-12 day ahead inc hosp","quantile",0.5,1077,"COVID-19"
"DE","15-34","2022-03-20","2022-03-09","-11 day ahead inc hosp","quantile",0.5,1121,"COVID-19"
"DE","15-34","2022-03-20","2022-03-10","-10 day ahead inc hosp","quantile",0.5,1134.5,"COVID-19"
"DE","15-34","2022-03-20","2022-03-11","-9 day ahead inc hosp","quantile",0.5,1166,"COVID-19"
"DE","15-34","2022-03-20","2022-03-12","-8 day ahead inc hosp","quantile",0.5,1160,"COVID-19"
"DE","15-34","2022-03-20","2022-03-13","-7 day ahead inc hosp","quantile",0.5,1170,"COVID-19"
"DE","15-34","2022-03-20","2022-03-14","-6 day ahead inc hosp","quantile",0.5,1187,"COVID-19"
"DE","15-34","2022-03-20","2022-03-15","-5 day ahead inc hosp","quantile",0.5,1223,"COVID-19"
"DE","15-34","2022-03-20","2022-03-16","-4 day ahead inc hosp","quantile",0.5,1208,"COVID-19"
"DE","15-34","2022-03-20","2022-03-17","-3 day ahead inc hosp","quantile",0.5,1170,"COVID-19"
"DE","15-34","2022-03-20","2022-03-18","-2 day ahead inc hosp","quantile",0.5,1117,"COVID-19"
"DE","15-34","2022-03-20","2022-03-19","-1 day ahead inc hosp","quantile",0.5,1084.5,"COVID-19"
"DE","15-34","2022-03-20","2022-03-20","0 day ahead inc hosp","quantile",0.5,1026,"COVID-19"
"DE","35-59","2022-03-20","2022-02-20","-28 day ahead inc hosp","quantile",0.5,1902,"COVID-19"
"DE","35-59","2022-03-20","2022-02-21","-27 day ahead inc hosp","quantile",0.5,1914,"COVID-19"
"DE","35-59","2022-03-20","2022-02-22","-26 day ahead inc hosp","quantile",0.5,1920,"COVID-19"
"DE","35-59","2022-03-20","2022-02-23","-25 day ahead inc hosp","quantile",0.5,1915,"COVID-19"
"DE","35-59","2022-03-20","2022-02-24","-24 day ahead inc hosp","quantile",0.5,1851,"COVID-19"
"DE","35-59","2022-03-20","2022-02-25","-23 day ahead inc hosp","quantile",0.5,1839.5,"COVID-19"
"DE","35-59","2022-03-20","2022-02-26","-22 day ahead inc hosp","quantile",0.5,1806,"COVID-19"
"DE","35-59","2022-03-20","2022-02-27","-21 day ahead inc hosp","quantile",0.5,1793,"COVID-19"
"DE","35-59","2022-03-20","2022-02-28","-20 day ahead inc hosp","quantile",0.5,1761,"COVID-19"
