forecast_date,target,target_end_date,location,age_group,type,quantile,value,pathogen
2022-01-27,-28 day ahead inc hosp,2021-12-30,DE,00-04,quantile,0.025,88,COVID-19
2022-01-27,-28 day ahead inc hosp,2021-12-30,DE,00-04,quantile,0.1,89,COVID-19
2022-01-27,-28 day ahead inc hosp,2021-12-30,DE,00-04,quantile,0.25,90,COVID-19
2022-01-27,-28 day ahead inc hosp,2021-12-30,DE,00-04,quantile,0.5,91,COVID-19
2022-01-27,-28 day ahead inc hosp,2021-12-30,DE,00-04,quantile,0.75,92,COVID-19
2022-01-27,-28 day ahead inc hosp,2021-12-30,DE,00-04,quantile,0.9,93,COVID-19
2022-01-27,-28 day ahead inc hosp,2021-12-30,DE,00-04,quantile,0.975,93,COVID-19
2022-01-27,-28 day ahead inc hosp,2021-12-30,DE,00+,quantile,0.025,5040,COVID-19
2022-01-27,-28 day ahead inc hosp,2021-12-30,DE,00+,quantile,0.1,5069,COVID-19
2022-01-27,-28 day ahead inc hosp,2021-12-30,DE,00+,quantile,0.25,5103,COVID-19
2022-01-27,-28 day ahead inc hosp,2021-12-30,DE,00+,quantile,0.5,5155,COVID-19
2022-01-27,-28 day ahead inc hosp,2021-12-30,DE,00+,quantile,0.75,5224,COVID-19
2022-01-27,-28 day ahead inc hosp,2021-12-30,DE,00+,quantile,0.9,5306,COVID-19
2022-01-27,-28 day ahead inc hosp,2021-12-30,DE,00+,quantile,0.975,5428,COVID-19
2022-01-27,-28 day ahead inc hosp,2021-12-30,DE,05-14,quantile,0.025,79,COVID-19
2022-01-27,-28 day ahead inc hosp,2021-12-30,DE,05-14,quantile,0.1,81,COVID-19
2022-01-27,-28 day ahead inc hosp,2021-12-30,DE,05-14,quantile,0.25,83,COVID-19
2022-01-27,-28 day ahead inc hosp,2021-12-30,DE,05-14,quantile,0.5,85,COVID-19
2022-01-27,-28 day ahead inc hosp,2021-12-30,DE,05-14,quantile,0.75,87,COVID-19
2022-01-27,-28 day ahead inc hosp,2021-12-30,DE,05-14,quantile,0.9,89,COVID-19
2022-01-27,-28 day ahead inc hosp,2021-12-30,DE,05-14,quantile,0.975,91,COVID-19
2022-01-27,-28 day ahead inc hosp,2021-12-30,DE,15-34,quantile,0.025,539,COVID-19
2022-01-27,-28 day ahead inc hosp,2021-12-30,DE,15-34,quantile,0.1,541,COVID-19
2022-01-27,-28 day ahead inc hosp,2021-12-30,DE,15-34,quantile,0.25,545,COVID-19
2022-01-27,-28 day ahead inc hosp,2021-12-30,DE,15-34,quantile,0.5,550,COVID-19
2022-01-27,-28 day ahead inc hosp,2021-12-30,DE,15-34,quantile,0.75,560,COVID-19
2022-01-27,-28 day ahead inc hosp,2021-12-30,DE,15-34,quantile,0.9,573,COVID-19
2022-01-27,-28 day ahead inc hosp,2021-12-30,DE,15-34,quantile,0.975,597,COVID-19
2022-01-27,-28 day ahead inc hosp,2021-12-30,DE,35-59,quantile,0.025,1303,COVID-19
2022-01-27,-28 day ahead inc hosp,2021-12-30,DE,35-59,quantile,0.1,1313,COVID-19
2022-01-27,-28 day ahead inc hosp,2021-12-30,DE,35-59,quantile,0.25,1325,COVID-19
2022-01-27,-28 day ahead inc hosp,2021-12-30,DE,35-59,quantile,0.5,1346,COVID-19
2022-01-27,-28 day ahead inc hosp,2021-12-30,DE,35-59,quantile,0.75,1378,COVID-19
2022-01-27,-28 day ahead inc hosp,2021-12-30,DE,35-59,quantile,0.9,1420,COVID-19
2022-01-27,-28 day ahead inc hosp,2021-12-30,DE,35-59,quantile,0.975,1490,COVID-19
2022-01-27,-28 day ahead inc hosp,2021-12-30,DE,60-79,quantile,0.025,1722,COVID-19
2022-01-27,-28 day ahead inc hosp,2021-12-30,DE,60-79,quantile,0.1,1732,COVID-19
2022-01-27,-28 day ahead inc hosp,2021-12-30,DE,60-79,quantile,0.25,1743,COVID-19
2022-01-27,-28 day ahead inc hosp,2021-12-30,DE,60-79,quantile,0.5,1758,COVID-19
2022-01-27,-28 day ahead inc hosp,2021-12-30,DE,60-79,quantile,0.75,1778,COVID-19
2022-01-27,-28 day ahead inc hosp,2021-12-30,DE,60-79,quantile,0.9,1801,COVID-19
2022-01-27,-28 day ahead inc hosp,2021-12-30,DE,60-79,quantile,0.975,1834,COVID-19
2022-01-27,-28 day ahead inc hosp,2021-12-30,DE,80+,quantile,0.025,1296,COVID-19
2022-01-27,-28 day ahead inc hosp,2021-12-30,DE,80+,quantile,0.1,1303,COVID-19
2022-01-27,-28 day ahead inc hosp,2021-12-30,DE,80+,quantile,0.25,1311,COVID-19
2022-01-27,-28 day ahead inc hosp,2021-12-30,DE,80+,quantile,0.5,1324,COVID-19
2022-01-27,-28 day ahead inc hosp,2021-12-30,DE,80+,quantile,0.75,1343,COVID-19
2022-01-27,-28 day ahead inc hosp,2021-12-30,DE,80+,quantile,0.9,1367,COVID-19
2022-01-27,-28 day ahead inc hosp,2021-12-30,DE,80+,quantile,0.975,1405,COVID-19
2022-01-27,-27 day ahead inc hosp,2021-12-31,DE,00-04,quantile,0.025,94,COVID-19
2022-01-27,-27 day ahead inc hosp,2021-12-31,DE,00-04,quantile,0.1,95,COVID-19
2022-01-27,-27 day ahead inc hosp,2021-12-31,DE,00-04,quantile,0.25,96,COVID-19
2022-01-27,-27 day ahead inc hosp,2021-12-31,DE,00-04,quantile,0.5,97,COVID-19
2022-01-27,-27 day ahead inc hosp,2021-12-31,DE,00-04,quantile,0.75,99,COVID-19
