"location","age_group","forecast_date","target_end_date","target","type","quantile","value","pathogen"
"DE","00+",2022-05-13,2022-05-13,"0 day ahead inc hosp","mean",NA,6262,"COVID-19"
"DE","00+",2022-05-13,2022-05-13,"0 day ahead inc hosp","quantile",0.025,4699,"COVID-19"
"DE","00+",2022-05-13,2022-05-13,"0 day ahead inc hosp","quantile",0.1,5128,"COVID-19"
"DE","00+",2022-05-13,2022-05-13,"0 day ahead inc hosp","quantile",0.25,5580,"COVID-19"
"DE","00+",2022-05-13,2022-05-13,"0 day ahead inc hosp","quantile",0.5,6163,"COVID-19"
"DE","00+",2022-05-13,2022-05-13,"0 day ahead inc hosp","quantile",0.75,6836,"COVID-19"
"DE","00+",2022-05-13,2022-05-13,"0 day ahead inc hosp","quantile",0.9,7523,"COVID-19"
"DE","00+",2022-05-13,2022-05-13,"0 day ahead inc hosp","quantile",0.975,8385,"COVID-19"
"DE","00+",2022-05-13,2022-05-12,"-1 day ahead inc hosp","mean",NA,6143,"COVID-19"
"DE","00+",2022-05-13,2022-05-12,"-1 day ahead inc hosp","quantile",0.025,4882,"COVID-19"
"DE","00+",2022-05-13,2022-05-12,"-1 day ahead inc hosp","quantile",0.1,5229,"COVID-19"
"DE","00+",2022-05-13,2022-05-12,"-1 day ahead inc hosp","quantile",0.25,5594,"COVID-19"
"DE","00+",2022-05-13,2022-05-12,"-1 day ahead inc hosp","quantile",0.5,6064,"COVID-19"
"DE","00+",2022-05-13,2022-05-12,"-1 day ahead inc hosp","quantile",0.75,6607,"COVID-19"
"DE","00+",2022-05-13,2022-05-12,"-1 day ahead inc hosp","quantile",0.9,7161,"COVID-19"
"DE","00+",2022-05-13,2022-05-12,"-1 day ahead inc hosp","quantile",0.975,7855,"COVID-19"
"DE","00+",2022-05-13,2022-05-11,"-2 day ahead inc hosp","mean",NA,6160,"COVID-19"
"DE","00+",2022-05-13,2022-05-11,"-2 day ahead inc hosp","quantile",0.025,5122,"COVID-19"
"DE","00+",2022-05-13,2022-05-11,"-2 day ahead inc hosp","quantile",0.1,5411,"COVID-19"
"DE","00+",2022-05-13,2022-05-11,"-2 day ahead inc hosp","quantile",0.25,5713,"COVID-19"
"DE","00+",2022-05-13,2022-05-11,"-2 day ahead inc hosp","quantile",0.5,6098,"COVID-19"
"DE","00+",2022-05-13,2022-05-11,"-2 day ahead inc hosp","quantile",0.75,6540,"COVID-19"
"DE","00+",2022-05-13,2022-05-11,"-2 day ahead inc hosp","quantile",0.9,6988,"COVID-19"
"DE","00+",2022-05-13,2022-05-11,"-2 day ahead inc hosp","quantile",0.975,7546,"COVID-19"
"DE","00+",2022-05-13,2022-05-10,"-3 day ahead inc hosp","mean",NA,6067,"COVID-19"
"DE","00+",2022-05-13,2022-05-10,"-3 day ahead inc hosp","quantile",0.025,5269,"COVID-19"
"DE","00+",2022-05-13,2022-05-10,"-3 day ahead inc hosp","quantile",0.1,5497,"COVID-19"
"DE","00+",2022-05-13,2022-05-10,"-3 day ahead inc hosp","quantile",0.25,5730,"COVID-19"
"DE","00+",2022-05-13,2022-05-10,"-3 day ahead inc hosp","quantile",0.5,6024,"COVID-19"
"DE","00+",2022-05-13,2022-05-10,"-3 day ahead inc hosp","quantile",0.75,6357,"COVID-19"
"DE","00+",2022-05-13,2022-05-10,"-3 day ahead inc hosp","quantile",0.9,6691,"COVID-19"
"DE","00+",2022-05-13,2022-05-10,"-3 day ahead inc hosp","quantile",0.975,7104,"COVID-19"
"DE","00+",2022-05-13,2022-05-09,"-4 day ahead inc hosp","mean",NA,5763,"COVID-19"
"DE","00+",2022-05-13,2022-05-09,"-4 day ahead inc hosp","quantile",0.025,5173,"COVID-19"
"DE","00+",2022-05-13,2022-05-09,"-4 day ahead inc hosp","quantile",0.1,5343,"COVID-19"
"DE","00+",2022-05-13,2022-05-09,"-4 day ahead inc hosp","quantile",0.25,5516,"COVID-19"
"DE","00+",2022-05-13,2022-05-09,"-4 day ahead inc hosp","quantile",0.5,5733,"COVID-19"
"DE","00+",2022-05-13,2022-05-09,"-4 day ahead inc hosp","quantile",0.75,5977,"COVID-19"
"DE","00+",2022-05-13,2022-05-09,"-4 day ahead inc hosp","quantile",0.9,6221,"COVID-19"
"DE","00+",2022-05-13,2022-05-09,"-4 day ahead inc hosp","quantile",0.975,6522,"COVID-19"
"DE","00+",2022-05-13,2022-05-08,"-5 day ahead inc hosp","mean",NA,5828,"COVID-19"
"DE","00+",2022-05-13,2022-05-08,"-5 day ahead inc hosp","quantile",0.025,5260,"COVID-19"
"DE","00+",2022-05-13,2022-05-08,"-5 day ahead inc hosp","quantile",0.1,5425,"COVID-19"
"DE","00+",2022-05-13,2022-05-08,"-5 day ahead inc hosp","quantile",0.25,5592,"COVID-19"
"DE","00+",2022-05-13,2022-05-08,"-5 day ahead inc hosp","quantile",0.5,5800,"COVID-19"
"DE","00+",2022-05-13,2022-05-08,"-5 day ahead inc hosp","quantile",0.75,6035,"COVID-19"
"DE","00+",2022-05-13,2022-05-08,"-5 day ahead inc hosp","quantile",0.9,6268,"COVID-19"
"DE","00+",2022-05-13,2022-05-08,"-5 day ahead inc hosp","quantile",0.975,6556,"COVID-19"
"DE","00+",2022-05-13,2022-05-07,"-6 day ahead inc hosp","mean",NA,5877,"COVID-19"
"DE","00+",2022-05-13,2022-05-07,"-6 day ahead inc hosp","quantile",0.025,5323,"COVID-19"
"DE","00+",2022-05-13,2022-05-07,"-6 day ahead inc hosp","quantile",0.1,5483,"COVID-19"
"DE","00+",2022-05-13,2022-05-07,"-6 day ahead inc hosp","quantile",0.25,5646,"COVID-19"
"DE","00+",2022-05-13,2022-05-07,"-6 day ahead inc hosp","quantile",0.5,5849,"COVID-19"
"DE","00+",2022-05-13,2022-05-07,"-6 day ahead inc hosp","quantile",0.75,6078,"COVID-19"
"DE","00+",2022-05-13,2022-05-07,"-6 day ahead inc hosp","quantile",0.9,6307,"COVID-19"
"DE","00+",2022-05-13,2022-05-07,"-6 day ahead inc hosp","quantile",0.975,6588,"COVID-19"
"DE","00+",2022-05-13,2022-05-06,"-7 day ahead inc hosp","mean",NA,5973,"COVID-19"
"DE","00+",2022-05-13,2022-05-06,"-7 day ahead inc hosp","quantile",0.025,5455,"COVID-19"
"DE","00+",2022-05-13,2022-05-06,"-7 day ahead inc hosp","quantile",0.1,5604,"COVID-19"
"DE","00+",2022-05-13,2022-05-06,"-7 day ahead inc hosp","quantile",0.25,5756,"COVID-19"
"DE","00+",2022-05-13,2022-05-06,"-7 day ahead inc hosp","quantile",0.5,5947,"COVID-19"
"DE","00+",2022-05-13,2022-05-06,"-7 day ahead inc hosp","quantile",0.75,6162,"COVID-19"
"DE","00+",2022-05-13,2022-05-06,"-7 day ahead inc hosp","quantile",0.9,6377,"COVID-19"
"DE","00+",2022-05-13,2022-05-06,"-7 day ahead inc hosp","quantile",0.975,6641,"COVID-19"
"DE","00+",2022-05-13,2022-05-05,"-8 day ahead inc hosp","mean",NA,5995,"COVID-19"
"DE","00+",2022-05-13,2022-05-05,"-8 day ahead inc hosp","quantile",0.025,5508,"COVID-19"
"DE","00+",2022-05-13,2022-05-05,"-8 day ahead inc hosp","quantile",0.1,5647,"COVID-19"
"DE","00+",2022-05-13,2022-05-05,"-8 day ahead inc hosp","quantile",0.25,5790,"COVID-19"
"DE","00+",2022-05-13,2022-05-05,"-8 day ahead inc hosp","quantile",0.5,5969,"COVID-19"
"DE","00+",2022-05-13,2022-05-05,"-8 day ahead inc hosp","quantile",0.75,6173,"COVID-19"
"DE","00+",2022-05-13,2022-05-05,"-8 day ahead inc hosp","quantile",0.9,6377,"COVID-19"
"DE","00+",2022-05-13,2022-05-05,"-8 day ahead inc hosp","quantile",0.975,6630,"COVID-19"
"DE","00+",2022-05-13,2022-05-04,"-9 day ahead inc hosp","mean",NA,6090,"COVID-19"
"DE","00+",2022-05-13,2022-05-04,"-9 day ahead inc hosp","quantile",0.025,5624,"COVID-19"
"DE","00+",2022-05-13,2022-05-04,"-9 day ahead inc hosp","quantile",0.1,5755,"COVID-19"
"DE","00+",2022-05-13,2022-05-04,"-9 day ahead inc hosp","quantile",0.25,5891,"COVID-19"
"DE","00+",2022-05-13,2022-05-04,"-9 day ahead inc hosp","quantile",0.5,6063,"COVID-19"
"DE","00+",2022-05-13,2022-05-04,"-9 day ahead inc hosp","quantile",0.75,6260,"COVID-19"
"DE","00+",2022-05-13,2022-05-04,"-9 day ahead inc hosp","quantile",0.9,6458,"COVID-19"
"DE","00+",2022-05-13,2022-05-04,"-9 day ahead inc hosp","quantile",0.975,6705,"COVID-19"
"DE","00+",2022-05-13,2022-05-03,"-10 day ahead inc hosp","mean",NA,6140,"COVID-19"
"DE","00+",2022-05-13,2022-05-03,"-10 day ahead inc hosp","quantile",0.025,5704,"COVID-19"
"DE","00+",2022-05-13,2022-05-03,"-10 day ahead inc hosp","quantile",0.1,5825,"COVID-19"
