location,age_group,forecast_date,target_end_date,target,type,quantile,value,pathogen
DE,00-04,2023-02-20,2023-02-20,0 day ahead inc hosp,mean,,162.6,COVID-19
DE,05-14,2023-02-20,2023-02-20,0 day ahead inc hosp,mean,,51.6,COVID-19
DE,15-34,2023-02-20,2023-02-20,0 day ahead inc hosp,mean,,601.2,COVID-19
DE,35-59,2023-02-20,2023-02-20,0 day ahead inc hosp,mean,,1305.5,COVID-19
DE,60-79,2023-02-20,2023-02-20,0 day ahead inc hosp,mean,,3172.4,COVID-19
DE,80+,2023-02-20,2023-02-20,0 day ahead inc hosp,mean,,3570.8,COVID-19
DE,00+,2023-02-20,2023-02-20,0 day ahead inc hosp,mean,,8864.0,COVID-19
DE,00-04,2023-02-20,2023-02-19,-1 day ahead inc hosp,mean,,169.8,COVID-19
DE,05-14,2023-02-20,2023-02-19,-1 day ahead inc hosp,mean,,52.8,COVID-19
DE,15-34,2023-02-20,2023-02-19,-1 day ahead inc hosp,mean,,630.4,COVID-19
DE,35-59,2023-02-20,2023-02-19,-1 day ahead inc hosp,mean,,1342.3,COVID-19
DE,60-79,2023-02-20,2023-02-19,-1 day ahead inc hosp,mean,,3248.6,COVID-19
DE,80+,2023-02-20,2023-02-19,-1 day ahead inc hosp,mean,,3707.9,COVID-19
DE,00+,2023-02-20,2023-02-19,-1 day ahead inc hosp,mean,,9151.8,COVID-19
DE,00-04,2023-02-20,2023-02-18,-2 day ahead inc hosp,mean,,176.2,COVID-19
DE,05-14,2023-02-20,2023-02-18,-2 day ahead inc hosp,mean,,56.6,COVID-19
DE,15-34,2023-02-20,2023-02-18,-2 day ahead inc hosp,mean,,652.4,COVID-19
DE,35-59,2023-02-20,2023-02-18,-2 day ahead inc hosp,mean,,1386.8,COVID-19
DE,60-79,2023-02-20,2023-02-18,-2 day ahead inc hosp,mean,,3352.9,COVID-19
DE,80+,2023-02-20,2023-02-18,-2 day ahead inc hosp,mean,,3845.4,COVID-19
DE,00+,2023-02-20,2023-02-18,-2 day ahead inc hosp,mean,,9470.3,COVID-19
DE,00-04,2023-02-20,2023-02-17,-3 day ahead inc hosp,mean,,177.8,COVID-19
DE,05-14,2023-02-20,2023-02-17,-3 day ahead inc hosp,mean,,67.8,COVID-19
DE,15-34,2023-02-20,2023-02-17,-3 day ahead inc hosp,mean,,624.8,COVID-19
DE,35-59,2023-02-20,2023-02-17,-3 day ahead inc hosp,mean,,1364.4,COVID-19
DE,60-79,2023-02-20,2023-02-17,-3 day ahead inc hosp,mean,,3246.7,COVID-19
DE,80+,2023-02-20,2023-02-17,-3 day ahead inc hosp,mean,,3705.3,COVID-19
DE,00+,2023-02-20,2023-02-17,-3 day ahead inc hosp,mean,,9186.8,COVID-19
DE,00-04,2023-02-20,2023-02-16,-4 day ahead inc hosp,mean,,173.1,COVID-19
DE,05-14,2023-02-20,2023-02-16,-4 day ahead inc hosp,mean,,77.6,COVID-19
DE,15-34,2023-02-20,2023-02-16,-4 day ahead inc hosp,mean,,608.3,COVID-19
DE,35-59,2023-02-20,2023-02-16,-4 day ahead inc hosp,mean,,1293.7,COVID-19
DE,60-79,2023-02-20,2023-02-16,-4 day ahead inc hosp,mean,,3094.4,COVID-19
DE,80+,2023-02-20,2023-02-16,-4 day ahead inc hosp,mean,,3560.1,COVID-19
DE,00+,2023-02-20,2023-02-16,-4 day ahead inc hosp,mean,,8807.0,COVID-19
DE,00-04,2023-02-20,2023-02-15,-5 day ahead inc hosp,mean,,164.6,COVID-19
DE,05-14,2023-02-20,2023-02-15,-5 day ahead inc hosp,mean,,76.2,COVID-19
DE,15-34,2023-02-20,2023-02-15,-5 day ahead inc hosp,mean,,576.8,COVID-19
DE,35-59,2023-02-20,2023-02-15,-5 day ahead inc hosp,mean,,1235.7,COVID-19
DE,60-79,2023-02-20,2023-02-15,-5 day ahead inc hosp,mean,,2906.1,COVID-19
DE,80+,2023-02-20,2023-02-15,-5 day ahead inc hosp,mean,,3347.2,COVID-19
DE,00+,2023-02-20,2023-02-15,-5 day ahead inc hosp,mean,,8306.6,COVID-19
DE,00-04,2023-02-20,2023-02-14,-6 day ahead inc hosp,mean,,155.5,COVID-19
DE,05-14,2023-02-20,2023-02-14,-6 day ahead inc hosp,mean,,80.2,COVID-19
DE,15-34,2023-02-20,2023-02-14,-6 day ahead inc hosp,mean,,524.9,COVID-19
DE,35-59,2023-02-20,2023-02-14,-6 day ahead inc hosp,mean,,1161.8,COVID-19
DE,60-79,2023-02-20,2023-02-14,-6 day ahead inc hosp,mean,,2727.2,COVID-19
DE,80+,2023-02-20,2023-02-14,-6 day ahead inc hosp,mean,,3207.8,COVID-19
DE,00+,2023-02-20,2023-02-14,-6 day ahead inc hosp,mean,,7857.3,COVID-19
DE,00-04,2023-02-20,2023-02-13,-7 day ahead inc hosp,mean,,174.4,COVID-19
DE,05-14,2023-02-20,2023-02-13,-7 day ahead inc hosp,mean,,76.9,COVID-19
DE,15-34,2023-02-20,2023-02-13,-7 day ahead inc hosp,mean,,489.7,COVID-19
DE,35-59,2023-02-20,2023-02-13,-7 day ahead inc hosp,mean,,1109.6,COVID-19
DE,60-79,2023-02-20,2023-02-13,-7 day ahead inc hosp,mean,,2574.9,COVID-19
