"location","age_group","forecast_date","target_end_date","target","type","quantile","value","pathogen"
"DE","00-04",2022-07-21,2022-06-23,"-28 day ahead inc hosp","mean",NA,223,"COVID-19"
"DE","00+",2022-07-21,2022-06-23,"-28 day ahead inc hosp","mean",NA,5955,"COVID-19"
"DE","05-14",2022-07-21,2022-06-23,"-28 day ahead inc hosp","mean",NA,100,"COVID-19"
"DE","15-34",2022-07-21,2022-06-23,"-28 day ahead inc hosp","mean",NA,635,"COVID-19"
"DE","35-59",2022-07-21,2022-06-23,"-28 day ahead inc hosp","mean",NA,1037,"COVID-19"
"DE","60-79",2022-07-21,2022-06-23,"-28 day ahead inc hosp","mean",NA,1921,"COVID-19"
"DE","80+",2022-07-21,2022-06-23,"-28 day ahead inc hosp","mean",NA,2030,"COVID-19"
"DE-BB","00+",2022-07-21,2022-06-23,"-28 day ahead inc hosp","mean",NA,147,"COVID-19"
"DE-BE","00+",2022-07-21,2022-06-23,"-28 day ahead inc hosp","mean",NA,125,"COVID-19"
"DE-BW","00+",2022-07-21,2022-06-23,"-28 day ahead inc hosp","mean",NA,535,"COVID-19"
"DE-BY","00+",2022-07-21,2022-06-23,"-28 day ahead inc hosp","mean",NA,1077,"COVID-19"
"DE-HB","00+",2022-07-21,2022-06-23,"-28 day ahead inc hosp","mean",NA,17,"COVID-19"
"DE-HE","00+",2022-07-21,2022-06-23,"-28 day ahead inc hosp","mean",NA,512,"COVID-19"
"DE-HH","00+",2022-07-21,2022-06-23,"-28 day ahead inc hosp","mean",NA,102,"COVID-19"
"DE-MV","00+",2022-07-21,2022-06-23,"-28 day ahead inc hosp","mean",NA,127,"COVID-19"
"DE-NI","00+",2022-07-21,2022-06-23,"-28 day ahead inc hosp","mean",NA,357,"COVID-19"
"DE-NW","00+",2022-07-21,2022-06-23,"-28 day ahead inc hosp","mean",NA,1793,"COVID-19"
"DE-RP","00+",2022-07-21,2022-06-23,"-28 day ahead inc hosp","mean",NA,312,"COVID-19"
"DE-SH","00+",2022-07-21,2022-06-23,"-28 day ahead inc hosp","mean",NA,264,"COVID-19"
"DE-SL","00+",2022-07-21,2022-06-23,"-28 day ahead inc hosp","mean",NA,78,"COVID-19"
"DE-SN","00+",2022-07-21,2022-06-23,"-28 day ahead inc hosp","mean",NA,144,"COVID-19"
"DE-ST","00+",2022-07-21,2022-06-23,"-28 day ahead inc hosp","mean",NA,139,"COVID-19"
"DE-TH","00+",2022-07-21,2022-06-23,"-28 day ahead inc hosp","mean",NA,186,"COVID-19"
"DE","00-04",2022-07-21,2022-06-23,"-28 day ahead inc hosp","quantile",0.025,220,"COVID-19"
"DE","00+",2022-07-21,2022-06-23,"-28 day ahead inc hosp","quantile",0.025,5886,"COVID-19"
"DE","05-14",2022-07-21,2022-06-23,"-28 day ahead inc hosp","quantile",0.025,98,"COVID-19"
"DE","15-34",2022-07-21,2022-06-23,"-28 day ahead inc hosp","quantile",0.025,626,"COVID-19"
"DE","35-59",2022-07-21,2022-06-23,"-28 day ahead inc hosp","quantile",0.025,1028,"COVID-19"
"DE","60-79",2022-07-21,2022-06-23,"-28 day ahead inc hosp","quantile",0.025,1897,"COVID-19"
"DE","80+",2022-07-21,2022-06-23,"-28 day ahead inc hosp","quantile",0.025,2000,"COVID-19"
"DE-BB","00+",2022-07-21,2022-06-23,"-28 day ahead inc hosp","quantile",0.025,144,"COVID-19"
"DE-BE","00+",2022-07-21,2022-06-23,"-28 day ahead inc hosp","quantile",0.025,122,"COVID-19"
"DE-BW","00+",2022-07-21,2022-06-23,"-28 day ahead inc hosp","quantile",0.025,529,"COVID-19"
"DE-BY","00+",2022-07-21,2022-06-23,"-28 day ahead inc hosp","quantile",0.025,1070,"COVID-19"
"DE-HB","00+",2022-07-21,2022-06-23,"-28 day ahead inc hosp","quantile",0.025,17,"COVID-19"
"DE-HE","00+",2022-07-21,2022-06-23,"-28 day ahead inc hosp","quantile",0.025,477,"COVID-19"
"DE-HH","00+",2022-07-21,2022-06-23,"-28 day ahead inc hosp","quantile",0.025,99,"COVID-19"
"DE-MV","00+",2022-07-21,2022-06-23,"-28 day ahead inc hosp","quantile",0.025,125,"COVID-19"
"DE-NI","00+",2022-07-21,2022-06-23,"-28 day ahead inc hosp","quantile",0.025,352,"COVID-19"
"DE-NW","00+",2022-07-21,2022-06-23,"-28 day ahead inc hosp","quantile",0.025,1780,"COVID-19"
"DE-RP","00+",2022-07-21,2022-06-23,"-28 day ahead inc hosp","quantile",0.025,308,"COVID-19"
"DE-SH","00+",2022-07-21,2022-06-23,"-28 day ahead inc hosp","quantile",0.025,260,"COVID-19"
"DE-SL","00+",2022-07-21,2022-06-23,"-28 day ahead inc hosp","quantile",0.025,76,"COVID-19"
"DE-SN","00+",2022-07-21,2022-06-23,"-28 day ahead inc hosp","quantile",0.025,143,"COVID-19"
"DE-ST","00+",2022-07-21,2022-06-23,"-28 day ahead inc hosp","quantile",0.025,138,"COVID-19"
"DE-TH","00+",2022-07-21,2022-06-23,"-28 day ahead inc hosp","quantile",0.025,185,"COVID-19"
"DE","00-04",2022-07-21,2022-06-23,"-28 day ahead inc hosp","quantile",0.1,220,"COVID-19"
"DE","00+",2022-07-21,2022-06-23,"-28 day ahead inc hosp","quantile",0.1,5904,"COVID-19"
"DE","05-14",2022-07-21,2022-06-23,"-28 day ahead inc hosp","quantile",0.1,98,"COVID-19"
"DE","15-34",2022-07-21,2022-06-23,"-28 day ahead inc hosp","quantile",0.1,628,"COVID-19"
"DE","35-59",2022-07-21,2022-06-23,"-28 day ahead inc hosp","quantile",0.1,1031,"COVID-19"
"DE","60-79",2022-07-21,2022-06-23,"-28 day ahead inc hosp","quantile",0.1,1903,"COVID-19"
"DE","80+",2022-07-21,2022-06-23,"-28 day ahead inc hosp","quantile",0.1,2008,"COVID-19"
"DE-BB","00+",2022-07-21,2022-06-23,"-28 day ahead inc hosp","quantile",0.1,145,"COVID-19"
"DE-BE","00+",2022-07-21,2022-06-23,"-28 day ahead inc hosp","quantile",0.1,122,"COVID-19"
"DE-BW","00+",2022-07-21,2022-06-23,"-28 day ahead inc hosp","quantile",0.1,530,"COVID-19"
