"location","age_group","forecast_date","target_end_date","target","type","quantile","value","pathogen"
"DE","00-04",2022-05-21,2022-04-23,"-28 day ahead inc hosp","mean",NA,238,"COVID-19"
"DE","00+",2022-05-21,2022-04-23,"-28 day ahead inc hosp","mean",NA,7393,"COVID-19"
"DE","05-14",2022-05-21,2022-04-23,"-28 day ahead inc hosp","mean",NA,107,"COVID-19"
"DE","15-34",2022-05-21,2022-04-23,"-28 day ahead inc hosp","mean",NA,734,"COVID-19"
"DE","35-59",2022-05-21,2022-04-23,"-28 day ahead inc hosp","mean",NA,1256,"COVID-19"
"DE","60-79",2022-05-21,2022-04-23,"-28 day ahead inc hosp","mean",NA,2298,"COVID-19"
"DE","80+",2022-05-21,2022-04-23,"-28 day ahead inc hosp","mean",NA,2759,"COVID-19"
"DE-BB","00+",2022-05-21,2022-04-23,"-28 day ahead inc hosp","mean",NA,180,"COVID-19"
"DE-BE","00+",2022-05-21,2022-04-23,"-28 day ahead inc hosp","mean",NA,133,"COVID-19"
"DE-BW","00+",2022-05-21,2022-04-23,"-28 day ahead inc hosp","mean",NA,848,"COVID-19"
"DE-BY","00+",2022-05-21,2022-04-23,"-28 day ahead inc hosp","mean",NA,1214,"COVID-19"
"DE-HB","00+",2022-05-21,2022-04-23,"-28 day ahead inc hosp","mean",NA,19,"COVID-19"
"DE-HE","00+",2022-05-21,2022-04-23,"-28 day ahead inc hosp","mean",NA,537,"COVID-19"
"DE-HH","00+",2022-05-21,2022-04-23,"-28 day ahead inc hosp","mean",NA,146,"COVID-19"
"DE-MV","00+",2022-05-21,2022-04-23,"-28 day ahead inc hosp","mean",NA,209,"COVID-19"
"DE-NI","00+",2022-05-21,2022-04-23,"-28 day ahead inc hosp","mean",NA,526,"COVID-19"
"DE-NW","00+",2022-05-21,2022-04-23,"-28 day ahead inc hosp","mean",NA,1823,"COVID-19"
"DE-RP","00+",2022-05-21,2022-04-23,"-28 day ahead inc hosp","mean",NA,416,"COVID-19"
"DE-SH","00+",2022-05-21,2022-04-23,"-28 day ahead inc hosp","mean",NA,316,"COVID-19"
"DE-SL","00+",2022-05-21,2022-04-23,"-28 day ahead inc hosp","mean",NA,71,"COVID-19"
"DE-SN","00+",2022-05-21,2022-04-23,"-28 day ahead inc hosp","mean",NA,300,"COVID-19"
"DE-ST","00+",2022-05-21,2022-04-23,"-28 day ahead inc hosp","mean",NA,287,"COVID-19"
"DE-TH","00+",2022-05-21,2022-04-23,"-28 day ahead inc hosp","mean",NA,319,"COVID-19"
"DE","00-04",2022-05-21,2022-04-23,"-28 day ahead inc hosp","quantile",0.025,230,"COVID-19"
"DE","00+",2022-05-21,2022-04-23,"-28 day ahead inc hosp","quantile",0.025,7242,"COVID-19"
"DE","05-14",2022-05-21,2022-04-23,"-28 day ahead inc hosp","quantile",0.025,104,"COVID-19"
"DE","15-34",2022-05-21,2022-04-23,"-28 day ahead inc hosp","quantile",0.025,718,"COVID-19"
"DE","35-59",2022-05-21,2022-04-23,"-28 day ahead inc hosp","quantile",0.025,1230,"COVID-19"
"DE","60-79",2022-05-21,2022-04-23,"-28 day ahead inc hosp","quantile",0.025,2246,"COVID-19"
"DE","80+",2022-05-21,2022-04-23,"-28 day ahead inc hosp","quantile",0.025,2702,"COVID-19"
"DE-BB","00+",2022-05-21,2022-04-23,"-28 day ahead inc hosp","quantile",0.025,172,"COVID-19"
"DE-BE","00+",2022-05-21,2022-04-23,"-28 day ahead inc hosp","quantile",0.025,126,"COVID-19"
"DE-BW","00+",2022-05-21,2022-04-23,"-28 day ahead inc hosp","quantile",0.025,834,"COVID-19"
"DE-BY","00+",2022-05-21,2022-04-23,"-28 day ahead inc hosp","quantile",0.025,1199,"COVID-19"
"DE-HB","00+",2022-05-21,2022-04-23,"-28 day ahead inc hosp","quantile",0.025,19,"COVID-19"
"DE-HE","00+",2022-05-21,2022-04-23,"-28 day ahead inc hosp","quantile",0.025,522,"COVID-19"
"DE-HH","00+",2022-05-21,2022-04-23,"-28 day ahead inc hosp","quantile",0.025,140,"COVID-19"
"DE-MV","00+",2022-05-21,2022-04-23,"-28 day ahead inc hosp","quantile",0.025,206,"COVID-19"
"DE-NI","00+",2022-05-21,2022-04-23,"-28 day ahead inc hosp","quantile",0.025,515,"COVID-19"
"DE-NW","00+",2022-05-21,2022-04-23,"-28 day ahead inc hosp","quantile",0.025,1786,"COVID-19"
"DE-RP","00+",2022-05-21,2022-04-23,"-28 day ahead inc hosp","quantile",0.025,407,"COVID-19"
"DE-SH","00+",2022-05-21,2022-04-23,"-28 day ahead inc hosp","quantile",0.025,310,"COVID-19"
"DE-SL","00+",2022-05-21,2022-04-23,"-28 day ahead inc hosp","quantile",0.025,69,"COVID-19"
"DE-SN","00+",2022-05-21,2022-04-23,"-28 day ahead inc hosp","quantile",0.025,294,"COVID-19"
"DE-ST","00+",2022-05-21,2022-04-23,"-28 day ahead inc hosp","quantile",0.025,283,"COVID-19"
"DE-TH","00+",2022-05-21,2022-04-23,"-28 day ahead inc hosp","quantile",0.025,314,"COVID-19"
"DE","00-04",2022-05-21,2022-04-23,"-28 day ahead inc hosp","quantile",0.1,230,"COVID-19"
"DE","00+",2022-05-21,2022-04-23,"-28 day ahead inc hosp","quantile",0.1,7280,"COVID-19"
"DE","05-14",2022-05-21,2022-04-23,"-28 day ahead inc hosp","quantile",0.1,104,"COVID-19"
"DE","15-34",2022-05-21,2022-04-23,"-28 day ahead inc hosp","quantile",0.1,722,"COVID-19"
"DE","35-59",2022-05-21,2022-04-23,"-28 day ahead inc hosp","quantile",0.1,1237,"COVID-19"
"DE","60-79",2022-05-21,2022-04-23,"-28 day ahead inc hosp","quantile",0.1,2260,"COVID-19"
"DE","80+",2022-05-21,2022-04-23,"-28 day ahead inc hosp","quantile",0.1,2717,"COVID-19"
"DE-BB","00+",2022-05-21,2022-04-23,"-28 day ahead inc hosp","quantile",0.1,172,"COVID-19"
"DE-BE","00+",2022-05-21,2022-04-23,"-28 day ahead inc hosp","quantile",0.1,127,"COVID-19"
"DE-BW","00+",2022-05-21,2022-04-23,"-28 day ahead inc hosp","quantile",0.1,838,"COVID-19"
"DE-BY","00+",2022-05-21,2022-04-23,"-28 day ahead inc hosp","quantile",0.1,1202,"COVID-19"
"DE-HB","00+",2022-05-21,2022-04-23,"-28 day ahead inc hosp","quantile",0.1,19,"COVID-19"
"DE-HE","00+",2022-05-21,2022-04-23,"-28 day ahead inc hosp","quantile",0.1,527,"COVID-19"
"DE-HH","00+",2022-05-21,2022-04-23,"-28 day ahead inc hosp","quantile",0.1,141,"COVID-19"
"DE-MV","00+",2022-05-21,2022-04-23,"-28 day ahead inc hosp","quantile",0.1,206,"COVID-19"
"DE-NI","00+",2022-05-21,2022-04-23,"-28 day ahead inc hosp","quantile",0.1,518,"COVID-19"
"DE-NW","00+",2022-05-21,2022-04-23,"-28 day ahead inc hosp","quantile",0.1,1801,"COVID-19"
"DE-RP","00+",2022-05-21,2022-04-23,"-28 day ahead inc hosp","quantile",0.1,410,"COVID-19"
"DE-SH","00+",2022-05-21,2022-04-23,"-28 day ahead inc hosp","quantile",0.1,311,"COVID-19"
"DE-SL","00+",2022-05-21,2022-04-23,"-28 day ahead inc hosp","quantile",0.1,69,"COVID-19"
"DE-SN","00+",2022-05-21,2022-04-23,"-28 day ahead inc hosp","quantile",0.1,296,"COVID-19"
"DE-ST","00+",2022-05-21,2022-04-23,"-28 day ahead inc hosp","quantile",0.1,284,"COVID-19"
"DE-TH","00+",2022-05-21,2022-04-23,"-28 day ahead inc hosp","quantile",0.1,315,"COVID-19"
"DE","00-04",2022-05-21,2022-04-23,"-28 day ahead inc hosp","quantile",0.25,233,"COVID-19"
"DE","00+",2022-05-21,2022-04-23,"-28 day ahead inc hosp","quantile",0.25,7323,"COVID-19"
"DE","05-14",2022-05-21,2022-04-23,"-28 day ahead inc hosp","quantile",0.25,104,"COVID-19"
"DE","15-34",2022-05-21,2022-04-23,"-28 day ahead inc hosp","quantile",0.25,726,"COVID-19"
"DE","35-59",2022-05-21,2022-04-23,"-28 day ahead inc hosp","quantile",0.25,1244,"COVID-19"
"DE","60-79",2022-05-21,2022-04-23,"-28 day ahead inc hosp","quantile",0.25,2274,"COVID-19"
"DE","80+",2022-05-21,2022-04-23,"-28 day ahead inc hosp","quantile",0.25,2734,"COVID-19"
"DE-BB","00+",2022-05-21,2022-04-23,"-28 day ahead inc hosp","quantile",0.25,173,"COVID-19"
"DE-BE","00+",2022-05-21,2022-04-23,"-28 day ahead inc hosp","quantile",0.25,129,"COVID-19"
"DE-BW","00+",2022-05-21,2022-04-23,"-28 day ahead inc hosp","quantile",0.25,841,"COVID-19"
"DE-BY","00+",2022-05-21,2022-04-23,"-28 day ahead inc hosp","quantile",0.25,1205,"COVID-19"
"DE-HB","00+",2022-05-21,2022-04-23,"-28 day ahead inc hosp","quantile",0.25,19,"COVID-19"
"DE-HE","00+",2022-05-21,2022-04-23,"-28 day ahead inc hosp","quantile",0.25,531,"COVID-19"
"DE-HH","00+",2022-05-21,2022-04-23,"-28 day ahead inc hosp","quantile",0.25,143,"COVID-19"
"DE-MV","00+",2022-05-21,2022-04-23,"-28 day ahead inc hosp","quantile",0.25,207,"COVID-19"
"DE-NI","00+",2022-05-21,2022-04-23,"-28 day ahead inc hosp","quantile",0.25,521,"COVID-19"
"DE-NW","00+",2022-05-21,2022-04-23,"-28 day ahead inc hosp","quantile",0.25,1811,"COVID-19"
"DE-RP","00+",2022-05-21,2022-04-23,"-28 day ahead inc hosp","quantile",0.25,412,"COVID-19"
"DE-SH","00+",2022-05-21,2022-04-23,"-28 day ahead inc hosp","quantile",0.25,313,"COVID-19"
"DE-SL","00+",2022-05-21,2022-04-23,"-28 day ahead inc hosp","quantile",0.25,70,"COVID-19"
"DE-SN","00+",2022-05-21,2022-04-23,"-28 day ahead inc hosp","quantile",0.25,297,"COVID-19"
"DE-ST","00+",2022-05-21,2022-04-23,"-28 day ahead inc hosp","quantile",0.25,285,"COVID-19"
"DE-TH","00+",2022-05-21,2022-04-23,"-28 day ahead inc hosp","quantile",0.25,316,"COVID-19"
"DE","00-04",2022-05-21,2022-04-23,"-28 day ahead inc hosp","quantile",0.5,238,"COVID-19"
"DE","00+",2022-05-21,2022-04-23,"-28 day ahead inc hosp","quantile",0.5,7380,"COVID-19"
"DE","05-14",2022-05-21,2022-04-23,"-28 day ahead inc hosp","quantile",0.5,107,"COVID-19"
"DE","15-34",2022-05-21,2022-04-23,"-28 day ahead inc hosp","quantile",0.5,733,"COVID-19"
"DE","35-59",2022-05-21,2022-04-23,"-28 day ahead inc hosp","quantile",0.5,1254,"COVID-19"
"DE","60-79",2022-05-21,2022-04-23,"-28 day ahead inc hosp","quantile",0.5,2294,"COVID-19"
"DE","80+",2022-05-21,2022-04-23,"-28 day ahead inc hosp","quantile",0.5,2755,"COVID-19"
"DE-BB","00+",2022-05-21,2022-04-23,"-28 day ahead inc hosp","quantile",0.5,174,"COVID-19"
"DE-BE","00+",2022-05-21,2022-04-23,"-28 day ahead inc hosp","quantile",0.5,133,"COVID-19"
"DE-BW","00+",2022-05-21,2022-04-23,"-28 day ahead inc hosp","quantile",0.5,846,"COVID-19"
"DE-BY","00+",2022-05-21,2022-04-23,"-28 day ahead inc hosp","quantile",0.5,1214,"COVID-19"
"DE-HB","00+",2022-05-21,2022-04-23,"-28 day ahead inc hosp","quantile",0.5,19,"COVID-19"
"DE-HE","00+",2022-05-21,2022-04-23,"-28 day ahead inc hosp","quantile",0.5,536,"COVID-19"
"DE-HH","00+",2022-05-21,2022-04-23,"-28 day ahead inc hosp","quantile",0.5,146,"COVID-19"
"DE-MV","00+",2022-05-21,2022-04-23,"-28 day ahead inc hosp","quantile",0.5,208,"COVID-19"
"DE-NI","00+",2022-05-21,2022-04-23,"-28 day ahead inc hosp","quantile",0.5,525,"COVID-19"
"DE-NW","00+",2022-05-21,2022-04-23,"-28 day ahead inc hosp","quantile",0.5,1822,"COVID-19"
