"location","age_group","forecast_date","target_end_date","target","type","quantile","value","pathogen"
"DE","00-04",2023-01-11,2022-12-14,"-28 day ahead inc hosp","mean",NA,161,"COVID-19"
"DE","00+",2023-01-11,2022-12-14,"-28 day ahead inc hosp","mean",NA,11644,"COVID-19"
"DE","05-14",2023-01-11,2022-12-14,"-28 day ahead inc hosp","mean",NA,44,"COVID-19"
"DE","15-34",2023-01-11,2022-12-14,"-28 day ahead inc hosp","mean",NA,554,"COVID-19"
"DE","35-59",2023-01-11,2022-12-14,"-28 day ahead inc hosp","mean",NA,1541,"COVID-19"
"DE","60-79",2023-01-11,2022-12-14,"-28 day ahead inc hosp","mean",NA,4071,"COVID-19"
"DE","80+",2023-01-11,2022-12-14,"-28 day ahead inc hosp","mean",NA,5263,"COVID-19"
"DE-BB","00+",2023-01-11,2022-12-14,"-28 day ahead inc hosp","mean",NA,705,"COVID-19"
"DE-BE","00+",2023-01-11,2022-12-14,"-28 day ahead inc hosp","mean",NA,745,"COVID-19"
"DE-BW","00+",2023-01-11,2022-12-14,"-28 day ahead inc hosp","mean",NA,946,"COVID-19"
"DE-BY","00+",2023-01-11,2022-12-14,"-28 day ahead inc hosp","mean",NA,1438,"COVID-19"
"DE-HB","00+",2023-01-11,2022-12-14,"-28 day ahead inc hosp","mean",NA,127,"COVID-19"
"DE-HE","00+",2023-01-11,2022-12-14,"-28 day ahead inc hosp","mean",NA,594,"COVID-19"
"DE-HH","00+",2023-01-11,2022-12-14,"-28 day ahead inc hosp","mean",NA,253,"COVID-19"
"DE-MV","00+",2023-01-11,2022-12-14,"-28 day ahead inc hosp","mean",NA,318,"COVID-19"
"DE-NI","00+",2023-01-11,2022-12-14,"-28 day ahead inc hosp","mean",NA,831,"COVID-19"
"DE-NW","00+",2023-01-11,2022-12-14,"-28 day ahead inc hosp","mean",NA,3092,"COVID-19"
"DE-RP","00+",2023-01-11,2022-12-14,"-28 day ahead inc hosp","mean",NA,444,"COVID-19"
"DE-SH","00+",2023-01-11,2022-12-14,"-28 day ahead inc hosp","mean",NA,647,"COVID-19"
"DE-SL","00+",2023-01-11,2022-12-14,"-28 day ahead inc hosp","mean",NA,151,"COVID-19"
"DE-SN","00+",2023-01-11,2022-12-14,"-28 day ahead inc hosp","mean",NA,695,"COVID-19"
"DE-ST","00+",2023-01-11,2022-12-14,"-28 day ahead inc hosp","mean",NA,318,"COVID-19"
"DE-TH","00+",2023-01-11,2022-12-14,"-28 day ahead inc hosp","mean",NA,328,"COVID-19"
"DE","00-04",2023-01-11,2022-12-14,"-28 day ahead inc hosp","quantile",0.025,159,"COVID-19"
"DE","00+",2023-01-11,2022-12-14,"-28 day ahead inc hosp","quantile",0.025,11573,"COVID-19"
"DE","05-14",2023-01-11,2022-12-14,"-28 day ahead inc hosp","quantile",0.025,43,"COVID-19"
"DE","15-34",2023-01-11,2022-12-14,"-28 day ahead inc hosp","quantile",0.025,549,"COVID-19"
"DE","35-59",2023-01-11,2022-12-14,"-28 day ahead inc hosp","quantile",0.025,1528,"COVID-19"
"DE","60-79",2023-01-11,2022-12-14,"-28 day ahead inc hosp","quantile",0.025,4049,"COVID-19"
"DE","80+",2023-01-11,2022-12-14,"-28 day ahead inc hosp","quantile",0.025,5226,"COVID-19"
"DE-BB","00+",2023-01-11,2022-12-14,"-28 day ahead inc hosp","quantile",0.025,698,"COVID-19"
"DE-BE","00+",2023-01-11,2022-12-14,"-28 day ahead inc hosp","quantile",0.025,738,"COVID-19"
"DE-BW","00+",2023-01-11,2022-12-14,"-28 day ahead inc hosp","quantile",0.025,938,"COVID-19"
"DE-BY","00+",2023-01-11,2022-12-14,"-28 day ahead inc hosp","quantile",0.025,1426,"COVID-19"
"DE-HB","00+",2023-01-11,2022-12-14,"-28 day ahead inc hosp","quantile",0.025,126,"COVID-19"
"DE-HE","00+",2023-01-11,2022-12-14,"-28 day ahead inc hosp","quantile",0.025,590,"COVID-19"
"DE-HH","00+",2023-01-11,2022-12-14,"-28 day ahead inc hosp","quantile",0.025,249,"COVID-19"
"DE-MV","00+",2023-01-11,2022-12-14,"-28 day ahead inc hosp","quantile",0.025,316,"COVID-19"
"DE-NI","00+",2023-01-11,2022-12-14,"-28 day ahead inc hosp","quantile",0.025,822,"COVID-19"
"DE-NW","00+",2023-01-11,2022-12-14,"-28 day ahead inc hosp","quantile",0.025,3066,"COVID-19"
"DE-RP","00+",2023-01-11,2022-12-14,"-28 day ahead inc hosp","quantile",0.025,438,"COVID-19"
"DE-SH","00+",2023-01-11,2022-12-14,"-28 day ahead inc hosp","quantile",0.025,644,"COVID-19"
"DE-SL","00+",2023-01-11,2022-12-14,"-28 day ahead inc hosp","quantile",0.025,150,"COVID-19"
"DE-SN","00+",2023-01-11,2022-12-14,"-28 day ahead inc hosp","quantile",0.025,690,"COVID-19"
"DE-ST","00+",2023-01-11,2022-12-14,"-28 day ahead inc hosp","quantile",0.025,315,"COVID-19"
"DE-TH","00+",2023-01-11,2022-12-14,"-28 day ahead inc hosp","quantile",0.025,327,"COVID-19"
"DE","00-04",2023-01-11,2022-12-14,"-28 day ahead inc hosp","quantile",0.1,159,"COVID-19"
"DE","00+",2023-01-11,2022-12-14,"-28 day ahead inc hosp","quantile",0.1,11588,"COVID-19"
"DE","05-14",2023-01-11,2022-12-14,"-28 day ahead inc hosp","quantile",0.1,43,"COVID-19"
"DE","15-34",2023-01-11,2022-12-14,"-28 day ahead inc hosp","quantile",0.1,549,"COVID-19"
"DE","35-59",2023-01-11,2022-12-14,"-28 day ahead inc hosp","quantile",0.1,1532,"COVID-19"
"DE","60-79",2023-01-11,2022-12-14,"-28 day ahead inc hosp","quantile",0.1,4052,"COVID-19"
"DE","80+",2023-01-11,2022-12-14,"-28 day ahead inc hosp","quantile",0.1,5236,"COVID-19"
"DE-BB","00+",2023-01-11,2022-12-14,"-28 day ahead inc hosp","quantile",0.1,700,"COVID-19"
"DE-BE","00+",2023-01-11,2022-12-14,"-28 day ahead inc hosp","quantile",0.1,740,"COVID-19"
"DE-BW","00+",2023-01-11,2022-12-14,"-28 day ahead inc hosp","quantile",0.1,939,"COVID-19"
"DE-BY","00+",2023-01-11,2022-12-14,"-28 day ahead inc hosp","quantile",0.1,1429,"COVID-19"
"DE-HB","00+",2023-01-11,2022-12-14,"-28 day ahead inc hosp","quantile",0.1,126,"COVID-19"
"DE-HE","00+",2023-01-11,2022-12-14,"-28 day ahead inc hosp","quantile",0.1,590,"COVID-19"
"DE-HH","00+",2023-01-11,2022-12-14,"-28 day ahead inc hosp","quantile",0.1,250,"COVID-19"
"DE-MV","00+",2023-01-11,2022-12-14,"-28 day ahead inc hosp","quantile",0.1,316,"COVID-19"
"DE-NI","00+",2023-01-11,2022-12-14,"-28 day ahead inc hosp","quantile",0.1,824,"COVID-19"
"DE-NW","00+",2023-01-11,2022-12-14,"-28 day ahead inc hosp","quantile",0.1,3070,"COVID-19"
"DE-RP","00+",2023-01-11,2022-12-14,"-28 day ahead inc hosp","quantile",0.1,439,"COVID-19"
"DE-SH","00+",2023-01-11,2022-12-14,"-28 day ahead inc hosp","quantile",0.1,644,"COVID-19"
"DE-SL","00+",2023-01-11,2022-12-14,"-28 day ahead inc hosp","quantile",0.1,150,"COVID-19"
"DE-SN","00+",2023-01-11,2022-12-14,"-28 day ahead inc hosp","quantile",0.1,691,"COVID-19"
"DE-ST","00+",2023-01-11,2022-12-14,"-28 day ahead inc hosp","quantile",0.1,315,"COVID-19"
"DE-TH","00+",2023-01-11,2022-12-14,"-28 day ahead inc hosp","quantile",0.1,327,"COVID-19"
"DE","00-04",2023-01-11,2022-12-14,"-28 day ahead inc hosp","quantile",0.25,160,"COVID-19"
"DE","00+",2023-01-11,2022-12-14,"-28 day ahead inc hosp","quantile",0.25,11610,"COVID-19"
"DE","05-14",2023-01-11,2022-12-14,"-28 day ahead inc hosp","quantile",0.25,43,"COVID-19"
"DE","15-34",2023-01-11,2022-12-14,"-28 day ahead inc hosp","quantile",0.25,551,"COVID-19"
"DE","35-59",2023-01-11,2022-12-14,"-28 day ahead inc hosp","quantile",0.25,1534,"COVID-19"
"DE","60-79",2023-01-11,2022-12-14,"-28 day ahead inc hosp","quantile",0.25,4060,"COVID-19"
"DE","80+",2023-01-11,2022-12-14,"-28 day ahead inc hosp","quantile",0.25,5247,"COVID-19"
"DE-BB","00+",2023-01-11,2022-12-14,"-28 day ahead inc hosp","quantile",0.25,702,"COVID-19"
"DE-BE","00+",2023-01-11,2022-12-14,"-28 day ahead inc hosp","quantile",0.25,742,"COVID-19"
"DE-BW","00+",2023-01-11,2022-12-14,"-28 day ahead inc hosp","quantile",0.25,942,"COVID-19"
"DE-BY","00+",2023-01-11,2022-12-14,"-28 day ahead inc hosp","quantile",0.25,1432,"COVID-19"
"DE-HB","00+",2023-01-11,2022-12-14,"-28 day ahead inc hosp","quantile",0.25,126,"COVID-19"
"DE-HE","00+",2023-01-11,2022-12-14,"-28 day ahead inc hosp","quantile",0.25,592,"COVID-19"
"DE-HH","00+",2023-01-11,2022-12-14,"-28 day ahead inc hosp","quantile",0.25,250,"COVID-19"
"DE-MV","00+",2023-01-11,2022-12-14,"-28 day ahead inc hosp","quantile",0.25,316,"COVID-19"
"DE-NI","00+",2023-01-11,2022-12-14,"-28 day ahead inc hosp","quantile",0.25,826,"COVID-19"
"DE-NW","00+",2023-01-11,2022-12-14,"-28 day ahead inc hosp","quantile",0.25,3078,"COVID-19"
"DE-RP","00+",2023-01-11,2022-12-14,"-28 day ahead inc hosp","quantile",0.25,441,"COVID-19"
"DE-SH","00+",2023-01-11,2022-12-14,"-28 day ahead inc hosp","quantile",0.25,645,"COVID-19"
"DE-SL","00+",2023-01-11,2022-12-14,"-28 day ahead inc hosp","quantile",0.25,150,"COVID-19"
"DE-SN","00+",2023-01-11,2022-12-14,"-28 day ahead inc hosp","quantile",0.25,694,"COVID-19"
"DE-ST","00+",2023-01-11,2022-12-14,"-28 day ahead inc hosp","quantile",0.25,316,"COVID-19"
"DE-TH","00+",2023-01-11,2022-12-14,"-28 day ahead inc hosp","quantile",0.25,327,"COVID-19"
"DE","00-04",2023-01-11,2022-12-14,"-28 day ahead inc hosp","quantile",0.5,161,"COVID-19"
"DE","00+",2023-01-11,2022-12-14,"-28 day ahead inc hosp","quantile",0.5,11638,"COVID-19"
"DE","05-14",2023-01-11,2022-12-14,"-28 day ahead inc hosp","quantile",0.5,43,"COVID-19"
"DE","15-34",2023-01-11,2022-12-14,"-28 day ahead inc hosp","quantile",0.5,554,"COVID-19"
"DE","35-59",2023-01-11,2022-12-14,"-28 day ahead inc hosp","quantile",0.5,1540,"COVID-19"
"DE","60-79",2023-01-11,2022-12-14,"-28 day ahead inc hosp","quantile",0.5,4069,"COVID-19"
"DE","80+",2023-01-11,2022-12-14,"-28 day ahead inc hosp","quantile",0.5,5260,"COVID-19"
"DE-BB","00+",2023-01-11,2022-12-14,"-28 day ahead inc hosp","quantile",0.5,705,"COVID-19"
"DE-BE","00+",2023-01-11,2022-12-14,"-28 day ahead inc hosp","quantile",0.5,745,"COVID-19"
"DE-BW","00+",2023-01-11,2022-12-14,"-28 day ahead inc hosp","quantile",0.5,945,"COVID-19"
"DE-BY","00+",2023-01-11,2022-12-14,"-28 day ahead inc hosp","quantile",0.5,1436,"COVID-19"
"DE-HB","00+",2023-01-11,2022-12-14,"-28 day ahead inc hosp","quantile",0.5,127,"COVID-19"
"DE-HE","00+",2023-01-11,2022-12-14,"-28 day ahead inc hosp","quantile",0.5,594,"COVID-19"
"DE-HH","00+",2023-01-11,2022-12-14,"-28 day ahead inc hosp","quantile",0.5,253,"COVID-19"
"DE-MV","00+",2023-01-11,2022-12-14,"-28 day ahead inc hosp","quantile",0.5,318,"COVID-19"
"DE-NI","00+",2023-01-11,2022-12-14,"-28 day ahead inc hosp","quantile",0.5,830,"COVID-19"
"DE-NW","00+",2023-01-11,2022-12-14,"-28 day ahead inc hosp","quantile",0.5,3089,"COVID-19"
"DE-RP","00+",2023-01-11,2022-12-14,"-28 day ahead inc hosp","quantile",0.5,443,"COVID-19"
"DE-SH","00+",2023-01-11,2022-12-14,"-28 day ahead inc hosp","quantile",0.5,646,"COVID-19"
"DE-SL","00+",2023-01-11,2022-12-14,"-28 day ahead inc hosp","quantile",0.5,151,"COVID-19"
"DE-SN","00+",2023-01-11,2022-12-14,"-28 day ahead inc hosp","quantile",0.5,695,"COVID-19"
"DE-ST","00+",2023-01-11,2022-12-14,"-28 day ahead inc hosp","quantile",0.5,318,"COVID-19"
"DE-TH","00+",2023-01-11,2022-12-14,"-28 day ahead inc hosp","quantile",0.5,328,"COVID-19"
"DE","00-04",2023-01-11,2022-12-14,"-28 day ahead inc hosp","quantile",0.75,162,"COVID-19"
"DE","00+",2023-01-11,2022-12-14,"-28 day ahead inc hosp","quantile",0.75,11671,"COVID-19"
"DE","05-14",2023-01-11,2022-12-14,"-28 day ahead inc hosp","quantile",0.75,44,"COVID-19"
"DE","15-34",2023-01-11,2022-12-14,"-28 day ahead inc hosp","quantile",0.75,556,"COVID-19"
"DE","35-59",2023-01-11,2022-12-14,"-28 day ahead inc hosp","quantile",0.75,1546,"COVID-19"
"DE","60-79",2023-01-11,2022-12-14,"-28 day ahead inc hosp","quantile",0.75,4081,"COVID-19"
"DE","80+",2023-01-11,2022-12-14,"-28 day ahead inc hosp","quantile",0.75,5276,"COVID-19"
"DE-BB","00+",2023-01-11,2022-12-14,"-28 day ahead inc hosp","quantile",0.75,708,"COVID-19"
"DE-BE","00+",2023-01-11,2022-12-14,"-28 day ahead inc hosp","quantile",0.75,749,"COVID-19"
"DE-BW","00+",2023-01-11,2022-12-14,"-28 day ahead inc hosp","quantile",0.75,949,"COVID-19"
"DE-BY","00+",2023-01-11,2022-12-14,"-28 day ahead inc hosp","quantile",0.75,1442,"COVID-19"
"DE-HB","00+",2023-01-11,2022-12-14,"-28 day ahead inc hosp","quantile",0.75,127,"COVID-19"
"DE-HE","00+",2023-01-11,2022-12-14,"-28 day ahead inc hosp","quantile",0.75,597,"COVID-19"
"DE-HH","00+",2023-01-11,2022-12-14,"-28 day ahead inc hosp","quantile",0.75,255,"COVID-19"
"DE-MV","00+",2023-01-11,2022-12-14,"-28 day ahead inc hosp","quantile",0.75,320,"COVID-19"
"DE-NI","00+",2023-01-11,2022-12-14,"-28 day ahead inc hosp","quantile",0.75,834,"COVID-19"
"DE-NW","00+",2023-01-11,2022-12-14,"-28 day ahead inc hosp","quantile",0.75,3102,"COVID-19"
"DE-RP","00+",2023-01-11,2022-12-14,"-28 day ahead inc hosp","quantile",0.75,448,"COVID-19"
"DE-SH","00+",2023-01-11,2022-12-14,"-28 day ahead inc hosp","quantile",0.75,649,"COVID-19"
"DE-SL","00+",2023-01-11,2022-12-14,"-28 day ahead inc hosp","quantile",0.75,152,"COVID-19"
"DE-SN","00+",2023-01-11,2022-12-14,"-28 day ahead inc hosp","quantile",0.75,698,"COVID-19"
"DE-ST","00+",2023-01-11,2022-12-14,"-28 day ahead inc hosp","quantile",0.75,319,"COVID-19"
"DE-TH","00+",2023-01-11,2022-12-14,"-28 day ahead inc hosp","quantile",0.75,330,"COVID-19"
"DE","00-04",2023-01-11,2022-12-14,"-28 day ahead inc hosp","quantile",0.9,165,"COVID-19"
"DE","00+",2023-01-11,2022-12-14,"-28 day ahead inc hosp","quantile",0.9,11706,"COVID-19"
"DE","05-14",2023-01-11,2022-12-14,"-28 day ahead inc hosp","quantile",0.9,46,"COVID-19"
"DE","15-34",2023-01-11,2022-12-14,"-28 day ahead inc hosp","quantile",0.9,558,"COVID-19"
"DE","35-59",2023-01-11,2022-12-14,"-28 day ahead inc hosp","quantile",0.9,1549,"COVID-19"
"DE","60-79",2023-01-11,2022-12-14,"-28 day ahead inc hosp","quantile",0.9,4094,"COVID-19"
"DE","80+",2023-01-11,2022-12-14,"-28 day ahead inc hosp","quantile",0.9,5285,"COVID-19"
"DE-BB","00+",2023-01-11,2022-12-14,"-28 day ahead inc hosp","quantile",0.9,712,"COVID-19"
