location,age_group,forecast_date,target_end_date,target,type,quantile,value,pathogen
DE,00+,2022-01-20,2021-12-23,-28 day ahead inc hosp,mean,,7014.1701868269365,COVID-19
DE,00+,2022-01-20,2021-12-23,-28 day ahead inc hosp,quantile,0.025,6996.832151560536,COVID-19
DE,00+,2022-01-20,2021-12-23,-28 day ahead inc hosp,quantile,0.1,6999.0071019533725,COVID-19
DE,00+,2022-01-20,2021-12-23,-28 day ahead inc hosp,quantile,0.25,7005.5793278267665,COVID-19
DE,00+,2022-01-20,2021-12-23,-28 day ahead inc hosp,quantile,0.5,7014.092365543066,COVID-19
DE,00+,2022-01-20,2021-12-23,-28 day ahead inc hosp,quantile,0.75,7023.295380467563,COVID-19
DE,00+,2022-01-20,2021-12-23,-28 day ahead inc hosp,quantile,0.9,7028.551192955175,COVID-19
DE,00+,2022-01-20,2021-12-23,-28 day ahead inc hosp,quantile,0.975,7033.62354936045,COVID-19
DE,00-04,2022-01-20,2021-12-23,-28 day ahead inc hosp,mean,,120.6223733403035,COVID-19
DE,00-04,2022-01-20,2021-12-23,-28 day ahead inc hosp,quantile,0.025,120.08361683333332,COVID-19
DE,00-04,2022-01-20,2021-12-23,-28 day ahead inc hosp,quantile,0.1,120.08361683333332,COVID-19
DE,00-04,2022-01-20,2021-12-23,-28 day ahead inc hosp,quantile,0.25,120.08361683333332,COVID-19
DE,00-04,2022-01-20,2021-12-23,-28 day ahead inc hosp,quantile,0.5,120.36029240454249,COVID-19
DE,00-04,2022-01-20,2021-12-23,-28 day ahead inc hosp,quantile,0.75,120.67878083341598,COVID-19
DE,00-04,2022-01-20,2021-12-23,-28 day ahead inc hosp,quantile,0.9,121.58953495370523,COVID-19
DE,00-04,2022-01-20,2021-12-23,-28 day ahead inc hosp,quantile,0.975,122.29794248358252,COVID-19
DE,05-14,2022-01-20,2021-12-23,-28 day ahead inc hosp,mean,,148.0864021464345,COVID-19
DE,05-14,2022-01-20,2021-12-23,-28 day ahead inc hosp,quantile,0.025,146.76013368169353,COVID-19
DE,05-14,2022-01-20,2021-12-23,-28 day ahead inc hosp,quantile,0.1,147.3065293406279,COVID-19
DE,05-14,2022-01-20,2021-12-23,-28 day ahead inc hosp,quantile,0.25,147.58173466666665,COVID-19
DE,05-14,2022-01-20,2021-12-23,-28 day ahead inc hosp,quantile,0.5,147.70169906530612,COVID-19
DE,05-14,2022-01-20,2021-12-23,-28 day ahead inc hosp,quantile,0.75,148.57330928704238,COVID-19
DE,05-14,2022-01-20,2021-12-23,-28 day ahead inc hosp,quantile,0.9,149.29310236533476,COVID-19
DE,05-14,2022-01-20,2021-12-23,-28 day ahead inc hosp,quantile,0.975,150.2760670753159,COVID-19
DE,15-34,2022-01-20,2021-12-23,-28 day ahead inc hosp,mean,,603.3205266510763,COVID-19
DE,15-34,2022-01-20,2021-12-23,-28 day ahead inc hosp,quantile,0.025,601.8599511288148,COVID-19
DE,15-34,2022-01-20,2021-12-23,-28 day ahead inc hosp,quantile,0.1,602.131129,COVID-19
DE,15-34,2022-01-20,2021-12-23,-28 day ahead inc hosp,quantile,0.25,602.3877470030745,COVID-19
DE,15-34,2022-01-20,2021-12-23,-28 day ahead inc hosp,quantile,0.5,602.9203450265877,COVID-19
