location,age_group,forecast_date,target_end_date,target,type,quantile,value,pathogen
DE,00+,2023-05-10,2023-04-12,-28 day ahead inc hosp,mean,,3382.594999766294,COVID-19
DE,00+,2023-05-10,2023-04-12,-28 day ahead inc hosp,quantile,0.025,3378.1890197333337,COVID-19
DE,00+,2023-05-10,2023-04-12,-28 day ahead inc hosp,quantile,0.1,3378.7385134040005,COVID-19
DE,00+,2023-05-10,2023-04-12,-28 day ahead inc hosp,quantile,0.25,3379.8571263524104,COVID-19
DE,00+,2023-05-10,2023-04-12,-28 day ahead inc hosp,quantile,0.5,3382.8489370053635,COVID-19
DE,00+,2023-05-10,2023-04-12,-28 day ahead inc hosp,quantile,0.75,3384.9868537930834,COVID-19
DE,00+,2023-05-10,2023-04-12,-28 day ahead inc hosp,quantile,0.9,3386.2359629409834,COVID-19
DE,00+,2023-05-10,2023-04-12,-28 day ahead inc hosp,quantile,0.975,3386.8439120610406,COVID-19
DE,00-04,2023-05-10,2023-04-12,-28 day ahead inc hosp,mean,,70.32016702392245,COVID-19
DE,00-04,2023-05-10,2023-04-12,-28 day ahead inc hosp,quantile,0.025,70.25748383333334,COVID-19
DE,00-04,2023-05-10,2023-04-12,-28 day ahead inc hosp,quantile,0.1,70.25748383333334,COVID-19
DE,00-04,2023-05-10,2023-04-12,-28 day ahead inc hosp,quantile,0.25,70.25748383333334,COVID-19
DE,00-04,2023-05-10,2023-04-12,-28 day ahead inc hosp,quantile,0.5,70.25748383333334,COVID-19
DE,00-04,2023-05-10,2023-04-12,-28 day ahead inc hosp,quantile,0.75,70.25748383333334,COVID-19
DE,00-04,2023-05-10,2023-04-12,-28 day ahead inc hosp,quantile,0.9,70.48483119707264,COVID-19
DE,00-04,2023-05-10,2023-04-12,-28 day ahead inc hosp,quantile,0.975,70.76302115231056,COVID-19
DE,05-14,2023-05-10,2023-04-12,-28 day ahead inc hosp,mean,,17.051307844458705,COVID-19
DE,05-14,2023-05-10,2023-04-12,-28 day ahead inc hosp,quantile,0.025,17.009420266666663,COVID-19
DE,05-14,2023-05-10,2023-04-12,-28 day ahead inc hosp,quantile,0.1,17.009420266666663,COVID-19
DE,05-14,2023-05-10,2023-04-12,-28 day ahead inc hosp,quantile,0.25,17.009420266666663,COVID-19
DE,05-14,2023-05-10,2023-04-12,-28 day ahead inc hosp,quantile,0.5,17.009420266666663,COVID-19
DE,05-14,2023-05-10,2023-04-12,-28 day ahead inc hosp,quantile,0.75,17.009420266666663,COVID-19
DE,05-14,2023-05-10,2023-04-12,-28 day ahead inc hosp,quantile,0.9,17.188706912597315,COVID-19
DE,05-14,2023-05-10,2023-04-12,-28 day ahead inc hosp,quantile,0.975,17.382163444211542,COVID-19
DE,15-34,2023-05-10,2023-04-12,-28 day ahead inc hosp,mean,,160.9053763987656,COVID-19
DE,15-34,2023-05-10,2023-04-12,-28 day ahead inc hosp,quantile,0.025,160.778469,COVID-19
DE,15-34,2023-05-10,2023-04-12,-28 day ahead inc hosp,quantile,0.1,160.778469,COVID-19
DE,15-34,2023-05-10,2023-04-12,-28 day ahead inc hosp,quantile,0.25,160.778469,COVID-19
DE,15-34,2023-05-10,2023-04-12,-28 day ahead inc hosp,quantile,0.5,160.778469,COVID-19
DE,15-34,2023-05-10,2023-04-12,-28 day ahead inc hosp,quantile,0.75,160.97627919960203,COVID-19
DE,15-34,2023-05-10,2023-04-12,-28 day ahead inc hosp,quantile,0.9,161.23327038341134,COVID-19
DE,15-34,2023-05-10,2023-04-12,-28 day ahead inc hosp,quantile,0.975,161.4333574990218,COVID-19
DE,35-59,2023-05-10,2023-04-12,-28 day ahead inc hosp,mean,,359.93346335015605,COVID-19
DE,35-59,2023-05-10,2023-04-12,-28 day ahead inc hosp,quantile,0.025,359.3726947516595,COVID-19
DE,35-59,2023-05-10,2023-04-12,-28 day ahead inc hosp,quantile,0.1,359.41121840000005,COVID-19
DE,35-59,2023-05-10,2023-04-12,-28 day ahead inc hosp,quantile,0.25,359.4392514456251,COVID-19
DE,35-59,2023-05-10,2023-04-12,-28 day ahead inc hosp,quantile,0.5,359.8140920712844,COVID-19
DE,35-59,2023-05-10,2023-04-12,-28 day ahead inc hosp,quantile,0.75,360.26937885034283,COVID-19
DE,35-59,2023-05-10,2023-04-12,-28 day ahead inc hosp,quantile,0.9,360.63120316752423,COVID-19
DE,35-59,2023-05-10,2023-04-12,-28 day ahead inc hosp,quantile,0.975,361.04952897635354,COVID-19
DE,60-79,2023-05-10,2023-04-12,-28 day ahead inc hosp,mean,,1216.992160786318,COVID-19
DE,60-79,2023-05-10,2023-04-12,-28 day ahead inc hosp,quantile,0.025,1215.4687731666668,COVID-19
DE,60-79,2023-05-10,2023-04-12,-28 day ahead inc hosp,quantile,0.1,1215.4687731666668,COVID-19
DE,60-79,2023-05-10,2023-04-12,-28 day ahead inc hosp,quantile,0.25,1215.9365906750995,COVID-19
DE,60-79,2023-05-10,2023-04-12,-28 day ahead inc hosp,quantile,0.5,1216.8078584699922,COVID-19
DE,60-79,2023-05-10,2023-04-12,-28 day ahead inc hosp,quantile,0.75,1217.8041703329436,COVID-19
DE,60-79,2023-05-10,2023-04-12,-28 day ahead inc hosp,quantile,0.9,1218.585306773318,COVID-19
DE,60-79,2023-05-10,2023-04-12,-28 day ahead inc hosp,quantile,0.975,1219.168325527061,COVID-19
DE,80+,2023-05-10,2023-04-12,-28 day ahead inc hosp,mean,,1506.151238390165,COVID-19
DE,80+,2023-05-10,2023-04-12,-28 day ahead inc hosp,quantile,0.025,1504.0808317333333,COVID-19
DE,80+,2023-05-10,2023-04-12,-28 day ahead inc hosp,quantile,0.1,1504.2778773790074,COVID-19
DE,80+,2023-05-10,2023-04-12,-28 day ahead inc hosp,quantile,0.25,1504.8463533169697,COVID-19
DE,80+,2023-05-10,2023-04-12,-28 day ahead inc hosp,quantile,0.5,1505.913571055242,COVID-19
DE,80+,2023-05-10,2023-04-12,-28 day ahead inc hosp,quantile,0.75,1507.1239483847603,COVID-19
DE,80+,2023-05-10,2023-04-12,-28 day ahead inc hosp,quantile,0.9,1508.2101090198632,COVID-19
DE,80+,2023-05-10,2023-04-12,-28 day ahead inc hosp,quantile,0.975,1509.1725791414815,COVID-19
DE-BB,00+,2023-05-10,2023-04-12,-28 day ahead inc hosp,mean,,205.25719533671432,COVID-19
DE-BB,00+,2023-05-10,2023-04-12,-28 day ahead inc hosp,quantile,0.025,204.3885129,COVID-19
DE-BB,00+,2023-05-10,2023-04-12,-28 day ahead inc hosp,quantile,0.1,204.3885129,COVID-19
DE-BB,00+,2023-05-10,2023-04-12,-28 day ahead inc hosp,quantile,0.25,204.3885129,COVID-19
DE-BB,00+,2023-05-10,2023-04-12,-28 day ahead inc hosp,quantile,0.5,204.99266769448622,COVID-19
