"location","age_group","forecast_date","target_end_date","target","type","quantile","value","pathogen"
"DE","00+",2021-10-09,2021-09-11,"-28 day ahead inc hosp","mean",NA,3214,"COVID-19"
"DE","00+",2021-10-09,2021-09-12,"-27 day ahead inc hosp","mean",NA,3184,"COVID-19"
"DE","00+",2021-10-09,2021-09-13,"-26 day ahead inc hosp","mean",NA,3174,"COVID-19"
"DE","00+",2021-10-09,2021-09-14,"-25 day ahead inc hosp","mean",NA,3149,"COVID-19"
"DE","00+",2021-10-09,2021-09-15,"-24 day ahead inc hosp","mean",NA,3048,"COVID-19"
"DE","00+",2021-10-09,2021-09-16,"-23 day ahead inc hosp","mean",NA,2989,"COVID-19"
"DE","00+",2021-10-09,2021-09-17,"-22 day ahead inc hosp","mean",NA,2885,"COVID-19"
"DE","00+",2021-10-09,2021-09-18,"-21 day ahead inc hosp","mean",NA,2787,"COVID-19"
"DE","00+",2021-10-09,2021-09-19,"-20 day ahead inc hosp","mean",NA,2731,"COVID-19"
"DE","00+",2021-10-09,2021-09-20,"-19 day ahead inc hosp","mean",NA,2672,"COVID-19"
"DE","00+",2021-10-09,2021-09-21,"-18 day ahead inc hosp","mean",NA,2602,"COVID-19"
"DE","00+",2021-10-09,2021-09-22,"-17 day ahead inc hosp","mean",NA,2533,"COVID-19"
"DE","00+",2021-10-09,2021-09-23,"-16 day ahead inc hosp","mean",NA,2465,"COVID-19"
"DE","00+",2021-10-09,2021-09-24,"-15 day ahead inc hosp","mean",NA,2464,"COVID-19"
"DE","00+",2021-10-09,2021-09-25,"-14 day ahead inc hosp","mean",NA,2438,"COVID-19"
"DE","00+",2021-10-09,2021-09-26,"-13 day ahead inc hosp","mean",NA,2405,"COVID-19"
"DE","00+",2021-10-09,2021-09-27,"-12 day ahead inc hosp","mean",NA,2406,"COVID-19"
"DE","00+",2021-10-09,2021-09-28,"-11 day ahead inc hosp","mean",NA,2425,"COVID-19"
"DE","00+",2021-10-09,2021-09-29,"-10 day ahead inc hosp","mean",NA,2499,"COVID-19"
"DE","00+",2021-10-09,2021-09-30,"-9 day ahead inc hosp","mean",NA,2525,"COVID-19"
"DE","00+",2021-10-09,2021-10-01,"-8 day ahead inc hosp","mean",NA,2451,"COVID-19"
"DE","00+",2021-10-09,2021-10-02,"-7 day ahead inc hosp","mean",NA,2430,"COVID-19"
"DE","00+",2021-10-09,2021-10-03,"-6 day ahead inc hosp","mean",NA,2423,"COVID-19"
"DE","00+",2021-10-09,2021-10-04,"-5 day ahead inc hosp","mean",NA,2412,"COVID-19"
"DE","00+",2021-10-09,2021-10-05,"-4 day ahead inc hosp","mean",NA,2363,"COVID-19"
"DE","00+",2021-10-09,2021-10-06,"-3 day ahead inc hosp","mean",NA,2245,"COVID-19"
"DE","00+",2021-10-09,2021-10-07,"-2 day ahead inc hosp","mean",NA,2220,"COVID-19"
"DE","00+",2021-10-09,2021-10-08,"-1 day ahead inc hosp","mean",NA,2248,"COVID-19"
"DE","00+",2021-10-09,2021-10-09,"0 day ahead inc hosp","mean",NA,2287,"COVID-19"
"DE","00+",2021-10-09,2021-09-11,"-28 day ahead inc hosp","quantile",0.025,1959,"COVID-19"
"DE","00+",2021-10-09,2021-09-12,"-27 day ahead inc hosp","quantile",0.025,1941,"COVID-19"
"DE","00+",2021-10-09,2021-09-13,"-26 day ahead inc hosp","quantile",0.025,1935,"COVID-19"
"DE","00+",2021-10-09,2021-09-14,"-25 day ahead inc hosp","quantile",0.025,1920,"COVID-19"
"DE","00+",2021-10-09,2021-09-15,"-24 day ahead inc hosp","quantile",0.025,1858,"COVID-19"
"DE","00+",2021-10-09,2021-09-16,"-23 day ahead inc hosp","quantile",0.025,1822,"COVID-19"
"DE","00+",2021-10-09,2021-09-17,"-22 day ahead inc hosp","quantile",0.025,1758,"COVID-19"
"DE","00+",2021-10-09,2021-09-18,"-21 day ahead inc hosp","quantile",0.025,1698,"COVID-19"
"DE","00+",2021-10-09,2021-09-19,"-20 day ahead inc hosp","quantile",0.025,1664,"COVID-19"
"DE","00+",2021-10-09,2021-09-20,"-19 day ahead inc hosp","quantile",0.025,1629,"COVID-19"
"DE","00+",2021-10-09,2021-09-21,"-18 day ahead inc hosp","quantile",0.025,1585,"COVID-19"
"DE","00+",2021-10-09,2021-09-22,"-17 day ahead inc hosp","quantile",0.025,1543,"COVID-19"
"DE","00+",2021-10-09,2021-09-23,"-16 day ahead inc hosp","quantile",0.025,1502,"COVID-19"
"DE","00+",2021-10-09,2021-09-24,"-15 day ahead inc hosp","quantile",0.025,1501,"COVID-19"
"DE","00+",2021-10-09,2021-09-25,"-14 day ahead inc hosp","quantile",0.025,1485,"COVID-19"
"DE","00+",2021-10-09,2021-09-26,"-13 day ahead inc hosp","quantile",0.025,1465,"COVID-19"
"DE","00+",2021-10-09,2021-09-27,"-12 day ahead inc hosp","quantile",0.025,1466,"COVID-19"
"DE","00+",2021-10-09,2021-09-28,"-11 day ahead inc hosp","quantile",0.025,1477,"COVID-19"
"DE","00+",2021-10-09,2021-09-29,"-10 day ahead inc hosp","quantile",0.025,1522,"COVID-19"
"DE","00+",2021-10-09,2021-09-30,"-9 day ahead inc hosp","quantile",0.025,1538,"COVID-19"
"DE","00+",2021-10-09,2021-10-01,"-8 day ahead inc hosp","quantile",0.025,1493,"COVID-19"
"DE","00+",2021-10-09,2021-10-02,"-7 day ahead inc hosp","quantile",0.025,1480,"COVID-19"
"DE","00+",2021-10-09,2021-10-03,"-6 day ahead inc hosp","quantile",0.025,1476,"COVID-19"
"DE","00+",2021-10-09,2021-10-04,"-5 day ahead inc hosp","quantile",0.025,1469,"COVID-19"
"DE","00+",2021-10-09,2021-10-05,"-4 day ahead inc hosp","quantile",0.025,1440,"COVID-19"
"DE","00+",2021-10-09,2021-10-06,"-3 day ahead inc hosp","quantile",0.025,1367,"COVID-19"
"DE","00+",2021-10-09,2021-10-07,"-2 day ahead inc hosp","quantile",0.025,1352,"COVID-19"
"DE","00+",2021-10-09,2021-10-08,"-1 day ahead inc hosp","quantile",0.025,1369,"COVID-19"
"DE","00+",2021-10-09,2021-10-09,"0 day ahead inc hosp","quantile",0.025,1393,"COVID-19"
"DE","00+",2021-10-09,2021-09-11,"-28 day ahead inc hosp","quantile",0.1,2332,"COVID-19"
"DE","00+",2021-10-09,2021-09-12,"-27 day ahead inc hosp","quantile",0.1,2310,"COVID-19"
"DE","00+",2021-10-09,2021-09-13,"-26 day ahead inc hosp","quantile",0.1,2302,"COVID-19"
"DE","00+",2021-10-09,2021-09-14,"-25 day ahead inc hosp","quantile",0.1,2285,"COVID-19"
"DE","00+",2021-10-09,2021-09-15,"-24 day ahead inc hosp","quantile",0.1,2211,"COVID-19"
