"location","age_group","forecast_date","target_end_date","target","type","quantile","value","pathogen"
"DE","00+",2021-09-30,2021-09-02,"-28 day ahead inc hosp","mean",NA,3086,"COVID-19"
"DE","00+",2021-09-30,2021-09-03,"-27 day ahead inc hosp","mean",NA,3107,"COVID-19"
"DE","00+",2021-09-30,2021-09-04,"-26 day ahead inc hosp","mean",NA,3127,"COVID-19"
"DE","00+",2021-09-30,2021-09-05,"-25 day ahead inc hosp","mean",NA,3113,"COVID-19"
"DE","00+",2021-09-30,2021-09-06,"-24 day ahead inc hosp","mean",NA,3100,"COVID-19"
"DE","00+",2021-09-30,2021-09-07,"-23 day ahead inc hosp","mean",NA,3110,"COVID-19"
"DE","00+",2021-09-30,2021-09-08,"-22 day ahead inc hosp","mean",NA,3097,"COVID-19"
"DE","00+",2021-09-30,2021-09-09,"-21 day ahead inc hosp","mean",NA,3096,"COVID-19"
"DE","00+",2021-09-30,2021-09-10,"-20 day ahead inc hosp","mean",NA,3110,"COVID-19"
"DE","00+",2021-09-30,2021-09-11,"-19 day ahead inc hosp","mean",NA,3108,"COVID-19"
"DE","00+",2021-09-30,2021-09-12,"-18 day ahead inc hosp","mean",NA,3079,"COVID-19"
"DE","00+",2021-09-30,2021-09-13,"-17 day ahead inc hosp","mean",NA,3069,"COVID-19"
"DE","00+",2021-09-30,2021-09-14,"-16 day ahead inc hosp","mean",NA,3046,"COVID-19"
"DE","00+",2021-09-30,2021-09-15,"-15 day ahead inc hosp","mean",NA,2948,"COVID-19"
"DE","00+",2021-09-30,2021-09-16,"-14 day ahead inc hosp","mean",NA,2890,"COVID-19"
"DE","00+",2021-09-30,2021-09-17,"-13 day ahead inc hosp","mean",NA,2790,"COVID-19"
"DE","00+",2021-09-30,2021-09-18,"-12 day ahead inc hosp","mean",NA,2695,"COVID-19"
"DE","00+",2021-09-30,2021-09-19,"-11 day ahead inc hosp","mean",NA,2641,"COVID-19"
"DE","00+",2021-09-30,2021-09-20,"-10 day ahead inc hosp","mean",NA,2584,"COVID-19"
"DE","00+",2021-09-30,2021-09-21,"-9 day ahead inc hosp","mean",NA,2516,"COVID-19"
"DE","00+",2021-09-30,2021-09-22,"-8 day ahead inc hosp","mean",NA,2450,"COVID-19"
"DE","00+",2021-09-30,2021-09-23,"-7 day ahead inc hosp","mean",NA,2384,"COVID-19"
"DE","00+",2021-09-30,2021-09-24,"-6 day ahead inc hosp","mean",NA,2383,"COVID-19"
