"location","age_group","forecast_date","target_end_date","target","type","quantile","value","pathogen"
"DE","00+","2021-10-18","2021-09-20","-28 day ahead inc hosp","quantile",0.5,2654,"COVID-19"
"DE","00+","2021-10-18","2021-09-21","-27 day ahead inc hosp","quantile",0.5,2587,"COVID-19"
"DE","00+","2021-10-18","2021-09-22","-26 day ahead inc hosp","quantile",0.5,2527,"COVID-19"
"DE","00+","2021-10-18","2021-09-23","-25 day ahead inc hosp","quantile",0.5,2475,"COVID-19"
"DE","00+","2021-10-18","2021-09-24","-24 day ahead inc hosp","quantile",0.5,2490,"COVID-19"
"DE","00+","2021-10-18","2021-09-25","-23 day ahead inc hosp","quantile",0.5,2478,"COVID-19"
"DE","00+","2021-10-18","2021-09-26","-22 day ahead inc hosp","quantile",0.5,2451,"COVID-19"
"DE","00+","2021-10-18","2021-09-27","-21 day ahead inc hosp","quantile",0.5,2458,"COVID-19"
"DE","00+","2021-10-18","2021-09-28","-20 day ahead inc hosp","quantile",0.5,2489,"COVID-19"
"DE","00+","2021-10-18","2021-09-29","-19 day ahead inc hosp","quantile",0.5,2579,"COVID-19"
"DE","00+","2021-10-18","2021-09-30","-18 day ahead inc hosp","quantile",0.5,2617,"COVID-19"
"DE","00+","2021-10-18","2021-10-01","-17 day ahead inc hosp","quantile",0.5,2550,"COVID-19"
"DE","00+","2021-10-18","2021-10-02","-16 day ahead inc hosp","quantile",0.5,2539,"COVID-19"
"DE","00+","2021-10-18","2021-10-03","-15 day ahead inc hosp","quantile",0.5,2551,"COVID-19"
"DE","00+","2021-10-18","2021-10-04","-14 day ahead inc hosp","quantile",0.5,2546,"COVID-19"
"DE","00+","2021-10-18","2021-10-05","-13 day ahead inc hosp","quantile",0.5,2504,"COVID-19"
"DE","00+","2021-10-18","2021-10-06","-12 day ahead inc hosp","quantile",0.5,2401,"COVID-19"
"DE","00+","2021-10-18","2021-10-07","-11 day ahead inc hosp","quantile",0.5,2391,"COVID-19"
