"location","age_group","forecast_date","target_end_date","target","type","quantile","value","pathogen"
"DE","00+",2021-10-24,2021-10-24,"0 day ahead inc hosp","mean",NA,4631,"COVID-19"
"DE","00+",2021-10-24,2021-10-24,"0 day ahead inc hosp","quantile",0.025,3561,"COVID-19"
"DE","00+",2021-10-24,2021-10-24,"0 day ahead inc hosp","quantile",0.1,3865,"COVID-19"
"DE","00+",2021-10-24,2021-10-24,"0 day ahead inc hosp","quantile",0.25,4177,"COVID-19"
"DE","00+",2021-10-24,2021-10-24,"0 day ahead inc hosp","quantile",0.5,4573,"COVID-19"
"DE","00+",2021-10-24,2021-10-24,"0 day ahead inc hosp","quantile",0.75,5022,"COVID-19"
"DE","00+",2021-10-24,2021-10-24,"0 day ahead inc hosp","quantile",0.9,5473,"COVID-19"
"DE","00+",2021-10-24,2021-10-24,"0 day ahead inc hosp","quantile",0.975,6033,"COVID-19"
"DE","00+",2021-10-24,2021-10-23,"-1 day ahead inc hosp","mean",NA,4727,"COVID-19"
"DE","00+",2021-10-24,2021-10-23,"-1 day ahead inc hosp","quantile",0.025,3570,"COVID-19"
"DE","00+",2021-10-24,2021-10-23,"-1 day ahead inc hosp","quantile",0.1,3885,"COVID-19"
"DE","00+",2021-10-24,2021-10-23,"-1 day ahead inc hosp","quantile",0.25,4219,"COVID-19"
"DE","00+",2021-10-24,2021-10-23,"-1 day ahead inc hosp","quantile",0.5,4652,"COVID-19"
"DE","00+",2021-10-24,2021-10-23,"-1 day ahead inc hosp","quantile",0.75,5154,"COVID-19"
"DE","00+",2021-10-24,2021-10-23,"-1 day ahead inc hosp","quantile",0.9,5667,"COVID-19"
"DE","00+",2021-10-24,2021-10-23,"-1 day ahead inc hosp","quantile",0.975,6313,"COVID-19"
"DE","00+",2021-10-24,2021-10-22,"-2 day ahead inc hosp","mean",NA,4660,"COVID-19"
"DE","00+",2021-10-24,2021-10-22,"-2 day ahead inc hosp","quantile",0.025,3534,"COVID-19"
"DE","00+",2021-10-24,2021-10-22,"-2 day ahead inc hosp","quantile",0.1,3832,"COVID-19"
"DE","00+",2021-10-24,2021-10-22,"-2 day ahead inc hosp","quantile",0.25,4154,"COVID-19"
"DE","00+",2021-10-24,2021-10-22,"-2 day ahead inc hosp","quantile",0.5,4578,"COVID-19"
"DE","00+",2021-10-24,2021-10-22,"-2 day ahead inc hosp","quantile",0.75,5077,"COVID-19"
"DE","00+",2021-10-24,2021-10-22,"-2 day ahead inc hosp","quantile",0.9,5593,"COVID-19"
"DE","00+",2021-10-24,2021-10-22,"-2 day ahead inc hosp","quantile",0.975,6249,"COVID-19"
"DE","00+",2021-10-24,2021-10-21,"-3 day ahead inc hosp","mean",NA,4463,"COVID-19"
"DE","00+",2021-10-24,2021-10-21,"-3 day ahead inc hosp","quantile",0.025,3419,"COVID-19"
"DE","00+",2021-10-24,2021-10-21,"-3 day ahead inc hosp","quantile",0.1,3688,"COVID-19"
"DE","00+",2021-10-24,2021-10-21,"-3 day ahead inc hosp","quantile",0.25,3984,"COVID-19"
"DE","00+",2021-10-24,2021-10-21,"-3 day ahead inc hosp","quantile",0.5,4380,"COVID-19"
"DE","00+",2021-10-24,2021-10-21,"-3 day ahead inc hosp","quantile",0.75,4851,"COVID-19"
"DE","00+",2021-10-24,2021-10-21,"-3 day ahead inc hosp","quantile",0.9,5344,"COVID-19"
"DE","00+",2021-10-24,2021-10-21,"-3 day ahead inc hosp","quantile",0.975,5976,"COVID-19"
"DE","00+",2021-10-24,2021-10-20,"-4 day ahead inc hosp","mean",NA,4227,"COVID-19"
"DE","00+",2021-10-24,2021-10-20,"-4 day ahead inc hosp","quantile",0.025,3268,"COVID-19"
"DE","00+",2021-10-24,2021-10-20,"-4 day ahead inc hosp","quantile",0.1,3507,"COVID-19"
"DE","00+",2021-10-24,2021-10-20,"-4 day ahead inc hosp","quantile",0.25,3776,"COVID-19"
"DE","00+",2021-10-24,2021-10-20,"-4 day ahead inc hosp","quantile",0.5,4143,"COVID-19"
"DE","00+",2021-10-24,2021-10-20,"-4 day ahead inc hosp","quantile",0.75,4587,"COVID-19"
"DE","00+",2021-10-24,2021-10-20,"-4 day ahead inc hosp","quantile",0.9,5057,"COVID-19"
"DE","00+",2021-10-24,2021-10-20,"-4 day ahead inc hosp","quantile",0.975,5665,"COVID-19"
"DE","00+",2021-10-24,2021-10-19,"-5 day ahead inc hosp","mean",NA,3867,"COVID-19"
"DE","00+",2021-10-24,2021-10-19,"-5 day ahead inc hosp","quantile",0.025,3044,"COVID-19"
"DE","00+",2021-10-24,2021-10-19,"-5 day ahead inc hosp","quantile",0.1,3242,"COVID-19"
"DE","00+",2021-10-24,2021-10-19,"-5 day ahead inc hosp","quantile",0.25,3470,"COVID-19"
"DE","00+",2021-10-24,2021-10-19,"-5 day ahead inc hosp","quantile",0.5,3787,"COVID-19"
"DE","00+",2021-10-24,2021-10-19,"-5 day ahead inc hosp","quantile",0.75,4178,"COVID-19"
"DE","00+",2021-10-24,2021-10-19,"-5 day ahead inc hosp","quantile",0.9,4597,"COVID-19"
"DE","00+",2021-10-24,2021-10-19,"-5 day ahead inc hosp","quantile",0.975,5144,"COVID-19"
"DE","00+",2021-10-24,2021-10-18,"-6 day ahead inc hosp","mean",NA,3503,"COVID-19"
"DE","00+",2021-10-24,2021-10-18,"-6 day ahead inc hosp","quantile",0.025,2803,"COVID-19"
"DE","00+",2021-10-24,2021-10-18,"-6 day ahead inc hosp","quantile",0.1,2963,"COVID-19"
"DE","00+",2021-10-24,2021-10-18,"-6 day ahead inc hosp","quantile",0.25,3155,"COVID-19"
"DE","00+",2021-10-24,2021-10-18,"-6 day ahead inc hosp","quantile",0.5,3428,"COVID-19"
"DE","00+",2021-10-24,2021-10-18,"-6 day ahead inc hosp","quantile",0.75,3769,"COVID-19"
"DE","00+",2021-10-24,2021-10-18,"-6 day ahead inc hosp","quantile",0.9,4141,"COVID-19"
"DE","00+",2021-10-24,2021-10-18,"-6 day ahead inc hosp","quantile",0.975,4631,"COVID-19"
"DE","00+",2021-10-24,2021-10-17,"-7 day ahead inc hosp","mean",NA,3428,"COVID-19"
"DE","00+",2021-10-24,2021-10-17,"-7 day ahead inc hosp","quantile",0.025,2732,"COVID-19"
"DE","00+",2021-10-24,2021-10-17,"-7 day ahead inc hosp","quantile",0.1,2883,"COVID-19"
"DE","00+",2021-10-24,2021-10-17,"-7 day ahead inc hosp","quantile",0.25,3070,"COVID-19"
"DE","00+",2021-10-24,2021-10-17,"-7 day ahead inc hosp","quantile",0.5,3344,"COVID-19"
"DE","00+",2021-10-24,2021-10-17,"-7 day ahead inc hosp","quantile",0.75,3694,"COVID-19"
"DE","00+",2021-10-24,2021-10-17,"-7 day ahead inc hosp","quantile",0.9,4082,"COVID-19"
"DE","00+",2021-10-24,2021-10-17,"-7 day ahead inc hosp","quantile",0.975,4600,"COVID-19"
"DE","00+",2021-10-24,2021-10-16,"-8 day ahead inc hosp","mean",NA,3371,"COVID-19"
"DE","00+",2021-10-24,2021-10-16,"-8 day ahead inc hosp","quantile",0.025,2689,"COVID-19"
"DE","00+",2021-10-24,2021-10-16,"-8 day ahead inc hosp","quantile",0.1,2828,"COVID-19"
"DE","00+",2021-10-24,2021-10-16,"-8 day ahead inc hosp","quantile",0.25,3007,"COVID-19"
"DE","00+",2021-10-24,2021-10-16,"-8 day ahead inc hosp","quantile",0.5,3278,"COVID-19"
"DE","00+",2021-10-24,2021-10-16,"-8 day ahead inc hosp","quantile",0.75,3634,"COVID-19"
"DE","00+",2021-10-24,2021-10-16,"-8 day ahead inc hosp","quantile",0.9,4035,"COVID-19"
"DE","00+",2021-10-24,2021-10-16,"-8 day ahead inc hosp","quantile",0.975,4578,"COVID-19"
"DE","00+",2021-10-24,2021-10-15,"-9 day ahead inc hosp","mean",NA,3306,"COVID-19"
"DE","00+",2021-10-24,2021-10-15,"-9 day ahead inc hosp","quantile",0.025,2665,"COVID-19"
"DE","00+",2021-10-24,2021-10-15,"-9 day ahead inc hosp","quantile",0.1,2787,"COVID-19"
"DE","00+",2021-10-24,2021-10-15,"-9 day ahead inc hosp","quantile",0.25,2952,"COVID-19"
"DE","00+",2021-10-24,2021-10-15,"-9 day ahead inc hosp","quantile",0.5,3210,"COVID-19"
"DE","00+",2021-10-24,2021-10-15,"-9 day ahead inc hosp","quantile",0.75,3556,"COVID-19"
"DE","00+",2021-10-24,2021-10-15,"-9 day ahead inc hosp","quantile",0.9,3951,"COVID-19"
"DE","00+",2021-10-24,2021-10-15,"-9 day ahead inc hosp","quantile",0.975,4494,"COVID-19"
"DE","00+",2021-10-24,2021-10-14,"-10 day ahead inc hosp","mean",NA,3199,"COVID-19"
"DE","00+",2021-10-24,2021-10-14,"-10 day ahead inc hosp","quantile",0.025,2609,"COVID-19"
"DE","00+",2021-10-24,2021-10-14,"-10 day ahead inc hosp","quantile",0.1,2716,"COVID-19"
"DE","00+",2021-10-24,2021-10-14,"-10 day ahead inc hosp","quantile",0.25,2865,"COVID-19"
"DE","00+",2021-10-24,2021-10-14,"-10 day ahead inc hosp","quantile",0.5,3103,"COVID-19"
"DE","00+",2021-10-24,2021-10-14,"-10 day ahead inc hosp","quantile",0.75,3430,"COVID-19"
"DE","00+",2021-10-24,2021-10-14,"-10 day ahead inc hosp","quantile",0.9,3808,"COVID-19"
"DE","00+",2021-10-24,2021-10-14,"-10 day ahead inc hosp","quantile",0.975,4332,"COVID-19"
"DE","00+",2021-10-24,2021-10-13,"-11 day ahead inc hosp","mean",NA,3137,"COVID-19"
"DE","00+",2021-10-24,2021-10-13,"-11 day ahead inc hosp","quantile",0.025,2591,"COVID-19"
"DE","00+",2021-10-24,2021-10-13,"-11 day ahead inc hosp","quantile",0.1,2685,"COVID-19"
"DE","00+",2021-10-24,2021-10-13,"-11 day ahead inc hosp","quantile",0.25,2820,"COVID-19"
"DE","00+",2021-10-24,2021-10-13,"-11 day ahead inc hosp","quantile",0.5,3042,"COVID-19"
"DE","00+",2021-10-24,2021-10-13,"-11 day ahead inc hosp","quantile",0.75,3351,"COVID-19"
"DE","00+",2021-10-24,2021-10-13,"-11 day ahead inc hosp","quantile",0.9,3712,"COVID-19"
"DE","00+",2021-10-24,2021-10-13,"-11 day ahead inc hosp","quantile",0.975,4216,"COVID-19"
"DE","00+",2021-10-24,2021-10-12,"-12 day ahead inc hosp","mean",NA,3016,"COVID-19"
"DE","00+",2021-10-24,2021-10-12,"-12 day ahead inc hosp","quantile",0.025,2528,"COVID-19"
"DE","00+",2021-10-24,2021-10-12,"-12 day ahead inc hosp","quantile",0.1,2609,"COVID-19"
"DE","00+",2021-10-24,2021-10-12,"-12 day ahead inc hosp","quantile",0.25,2729,"COVID-19"
"DE","00+",2021-10-24,2021-10-12,"-12 day ahead inc hosp","quantile",0.5,2928,"COVID-19"
"DE","00+",2021-10-24,2021-10-12,"-12 day ahead inc hosp","quantile",0.75,3209,"COVID-19"
"DE","00+",2021-10-24,2021-10-12,"-12 day ahead inc hosp","quantile",0.9,3540,"COVID-19"
