location,age_group,forecast_date,target_end_date,target,type,quantile,value,pathogen
DE,00+,2021-10-10,2021-09-12,-28 day ahead inc hosp,mean,NA,3337.094,COVID-19
DE,00+,2021-10-10,2021-09-12,-28 day ahead inc hosp,quantile,0.025,3294.975,COVID-19
DE,00+,2021-10-10,2021-09-12,-28 day ahead inc hosp,quantile,0.1,3307,COVID-19
DE,00+,2021-10-10,2021-09-12,-28 day ahead inc hosp,quantile,0.25,3320,COVID-19
DE,00+,2021-10-10,2021-09-12,-28 day ahead inc hosp,quantile,0.5,3335,COVID-19
DE,00+,2021-10-10,2021-09-12,-28 day ahead inc hosp,quantile,0.75,3353,COVID-19
DE,00+,2021-10-10,2021-09-12,-28 day ahead inc hosp,quantile,0.9,3369,COVID-19
DE,00+,2021-10-10,2021-09-12,-28 day ahead inc hosp,quantile,0.975,3391,COVID-19
DE,00+,2021-10-10,2021-09-13,-27 day ahead inc hosp,mean,NA,3328.065,COVID-19
DE,00+,2021-10-10,2021-09-13,-27 day ahead inc hosp,quantile,0.025,3284,COVID-19
DE,00+,2021-10-10,2021-09-13,-27 day ahead inc hosp,quantile,0.1,3299,COVID-19
DE,00+,2021-10-10,2021-09-13,-27 day ahead inc hosp,quantile,0.25,3310,COVID-19
DE,00+,2021-10-10,2021-09-13,-27 day ahead inc hosp,quantile,0.5,3326,COVID-19
DE,00+,2021-10-10,2021-09-13,-27 day ahead inc hosp,quantile,0.75,3344,COVID-19
DE,00+,2021-10-10,2021-09-13,-27 day ahead inc hosp,quantile,0.9,3360,COVID-19
DE,00+,2021-10-10,2021-09-13,-27 day ahead inc hosp,quantile,0.975,3382.025,COVID-19
DE,00+,2021-10-10,2021-09-14,-26 day ahead inc hosp,mean,NA,3314.409,COVID-19
DE,00+,2021-10-10,2021-09-14,-26 day ahead inc hosp,quantile,0.025,3269,COVID-19
DE,00+,2021-10-10,2021-09-14,-26 day ahead inc hosp,quantile,0.1,3283.8999999999996,COVID-19
DE,00+,2021-10-10,2021-09-14,-26 day ahead inc hosp,quantile,0.25,3296,COVID-19
DE,00+,2021-10-10,2021-09-14,-26 day ahead inc hosp,quantile,0.5,3313,COVID-19
DE,00+,2021-10-10,2021-09-14,-26 day ahead inc hosp,quantile,0.75,3331,COVID-19
DE,00+,2021-10-10,2021-09-14,-26 day ahead inc hosp,quantile,0.9,3347,COVID-19
DE,00+,2021-10-10,2021-09-14,-26 day ahead inc hosp,quantile,0.975,3365.0249999999996,COVID-19
DE,00+,2021-10-10,2021-09-15,-25 day ahead inc hosp,mean,NA,3222.301,COVID-19
DE,00+,2021-10-10,2021-09-15,-25 day ahead inc hosp,quantile,0.025,3175,COVID-19
DE,00+,2021-10-10,2021-09-15,-25 day ahead inc hosp,quantile,0.1,3193,COVID-19
DE,00+,2021-10-10,2021-09-15,-25 day ahead inc hosp,quantile,0.25,3206,COVID-19
DE,00+,2021-10-10,2021-09-15,-25 day ahead inc hosp,quantile,0.5,3220,COVID-19
DE,00+,2021-10-10,2021-09-15,-25 day ahead inc hosp,quantile,0.75,3238,COVID-19
DE,00+,2021-10-10,2021-09-15,-25 day ahead inc hosp,quantile,0.9,3255,COVID-19
DE,00+,2021-10-10,2021-09-15,-25 day ahead inc hosp,quantile,0.975,3278.0750000000003,COVID-19
DE,00+,2021-10-10,2021-09-16,-24 day ahead inc hosp,mean,NA,3159.526,COVID-19
DE,00+,2021-10-10,2021-09-16,-24 day ahead inc hosp,quantile,0.025,3113.9750000000004,COVID-19
DE,00+,2021-10-10,2021-09-16,-24 day ahead inc hosp,quantile,0.1,3129,COVID-19
DE,00+,2021-10-10,2021-09-16,-24 day ahead inc hosp,quantile,0.25,3142,COVID-19
DE,00+,2021-10-10,2021-09-16,-24 day ahead inc hosp,quantile,0.5,3158,COVID-19
DE,00+,2021-10-10,2021-09-16,-24 day ahead inc hosp,quantile,0.75,3175,COVID-19
DE,00+,2021-10-10,2021-09-16,-24 day ahead inc hosp,quantile,0.9,3192,COVID-19
DE,00+,2021-10-10,2021-09-16,-24 day ahead inc hosp,quantile,0.975,3211.05,COVID-19
DE,00+,2021-10-10,2021-09-17,-23 day ahead inc hosp,mean,NA,3063.351,COVID-19
DE,00+,2021-10-10,2021-09-17,-23 day ahead inc hosp,quantile,0.025,3016,COVID-19
DE,00+,2021-10-10,2021-09-17,-23 day ahead inc hosp,quantile,0.1,3033,COVID-19
