location,age_group,forecast_date,target_end_date,target,type,quantile,value,pathogen
DE,00+,2022-02-16,2022-02-13,-3 day ahead inc hosp,mean,,9751,COVID-19
DE,00+,2022-02-16,2022-02-12,-4 day ahead inc hosp,mean,,9808,COVID-19
DE,00+,2022-02-16,2022-02-11,-5 day ahead inc hosp,mean,,9815,COVID-19
DE,00+,2022-02-16,2022-02-10,-6 day ahead inc hosp,mean,,9941,COVID-19
DE,00+,2022-02-16,2022-02-09,-7 day ahead inc hosp,mean,,9810,COVID-19
DE,00+,2022-02-16,2022-02-08,-8 day ahead inc hosp,mean,,9522,COVID-19
DE,00+,2022-02-16,2022-02-07,-9 day ahead inc hosp,mean,,9169,COVID-19
DE,00+,2022-02-16,2022-02-06,-10 day ahead inc hosp,mean,,9104,COVID-19
DE,00+,2022-02-16,2022-02-05,-11 day ahead inc hosp,mean,,9009,COVID-19
DE,00+,2022-02-16,2022-02-04,-12 day ahead inc hosp,mean,,8734,COVID-19
DE,00+,2022-02-16,2022-02-03,-13 day ahead inc hosp,mean,,8265,COVID-19
DE,00+,2022-02-16,2022-02-02,-14 day ahead inc hosp,mean,,7917,COVID-19
DE,00+,2022-02-16,2022-02-01,-15 day ahead inc hosp,mean,,7664,COVID-19
DE,00+,2022-02-16,2022-01-31,-16 day ahead inc hosp,mean,,7565,COVID-19
DE,00+,2022-02-16,2022-01-30,-17 day ahead inc hosp,mean,,7545,COVID-19
DE,00+,2022-02-16,2022-01-29,-18 day ahead inc hosp,mean,,7371,COVID-19
DE,00+,2022-02-16,2022-01-28,-19 day ahead inc hosp,mean,,7264,COVID-19
DE,00+,2022-02-16,2022-01-27,-20 day ahead inc hosp,mean,,7091,COVID-19
DE,00+,2022-02-16,2022-01-26,-21 day ahead inc hosp,mean,,6971,COVID-19
DE,00+,2022-02-16,2022-01-25,-22 day ahead inc hosp,mean,,6680,COVID-19
DE,00+,2022-02-16,2022-01-24,-23 day ahead inc hosp,mean,,6374,COVID-19
DE,00+,2022-02-16,2022-01-23,-24 day ahead inc hosp,mean,,6168,COVID-19
DE,00+,2022-02-16,2022-01-22,-25 day ahead inc hosp,mean,,6059,COVID-19
DE,00+,2022-02-16,2022-01-21,-26 day ahead inc hosp,mean,,5758,COVID-19
DE,00+,2022-02-16,2022-01-20,-27 day ahead inc hosp,mean,,5536,COVID-19
DE,00+,2022-02-16,2022-01-19,-28 day ahead inc hosp,mean,,5251,COVID-19
DE-SH,00+,2022-02-16,2022-02-13,-3 day ahead inc hosp,mean,,260,COVID-19
DE-SH,00+,2022-02-16,2022-02-12,-4 day ahead inc hosp,mean,,277,COVID-19
DE-SH,00+,2022-02-16,2022-02-11,-5 day ahead inc hosp,mean,,272,COVID-19
DE-SH,00+,2022-02-16,2022-02-10,-6 day ahead inc hosp,mean,,263,COVID-19
DE-SH,00+,2022-02-16,2022-02-09,-7 day ahead inc hosp,mean,,261,COVID-19
DE-SH,00+,2022-02-16,2022-02-08,-8 day ahead inc hosp,mean,,271,COVID-19
DE-SH,00+,2022-02-16,2022-02-07,-9 day ahead inc hosp,mean,,267,COVID-19
DE-SH,00+,2022-02-16,2022-02-06,-10 day ahead inc hosp,mean,,260,COVID-19
DE-SH,00+,2022-02-16,2022-02-05,-11 day ahead inc hosp,mean,,251,COVID-19
DE-SH,00+,2022-02-16,2022-02-04,-12 day ahead inc hosp,mean,,237,COVID-19
DE-SH,00+,2022-02-16,2022-02-03,-13 day ahead inc hosp,mean,,247,COVID-19
DE-SH,00+,2022-02-16,2022-02-02,-14 day ahead inc hosp,mean,,259,COVID-19
DE-SH,00+,2022-02-16,2022-02-01,-15 day ahead inc hosp,mean,,258,COVID-19
DE-SH,00+,2022-02-16,2022-01-31,-16 day ahead inc hosp,mean,,268,COVID-19
DE-SH,00+,2022-02-16,2022-01-30,-17 day ahead inc hosp,mean,,279,COVID-19
DE-SH,00+,2022-02-16,2022-01-29,-18 day ahead inc hosp,mean,,280,COVID-19
DE-SH,00+,2022-02-16,2022-01-28,-19 day ahead inc hosp,mean,,298,COVID-19
DE-SH,00+,2022-02-16,2022-01-27,-20 day ahead inc hosp,mean,,302,COVID-19
DE-SH,00+,2022-02-16,2022-01-26,-21 day ahead inc hosp,mean,,299,COVID-19
DE-SH,00+,2022-02-16,2022-01-25,-22 day ahead inc hosp,mean,,292,COVID-19
DE-SH,00+,2022-02-16,2022-01-24,-23 day ahead inc hosp,mean,,281,COVID-19
DE-SH,00+,2022-02-16,2022-01-23,-24 day ahead inc hosp,mean,,282,COVID-19
DE-SH,00+,2022-02-16,2022-01-22,-25 day ahead inc hosp,mean,,292,COVID-19
DE-SH,00+,2022-02-16,2022-01-21,-26 day ahead inc hosp,mean,,297,COVID-19
DE-SH,00+,2022-02-16,2022-01-20,-27 day ahead inc hosp,mean,,292,COVID-19
DE-SH,00+,2022-02-16,2022-01-19,-28 day ahead inc hosp,mean,,273,COVID-19
DE-HH,00+,2022-02-16,2022-02-13,-3 day ahead inc hosp,mean,,129,COVID-19
DE-HH,00+,2022-02-16,2022-02-12,-4 day ahead inc hosp,mean,,134,COVID-19
DE-HH,00+,2022-02-16,2022-02-11,-5 day ahead inc hosp,mean,,157,COVID-19
DE-HH,00+,2022-02-16,2022-02-10,-6 day ahead inc hosp,mean,,171,COVID-19
DE-HH,00+,2022-02-16,2022-02-09,-7 day ahead inc hosp,mean,,174,COVID-19
DE-HH,00+,2022-02-16,2022-02-08,-8 day ahead inc hosp,mean,,206,COVID-19
DE-HH,00+,2022-02-16,2022-02-07,-9 day ahead inc hosp,mean,,225,COVID-19
DE-HH,00+,2022-02-16,2022-02-06,-10 day ahead inc hosp,mean,,223,COVID-19
DE-HH,00+,2022-02-16,2022-02-05,-11 day ahead inc hosp,mean,,229,COVID-19
DE-HH,00+,2022-02-16,2022-02-04,-12 day ahead inc hosp,mean,,235,COVID-19
DE-HH,00+,2022-02-16,2022-02-03,-13 day ahead inc hosp,mean,,235,COVID-19
DE-HH,00+,2022-02-16,2022-02-02,-14 day ahead inc hosp,mean,,246,COVID-19
DE-HH,00+,2022-02-16,2022-02-01,-15 day ahead inc hosp,mean,,244,COVID-19
DE-HH,00+,2022-02-16,2022-01-31,-16 day ahead inc hosp,mean,,249,COVID-19
DE-HH,00+,2022-02-16,2022-01-30,-17 day ahead inc hosp,mean,,266,COVID-19
DE-HH,00+,2022-02-16,2022-01-29,-18 day ahead inc hosp,mean,,263,COVID-19
DE-HH,00+,2022-02-16,2022-01-28,-19 day ahead inc hosp,mean,,266,COVID-19
DE-HH,00+,2022-02-16,2022-01-27,-20 day ahead inc hosp,mean,,286,COVID-19
DE-HH,00+,2022-02-16,2022-01-26,-21 day ahead inc hosp,mean,,290,COVID-19
DE-HH,00+,2022-02-16,2022-01-25,-22 day ahead inc hosp,mean,,265,COVID-19
DE-HH,00+,2022-02-16,2022-01-24,-23 day ahead inc hosp,mean,,253,COVID-19
