location,age_group,forecast_date,target_end_date,target,type,quantile,value,pathogen
DE,00-04,2021-11-27,2021-10-30,-28 day ahead inc hosp,quantile,0.025,86,COVID-19
DE,00-04,2021-11-27,2021-10-30,-28 day ahead inc hosp,quantile,0.1,86,COVID-19
DE,00-04,2021-11-27,2021-10-30,-28 day ahead inc hosp,quantile,0.25,86,COVID-19
DE,00-04,2021-11-27,2021-10-30,-28 day ahead inc hosp,quantile,0.5,87,COVID-19
DE,00-04,2021-11-27,2021-10-30,-28 day ahead inc hosp,quantile,0.75,87,COVID-19
DE,00-04,2021-11-27,2021-10-30,-28 day ahead inc hosp,quantile,0.9,88,COVID-19
DE,00-04,2021-11-27,2021-10-30,-28 day ahead inc hosp,quantile,0.975,90,COVID-19
DE,00-04,2021-11-27,2021-10-30,-28 day ahead inc hosp,mean,NA,86.90925,COVID-19
DE,00-04,2021-11-27,2021-10-31,-27 day ahead inc hosp,quantile,0.025,82,COVID-19
DE,00-04,2021-11-27,2021-10-31,-27 day ahead inc hosp,quantile,0.1,82,COVID-19
DE,00-04,2021-11-27,2021-10-31,-27 day ahead inc hosp,quantile,0.25,82,COVID-19
DE,00-04,2021-11-27,2021-10-31,-27 day ahead inc hosp,quantile,0.5,83,COVID-19
DE,00-04,2021-11-27,2021-10-31,-27 day ahead inc hosp,quantile,0.75,84,COVID-19
DE,00-04,2021-11-27,2021-10-31,-27 day ahead inc hosp,quantile,0.9,85,COVID-19
DE,00-04,2021-11-27,2021-10-31,-27 day ahead inc hosp,quantile,0.975,86,COVID-19
DE,00-04,2021-11-27,2021-10-31,-27 day ahead inc hosp,mean,NA,83.07025,COVID-19
DE,00-04,2021-11-27,2021-11-01,-26 day ahead inc hosp,quantile,0.025,86,COVID-19
DE,00-04,2021-11-27,2021-11-01,-26 day ahead inc hosp,quantile,0.1,86,COVID-19
DE,00-04,2021-11-27,2021-11-01,-26 day ahead inc hosp,quantile,0.25,86,COVID-19
DE,00-04,2021-11-27,2021-11-01,-26 day ahead inc hosp,quantile,0.5,87,COVID-19
DE,00-04,2021-11-27,2021-11-01,-26 day ahead inc hosp,quantile,0.75,88,COVID-19
DE,00-04,2021-11-27,2021-11-01,-26 day ahead inc hosp,quantile,0.9,89,COVID-19
DE,00-04,2021-11-27,2021-11-01,-26 day ahead inc hosp,quantile,0.975,90,COVID-19
DE,00-04,2021-11-27,2021-11-01,-26 day ahead inc hosp,mean,NA,87.20425,COVID-19
DE,00-04,2021-11-27,2021-11-02,-25 day ahead inc hosp,quantile,0.025,79,COVID-19
DE,00-04,2021-11-27,2021-11-02,-25 day ahead inc hosp,quantile,0.1,79,COVID-19
DE,00-04,2021-11-27,2021-11-02,-25 day ahead inc hosp,quantile,0.25,79,COVID-19
DE,00-04,2021-11-27,2021-11-02,-25 day ahead inc hosp,quantile,0.5,80,COVID-19
DE,00-04,2021-11-27,2021-11-02,-25 day ahead inc hosp,quantile,0.75,81,COVID-19
DE,00-04,2021-11-27,2021-11-02,-25 day ahead inc hosp,quantile,0.9,82,COVID-19
DE,00-04,2021-11-27,2021-11-02,-25 day ahead inc hosp,quantile,0.975,84,COVID-19
DE,00-04,2021-11-27,2021-11-02,-25 day ahead inc hosp,mean,NA,80.2845,COVID-19
DE,00-04,2021-11-27,2021-11-03,-24 day ahead inc hosp,quantile,0.025,72,COVID-19
DE,00-04,2021-11-27,2021-11-03,-24 day ahead inc hosp,quantile,0.1,72,COVID-19
