target,target_end_date,location,age_group,type,quantile,value,pathogen
-28 day ahead inc hosp,2021-08-09,DE,00-04,quantile,0.025,21,COVID-19
-28 day ahead inc hosp,2021-08-09,DE,00-04,quantile,0.1,21,COVID-19
-28 day ahead inc hosp,2021-08-09,DE,00-04,quantile,0.25,21,COVID-19
-28 day ahead inc hosp,2021-08-09,DE,00-04,quantile,0.5,21,COVID-19
-28 day ahead inc hosp,2021-08-09,DE,00-04,quantile,0.75,22,COVID-19
-28 day ahead inc hosp,2021-08-09,DE,00-04,quantile,0.9,23,COVID-19
-28 day ahead inc hosp,2021-08-09,DE,00-04,quantile,0.975,25,COVID-19
-28 day ahead inc hosp,2021-08-09,DE,00+,quantile,0.025,962,COVID-19
-28 day ahead inc hosp,2021-08-09,DE,00+,quantile,0.1,974,COVID-19
-28 day ahead inc hosp,2021-08-09,DE,00+,quantile,0.25,987,COVID-19
-28 day ahead inc hosp,2021-08-09,DE,00+,quantile,0.5,1005,COVID-19
-28 day ahead inc hosp,2021-08-09,DE,00+,quantile,0.75,1029,COVID-19
-28 day ahead inc hosp,2021-08-09,DE,00+,quantile,0.9,1057,COVID-19
-28 day ahead inc hosp,2021-08-09,DE,00+,quantile,0.975,1097,COVID-19
-28 day ahead inc hosp,2021-08-09,DE,05-14,quantile,0.025,18,COVID-19
-28 day ahead inc hosp,2021-08-09,DE,05-14,quantile,0.1,18,COVID-19
-28 day ahead inc hosp,2021-08-09,DE,05-14,quantile,0.25,18,COVID-19
-28 day ahead inc hosp,2021-08-09,DE,05-14,quantile,0.5,20,COVID-19
-28 day ahead inc hosp,2021-08-09,DE,05-14,quantile,0.75,21,COVID-19
-28 day ahead inc hosp,2021-08-09,DE,05-14,quantile,0.9,22,COVID-19
-28 day ahead inc hosp,2021-08-09,DE,05-14,quantile,0.975,23,COVID-19
-28 day ahead inc hosp,2021-08-09,DE,15-34,quantile,0.025,253,COVID-19
-28 day ahead inc hosp,2021-08-09,DE,15-34,quantile,0.1,257,COVID-19
-28 day ahead inc hosp,2021-08-09,DE,15-34,quantile,0.25,262,COVID-19
-28 day ahead inc hosp,2021-08-09,DE,15-34,quantile,0.5,269,COVID-19
-28 day ahead inc hosp,2021-08-09,DE,15-34,quantile,0.75,279,COVID-19
-28 day ahead inc hosp,2021-08-09,DE,15-34,quantile,0.9,291,COVID-19
-28 day ahead inc hosp,2021-08-09,DE,15-34,quantile,0.975,309,COVID-19
-28 day ahead inc hosp,2021-08-09,DE,35-59,quantile,0.025,345,COVID-19
-28 day ahead inc hosp,2021-08-09,DE,35-59,quantile,0.1,348,COVID-19
-28 day ahead inc hosp,2021-08-09,DE,35-59,quantile,0.25,351,COVID-19
-28 day ahead inc hosp,2021-08-09,DE,35-59,quantile,0.5,357,COVID-19
-28 day ahead inc hosp,2021-08-09,DE,35-59,quantile,0.75,364,COVID-19
-28 day ahead inc hosp,2021-08-09,DE,35-59,quantile,0.9,372,COVID-19
-28 day ahead inc hosp,2021-08-09,DE,35-59,quantile,0.975,385,COVID-19
-28 day ahead inc hosp,2021-08-09,DE,60-79,quantile,0.025,191,COVID-19
-28 day ahead inc hosp,2021-08-09,DE,60-79,quantile,0.1,194,COVID-19
-28 day ahead inc hosp,2021-08-09,DE,60-79,quantile,0.25,197,COVID-19
-28 day ahead inc hosp,2021-08-09,DE,60-79,quantile,0.5,203,COVID-19
-28 day ahead inc hosp,2021-08-09,DE,60-79,quantile,0.75,211,COVID-19
-28 day ahead inc hosp,2021-08-09,DE,60-79,quantile,0.9,221,COVID-19
-28 day ahead inc hosp,2021-08-09,DE,60-79,quantile,0.975,236,COVID-19
-28 day ahead inc hosp,2021-08-09,DE,80+,quantile,0.025,129,COVID-19
-28 day ahead inc hosp,2021-08-09,DE,80+,quantile,0.1,131,COVID-19
-28 day ahead inc hosp,2021-08-09,DE,80+,quantile,0.25,133,COVID-19
-28 day ahead inc hosp,2021-08-09,DE,80+,quantile,0.5,136,COVID-19
-28 day ahead inc hosp,2021-08-09,DE,80+,quantile,0.75,140,COVID-19
-28 day ahead inc hosp,2021-08-09,DE,80+,quantile,0.9,144,COVID-19
-28 day ahead inc hosp,2021-08-09,DE,80+,quantile,0.975,150,COVID-19
-27 day ahead inc hosp,2021-08-10,DE,00-04,quantile,0.025,24,COVID-19
-27 day ahead inc hosp,2021-08-10,DE,00-04,quantile,0.1,24,COVID-19
