forecast_date,target,target_end_date,location,age_group,type,quantile,value,pathogen
2022-06-16,-28 day ahead inc hosp,2022-05-19,DE,00-04,quantile,0.025,122,COVID-19
2022-06-16,-28 day ahead inc hosp,2022-05-19,DE,00-04,quantile,0.1,122,COVID-19
2022-06-16,-28 day ahead inc hosp,2022-05-19,DE,00-04,quantile,0.25,122,COVID-19
2022-06-16,-28 day ahead inc hosp,2022-05-19,DE,00-04,quantile,0.5,125,COVID-19
2022-06-16,-28 day ahead inc hosp,2022-05-19,DE,00-04,quantile,0.75,128,COVID-19
2022-06-16,-28 day ahead inc hosp,2022-05-19,DE,00-04,quantile,0.9,131,COVID-19
2022-06-16,-28 day ahead inc hosp,2022-05-19,DE,00-04,quantile,0.975,134,COVID-19
2022-06-16,-28 day ahead inc hosp,2022-05-19,DE,00+,quantile,0.025,4025,COVID-19
2022-06-16,-28 day ahead inc hosp,2022-05-19,DE,00+,quantile,0.1,4042,COVID-19
2022-06-16,-28 day ahead inc hosp,2022-05-19,DE,00+,quantile,0.25,4058,COVID-19
2022-06-16,-28 day ahead inc hosp,2022-05-19,DE,00+,quantile,0.5,4080,COVID-19
2022-06-16,-28 day ahead inc hosp,2022-05-19,DE,00+,quantile,0.75,4104,COVID-19
2022-06-16,-28 day ahead inc hosp,2022-05-19,DE,00+,quantile,0.9,4129,COVID-19
2022-06-16,-28 day ahead inc hosp,2022-05-19,DE,00+,quantile,0.975,4161,COVID-19
2022-06-16,-28 day ahead inc hosp,2022-05-19,DE,05-14,quantile,0.025,104,COVID-19
2022-06-16,-28 day ahead inc hosp,2022-05-19,DE,05-14,quantile,0.1,104,COVID-19
2022-06-16,-28 day ahead inc hosp,2022-05-19,DE,05-14,quantile,0.25,104,COVID-19
2022-06-16,-28 day ahead inc hosp,2022-05-19,DE,05-14,quantile,0.5,105,COVID-19
2022-06-16,-28 day ahead inc hosp,2022-05-19,DE,05-14,quantile,0.75,107,COVID-19
2022-06-16,-28 day ahead inc hosp,2022-05-19,DE,05-14,quantile,0.9,109,COVID-19
2022-06-16,-28 day ahead inc hosp,2022-05-19,DE,05-14,quantile,0.975,111,COVID-19
2022-06-16,-28 day ahead inc hosp,2022-05-19,DE,15-34,quantile,0.025,412,COVID-19
2022-06-16,-28 day ahead inc hosp,2022-05-19,DE,15-34,quantile,0.1,413,COVID-19
2022-06-16,-28 day ahead inc hosp,2022-05-19,DE,15-34,quantile,0.25,414,COVID-19
2022-06-16,-28 day ahead inc hosp,2022-05-19,DE,15-34,quantile,0.5,415,COVID-19
2022-06-16,-28 day ahead inc hosp,2022-05-19,DE,15-34,quantile,0.75,417,COVID-19
2022-06-16,-28 day ahead inc hosp,2022-05-19,DE,15-34,quantile,0.9,419,COVID-19
2022-06-16,-28 day ahead inc hosp,2022-05-19,DE,15-34,quantile,0.975,421,COVID-19
2022-06-16,-28 day ahead inc hosp,2022-05-19,DE,35-59,quantile,0.025,676,COVID-19
2022-06-16,-28 day ahead inc hosp,2022-05-19,DE,35-59,quantile,0.1,680,COVID-19
2022-06-16,-28 day ahead inc hosp,2022-05-19,DE,35-59,quantile,0.25,684,COVID-19
2022-06-16,-28 day ahead inc hosp,2022-05-19,DE,35-59,quantile,0.5,688,COVID-19
2022-06-16,-28 day ahead inc hosp,2022-05-19,DE,35-59,quantile,0.75,694,COVID-19
2022-06-16,-28 day ahead inc hosp,2022-05-19,DE,35-59,quantile,0.9,700,COVID-19
2022-06-16,-28 day ahead inc hosp,2022-05-19,DE,35-59,quantile,0.975,707,COVID-19
2022-06-16,-28 day ahead inc hosp,2022-05-19,DE,60-79,quantile,0.025,1318,COVID-19
2022-06-16,-28 day ahead inc hosp,2022-05-19,DE,60-79,quantile,0.1,1326,COVID-19
2022-06-16,-28 day ahead inc hosp,2022-05-19,DE,60-79,quantile,0.25,1334,COVID-19
2022-06-16,-28 day ahead inc hosp,2022-05-19,DE,60-79,quantile,0.5,1345,COVID-19
2022-06-16,-28 day ahead inc hosp,2022-05-19,DE,60-79,quantile,0.75,1358,COVID-19
2022-06-16,-28 day ahead inc hosp,2022-05-19,DE,60-79,quantile,0.9,1372,COVID-19
2022-06-16,-28 day ahead inc hosp,2022-05-19,DE,60-79,quantile,0.975,1390,COVID-19
2022-06-16,-28 day ahead inc hosp,2022-05-19,DE,80+,quantile,0.025,1380,COVID-19
2022-06-16,-28 day ahead inc hosp,2022-05-19,DE,80+,quantile,0.1,1386,COVID-19
2022-06-16,-28 day ahead inc hosp,2022-05-19,DE,80+,quantile,0.25,1393,COVID-19
2022-06-16,-28 day ahead inc hosp,2022-05-19,DE,80+,quantile,0.5,1401,COVID-19
2022-06-16,-28 day ahead inc hosp,2022-05-19,DE,80+,quantile,0.75,1411,COVID-19
2022-06-16,-28 day ahead inc hosp,2022-05-19,DE,80+,quantile,0.9,1422,COVID-19
2022-06-16,-28 day ahead inc hosp,2022-05-19,DE,80+,quantile,0.975,1436,COVID-19
2022-06-16,-27 day ahead inc hosp,2022-05-20,DE,00-04,quantile,0.025,123,COVID-19
2022-06-16,-27 day ahead inc hosp,2022-05-20,DE,00-04,quantile,0.1,123,COVID-19
2022-06-16,-27 day ahead inc hosp,2022-05-20,DE,00-04,quantile,0.25,123,COVID-19
2022-06-16,-27 day ahead inc hosp,2022-05-20,DE,00-04,quantile,0.5,126,COVID-19
2022-06-16,-27 day ahead inc hosp,2022-05-20,DE,00-04,quantile,0.75,129,COVID-19
2022-06-16,-27 day ahead inc hosp,2022-05-20,DE,00-04,quantile,0.9,133,COVID-19
2022-06-16,-27 day ahead inc hosp,2022-05-20,DE,00-04,quantile,0.975,136,COVID-19
2022-06-16,-27 day ahead inc hosp,2022-05-20,DE,00+,quantile,0.025,3840,COVID-19
2022-06-16,-27 day ahead inc hosp,2022-05-20,DE,00+,quantile,0.1,3857,COVID-19
2022-06-16,-27 day ahead inc hosp,2022-05-20,DE,00+,quantile,0.25,3875,COVID-19
2022-06-16,-27 day ahead inc hosp,2022-05-20,DE,00+,quantile,0.5,3897,COVID-19
2022-06-16,-27 day ahead inc hosp,2022-05-20,DE,00+,quantile,0.75,3924,COVID-19
2022-06-16,-27 day ahead inc hosp,2022-05-20,DE,00+,quantile,0.9,3951,COVID-19
2022-06-16,-27 day ahead inc hosp,2022-05-20,DE,00+,quantile,0.975,3986,COVID-19
2022-06-16,-27 day ahead inc hosp,2022-05-20,DE,05-14,quantile,0.025,100,COVID-19
2022-06-16,-27 day ahead inc hosp,2022-05-20,DE,05-14,quantile,0.1,100,COVID-19
2022-06-16,-27 day ahead inc hosp,2022-05-20,DE,05-14,quantile,0.25,100,COVID-19
2022-06-16,-27 day ahead inc hosp,2022-05-20,DE,05-14,quantile,0.5,101,COVID-19
2022-06-16,-27 day ahead inc hosp,2022-05-20,DE,05-14,quantile,0.75,103,COVID-19
