"location","age_group","forecast_date","target_end_date","target","type","quantile","value","pathogen"
"DE","00+",2022-03-06,2022-03-06,"0 day ahead inc hosp","mean",NA,10185,"COVID-19"
"DE","00+",2022-03-06,2022-03-06,"0 day ahead inc hosp","quantile",0.025,7763,"COVID-19"
"DE","00+",2022-03-06,2022-03-06,"0 day ahead inc hosp","quantile",0.1,8444,"COVID-19"
"DE","00+",2022-03-06,2022-03-06,"0 day ahead inc hosp","quantile",0.25,9149,"COVID-19"
"DE","00+",2022-03-06,2022-03-06,"0 day ahead inc hosp","quantile",0.5,10047,"COVID-19"
"DE","00+",2022-03-06,2022-03-06,"0 day ahead inc hosp","quantile",0.75,11071,"COVID-19"
"DE","00+",2022-03-06,2022-03-06,"0 day ahead inc hosp","quantile",0.9,12106,"COVID-19"
"DE","00+",2022-03-06,2022-03-06,"0 day ahead inc hosp","quantile",0.975,13394,"COVID-19"
"DE","00+",2022-03-06,2022-03-05,"-1 day ahead inc hosp","mean",NA,10531,"COVID-19"
"DE","00+",2022-03-06,2022-03-05,"-1 day ahead inc hosp","quantile",0.025,8014,"COVID-19"
"DE","00+",2022-03-06,2022-03-05,"-1 day ahead inc hosp","quantile",0.1,8703,"COVID-19"
"DE","00+",2022-03-06,2022-03-05,"-1 day ahead inc hosp","quantile",0.25,9430,"COVID-19"
"DE","00+",2022-03-06,2022-03-05,"-1 day ahead inc hosp","quantile",0.5,10370,"COVID-19"
"DE","00+",2022-03-06,2022-03-05,"-1 day ahead inc hosp","quantile",0.75,11457,"COVID-19"
"DE","00+",2022-03-06,2022-03-05,"-1 day ahead inc hosp","quantile",0.9,12567,"COVID-19"
"DE","00+",2022-03-06,2022-03-05,"-1 day ahead inc hosp","quantile",0.975,13961,"COVID-19"
"DE","00+",2022-03-06,2022-03-04,"-2 day ahead inc hosp","mean",NA,10593,"COVID-19"
"DE","00+",2022-03-06,2022-03-04,"-2 day ahead inc hosp","quantile",0.025,8274,"COVID-19"
"DE","00+",2022-03-06,2022-03-04,"-2 day ahead inc hosp","quantile",0.1,8902,"COVID-19"
"DE","00+",2022-03-06,2022-03-04,"-2 day ahead inc hosp","quantile",0.25,9570,"COVID-19"
"DE","00+",2022-03-06,2022-03-04,"-2 day ahead inc hosp","quantile",0.5,10439,"COVID-19"
"DE","00+",2022-03-06,2022-03-04,"-2 day ahead inc hosp","quantile",0.75,11449,"COVID-19"
"DE","00+",2022-03-06,2022-03-04,"-2 day ahead inc hosp","quantile",0.9,12485,"COVID-19"
"DE","00+",2022-03-06,2022-03-04,"-2 day ahead inc hosp","quantile",0.975,13791,"COVID-19"
"DE","00+",2022-03-06,2022-03-03,"-3 day ahead inc hosp","mean",NA,10398,"COVID-19"
"DE","00+",2022-03-06,2022-03-03,"-3 day ahead inc hosp","quantile",0.025,8446,"COVID-19"
"DE","00+",2022-03-06,2022-03-03,"-3 day ahead inc hosp","quantile",0.1,8979,"COVID-19"
"DE","00+",2022-03-06,2022-03-03,"-3 day ahead inc hosp","quantile",0.25,9543,"COVID-19"
"DE","00+",2022-03-06,2022-03-03,"-3 day ahead inc hosp","quantile",0.5,10272,"COVID-19"
"DE","00+",2022-03-06,2022-03-03,"-3 day ahead inc hosp","quantile",0.75,11116,"COVID-19"
"DE","00+",2022-03-06,2022-03-03,"-3 day ahead inc hosp","quantile",0.9,11979,"COVID-19"
"DE","00+",2022-03-06,2022-03-03,"-3 day ahead inc hosp","quantile",0.975,13064,"COVID-19"
"DE","00+",2022-03-06,2022-03-02,"-4 day ahead inc hosp","mean",NA,10215,"COVID-19"
"DE","00+",2022-03-06,2022-03-02,"-4 day ahead inc hosp","quantile",0.025,8555,"COVID-19"
"DE","00+",2022-03-06,2022-03-02,"-4 day ahead inc hosp","quantile",0.1,9009,"COVID-19"
"DE","00+",2022-03-06,2022-03-02,"-4 day ahead inc hosp","quantile",0.25,9489,"COVID-19"
"DE","00+",2022-03-06,2022-03-02,"-4 day ahead inc hosp","quantile",0.5,10109,"COVID-19"
"DE","00+",2022-03-06,2022-03-02,"-4 day ahead inc hosp","quantile",0.75,10825,"COVID-19"
"DE","00+",2022-03-06,2022-03-02,"-4 day ahead inc hosp","quantile",0.9,11557,"COVID-19"
"DE","00+",2022-03-06,2022-03-02,"-4 day ahead inc hosp","quantile",0.975,12477,"COVID-19"
"DE","00+",2022-03-06,2022-03-01,"-5 day ahead inc hosp","mean",NA,10169,"COVID-19"
"DE","00+",2022-03-06,2022-03-01,"-5 day ahead inc hosp","quantile",0.025,8779,"COVID-19"
"DE","00+",2022-03-06,2022-03-01,"-5 day ahead inc hosp","quantile",0.1,9163,"COVID-19"
"DE","00+",2022-03-06,2022-03-01,"-5 day ahead inc hosp","quantile",0.25,9566,"COVID-19"
"DE","00+",2022-03-06,2022-03-01,"-5 day ahead inc hosp","quantile",0.5,10084,"COVID-19"
"DE","00+",2022-03-06,2022-03-01,"-5 day ahead inc hosp","quantile",0.75,10679,"COVID-19"
"DE","00+",2022-03-06,2022-03-01,"-5 day ahead inc hosp","quantile",0.9,11286,"COVID-19"
"DE","00+",2022-03-06,2022-03-01,"-5 day ahead inc hosp","quantile",0.975,12045,"COVID-19"
"DE","00+",2022-03-06,2022-02-28,"-6 day ahead inc hosp","mean",NA,10177,"COVID-19"
"DE","00+",2022-03-06,2022-02-28,"-6 day ahead inc hosp","quantile",0.025,8991,"COVID-19"
"DE","00+",2022-03-06,2022-02-28,"-6 day ahead inc hosp","quantile",0.1,9320,"COVID-19"
