location,age_group,forecast_date,target_end_date,target,type,quantile,value,pathogen
DE,00-04,2022-03-27,2022-03-27,0 day ahead inc hosp,mean,NA,399.2,COVID-19
DE,05-14,2022-03-27,2022-03-27,0 day ahead inc hosp,mean,NA,218.8,COVID-19
DE,15-34,2022-03-27,2022-03-27,0 day ahead inc hosp,mean,NA,1095.6,COVID-19
DE,35-59,2022-03-27,2022-03-27,0 day ahead inc hosp,mean,NA,1755.8,COVID-19
DE,60-79,2022-03-27,2022-03-27,0 day ahead inc hosp,mean,NA,3100.1,COVID-19
DE,80+,2022-03-27,2022-03-27,0 day ahead inc hosp,mean,NA,3524.8,COVID-19
DE,00+,2022-03-27,2022-03-27,0 day ahead inc hosp,mean,NA,10094.4,COVID-19
DE,00-04,2022-03-27,2022-03-26,-1 day ahead inc hosp,mean,NA,436.3,COVID-19
DE,05-14,2022-03-27,2022-03-26,-1 day ahead inc hosp,mean,NA,235.2,COVID-19
DE,15-34,2022-03-27,2022-03-26,-1 day ahead inc hosp,mean,NA,1120.1,COVID-19
DE,35-59,2022-03-27,2022-03-26,-1 day ahead inc hosp,mean,NA,1810.5,COVID-19
DE,60-79,2022-03-27,2022-03-26,-1 day ahead inc hosp,mean,NA,3217.5,COVID-19
DE,80+,2022-03-27,2022-03-26,-1 day ahead inc hosp,mean,NA,3698.1,COVID-19
DE,00+,2022-03-27,2022-03-26,-1 day ahead inc hosp,mean,NA,10517.7,COVID-19
DE,00-04,2022-03-27,2022-03-25,-2 day ahead inc hosp,mean,NA,439.9,COVID-19
DE,05-14,2022-03-27,2022-03-25,-2 day ahead inc hosp,mean,NA,244,COVID-19
DE,15-34,2022-03-27,2022-03-25,-2 day ahead inc hosp,mean,NA,1099,COVID-19
DE,35-59,2022-03-27,2022-03-25,-2 day ahead inc hosp,mean,NA,1828.2,COVID-19
DE,60-79,2022-03-27,2022-03-25,-2 day ahead inc hosp,mean,NA,3186.2,COVID-19
DE,80+,2022-03-27,2022-03-25,-2 day ahead inc hosp,mean,NA,3814.8,COVID-19
DE,00+,2022-03-27,2022-03-25,-2 day ahead inc hosp,mean,NA,10612.2,COVID-19
DE,00-04,2022-03-27,2022-03-24,-3 day ahead inc hosp,mean,NA,442.9,COVID-19
DE,05-14,2022-03-27,2022-03-24,-3 day ahead inc hosp,mean,NA,255,COVID-19
DE,15-34,2022-03-27,2022-03-24,-3 day ahead inc hosp,mean,NA,1110.3,COVID-19
DE,35-59,2022-03-27,2022-03-24,-3 day ahead inc hosp,mean,NA,1765,COVID-19
DE,60-79,2022-03-27,2022-03-24,-3 day ahead inc hosp,mean,NA,3300.9,COVID-19
DE,80+,2022-03-27,2022-03-24,-3 day ahead inc hosp,mean,NA,3871.4,COVID-19
DE,00+,2022-03-27,2022-03-24,-3 day ahead inc hosp,mean,NA,10745.6,COVID-19
DE,00-04,2022-03-27,2022-03-23,-4 day ahead inc hosp,mean,NA,444.2,COVID-19
DE,05-14,2022-03-27,2022-03-23,-4 day ahead inc hosp,mean,NA,277,COVID-19
DE,15-34,2022-03-27,2022-03-23,-4 day ahead inc hosp,mean,NA,1106.4,COVID-19
DE,35-59,2022-03-27,2022-03-23,-4 day ahead inc hosp,mean,NA,1788.1,COVID-19
DE,60-79,2022-03-27,2022-03-23,-4 day ahead inc hosp,mean,NA,3249.4,COVID-19
DE,80+,2022-03-27,2022-03-23,-4 day ahead inc hosp,mean,NA,3967.1,COVID-19
DE,00+,2022-03-27,2022-03-23,-4 day ahead inc hosp,mean,NA,10832.2,COVID-19
DE,00-04,2022-03-27,2022-03-22,-5 day ahead inc hosp,mean,NA,445.7,COVID-19
DE,05-14,2022-03-27,2022-03-22,-5 day ahead inc hosp,mean,NA,296.8,COVID-19
DE,15-34,2022-03-27,2022-03-22,-5 day ahead inc hosp,mean,NA,1116,COVID-19
DE,35-59,2022-03-27,2022-03-22,-5 day ahead inc hosp,mean,NA,1800.3,COVID-19
DE,60-79,2022-03-27,2022-03-22,-5 day ahead inc hosp,mean,NA,3319.2,COVID-19
DE,80+,2022-03-27,2022-03-22,-5 day ahead inc hosp,mean,NA,3957.2,COVID-19
DE,00+,2022-03-27,2022-03-22,-5 day ahead inc hosp,mean,NA,10935.2,COVID-19
DE,00-04,2022-03-27,2022-03-21,-6 day ahead inc hosp,mean,NA,477.2,COVID-19
DE,05-14,2022-03-27,2022-03-21,-6 day ahead inc hosp,mean,NA,325.3,COVID-19
DE,15-34,2022-03-27,2022-03-21,-6 day ahead inc hosp,mean,NA,1159.5,COVID-19
DE,35-59,2022-03-27,2022-03-21,-6 day ahead inc hosp,mean,NA,1845.3,COVID-19
DE,60-79,2022-03-27,2022-03-21,-6 day ahead inc hosp,mean,NA,3392.8,COVID-19
DE,80+,2022-03-27,2022-03-21,-6 day ahead inc hosp,mean,NA,3962.6,COVID-19
DE,00+,2022-03-27,2022-03-21,-6 day ahead inc hosp,mean,NA,11162.7,COVID-19
DE,00-04,2022-03-27,2022-03-20,-7 day ahead inc hosp,mean,NA,478.7,COVID-19
DE,05-14,2022-03-27,2022-03-20,-7 day ahead inc hosp,mean,NA,321.1,COVID-19
DE,15-34,2022-03-27,2022-03-20,-7 day ahead inc hosp,mean,NA,1179,COVID-19
DE,35-59,2022-03-27,2022-03-20,-7 day ahead inc hosp,mean,NA,1859,COVID-19
DE,60-79,2022-03-27,2022-03-20,-7 day ahead inc hosp,mean,NA,3404.3,COVID-19
DE,80+,2022-03-27,2022-03-20,-7 day ahead inc hosp,mean,NA,4012.6,COVID-19
DE,00+,2022-03-27,2022-03-20,-7 day ahead inc hosp,mean,NA,11254.8,COVID-19
DE,00-04,2022-03-27,2022-03-19,-8 day ahead inc hosp,mean,NA,489.5,COVID-19
DE,05-14,2022-03-27,2022-03-19,-8 day ahead inc hosp,mean,NA,321.9,COVID-19
DE,15-34,2022-03-27,2022-03-19,-8 day ahead inc hosp,mean,NA,1239.2,COVID-19
DE,35-59,2022-03-27,2022-03-19,-8 day ahead inc hosp,mean,NA,1895.1,COVID-19
DE,60-79,2022-03-27,2022-03-19,-8 day ahead inc hosp,mean,NA,3409.1,COVID-19
DE,80+,2022-03-27,2022-03-19,-8 day ahead inc hosp,mean,NA,4017.8,COVID-19
DE,00+,2022-03-27,2022-03-19,-8 day ahead inc hosp,mean,NA,11372.7,COVID-19
DE,00-04,2022-03-27,2022-03-18,-9 day ahead inc hosp,mean,NA,498.5,COVID-19
DE,05-14,2022-03-27,2022-03-18,-9 day ahead inc hosp,mean,NA,317.8,COVID-19
DE,15-34,2022-03-27,2022-03-18,-9 day ahead inc hosp,mean,NA,1256.4,COVID-19
DE,35-59,2022-03-27,2022-03-18,-9 day ahead inc hosp,mean,NA,1876,COVID-19
DE,60-79,2022-03-27,2022-03-18,-9 day ahead inc hosp,mean,NA,3422.8,COVID-19
DE,80+,2022-03-27,2022-03-18,-9 day ahead inc hosp,mean,NA,3996,COVID-19
DE,00+,2022-03-27,2022-03-18,-9 day ahead inc hosp,mean,NA,11367.5,COVID-19
DE,00-04,2022-03-27,2022-03-17,-10 day ahead inc hosp,mean,NA,489.7,COVID-19
DE,05-14,2022-03-27,2022-03-17,-10 day ahead inc hosp,mean,NA,323.8,COVID-19
DE,15-34,2022-03-27,2022-03-17,-10 day ahead inc hosp,mean,NA,1278.8,COVID-19
