"location","age_group","forecast_date","target_end_date","target","type","quantile","value","pathogen"
"DE","00-04",2022-02-21,2022-01-24,"-28 day ahead inc hosp","mean",NA,309,"COVID-19"
"DE","00+",2022-02-21,2022-01-24,"-28 day ahead inc hosp","mean",NA,6453,"COVID-19"
"DE","05-14",2022-02-21,2022-01-24,"-28 day ahead inc hosp","mean",NA,303,"COVID-19"
"DE","15-34",2022-02-21,2022-01-24,"-28 day ahead inc hosp","mean",NA,1218,"COVID-19"
"DE","35-59",2022-02-21,2022-01-24,"-28 day ahead inc hosp","mean",NA,1627,"COVID-19"
"DE","60-79",2022-02-21,2022-01-24,"-28 day ahead inc hosp","mean",NA,1553,"COVID-19"
"DE","80+",2022-02-21,2022-01-24,"-28 day ahead inc hosp","mean",NA,1441,"COVID-19"
"DE-BB","00+",2022-02-21,2022-01-24,"-28 day ahead inc hosp","mean",NA,165,"COVID-19"
"DE-BE","00+",2022-02-21,2022-01-24,"-28 day ahead inc hosp","mean",NA,197,"COVID-19"
"DE-BW","00+",2022-02-21,2022-01-24,"-28 day ahead inc hosp","mean",NA,868,"COVID-19"
"DE-BY","00+",2022-02-21,2022-01-24,"-28 day ahead inc hosp","mean",NA,1020,"COVID-19"
"DE-HB","00+",2022-02-21,2022-01-24,"-28 day ahead inc hosp","mean",NA,92,"COVID-19"
"DE-HE","00+",2022-02-21,2022-01-24,"-28 day ahead inc hosp","mean",NA,507,"COVID-19"
"DE-HH","00+",2022-02-21,2022-01-24,"-28 day ahead inc hosp","mean",NA,257,"COVID-19"
"DE-MV","00+",2022-02-21,2022-01-24,"-28 day ahead inc hosp","mean",NA,168,"COVID-19"
"DE-NI","00+",2022-02-21,2022-01-24,"-28 day ahead inc hosp","mean",NA,370,"COVID-19"
"DE-NW","00+",2022-02-21,2022-01-24,"-28 day ahead inc hosp","mean",NA,1583,"COVID-19"
"DE-RP","00+",2022-02-21,2022-01-24,"-28 day ahead inc hosp","mean",NA,395,"COVID-19"
"DE-SH","00+",2022-02-21,2022-01-24,"-28 day ahead inc hosp","mean",NA,282,"COVID-19"
"DE-SL","00+",2022-02-21,2022-01-24,"-28 day ahead inc hosp","mean",NA,41,"COVID-19"
"DE-SN","00+",2022-02-21,2022-01-24,"-28 day ahead inc hosp","mean",NA,205,"COVID-19"
"DE-ST","00+",2022-02-21,2022-01-24,"-28 day ahead inc hosp","mean",NA,135,"COVID-19"
"DE-TH","00+",2022-02-21,2022-01-24,"-28 day ahead inc hosp","mean",NA,159,"COVID-19"
"DE","00-04",2022-02-21,2022-01-24,"-28 day ahead inc hosp","quantile",0.025,305,"COVID-19"
"DE","00+",2022-02-21,2022-01-24,"-28 day ahead inc hosp","quantile",0.025,6389,"COVID-19"
"DE","05-14",2022-02-21,2022-01-24,"-28 day ahead inc hosp","quantile",0.025,300,"COVID-19"
"DE","15-34",2022-02-21,2022-01-24,"-28 day ahead inc hosp","quantile",0.025,1201,"COVID-19"
"DE","35-59",2022-02-21,2022-01-24,"-28 day ahead inc hosp","quantile",0.025,1607,"COVID-19"
"DE","60-79",2022-02-21,2022-01-24,"-28 day ahead inc hosp","quantile",0.025,1533,"COVID-19"
"DE","80+",2022-02-21,2022-01-24,"-28 day ahead inc hosp","quantile",0.025,1422,"COVID-19"
"DE-BB","00+",2022-02-21,2022-01-24,"-28 day ahead inc hosp","quantile",0.025,162,"COVID-19"
"DE-BE","00+",2022-02-21,2022-01-24,"-28 day ahead inc hosp","quantile",0.025,193,"COVID-19"
"DE-BW","00+",2022-02-21,2022-01-24,"-28 day ahead inc hosp","quantile",0.025,861,"COVID-19"
"DE-BY","00+",2022-02-21,2022-01-24,"-28 day ahead inc hosp","quantile",0.025,1011,"COVID-19"
"DE-HB","00+",2022-02-21,2022-01-24,"-28 day ahead inc hosp","quantile",0.025,91,"COVID-19"
"DE-HE","00+",2022-02-21,2022-01-24,"-28 day ahead inc hosp","quantile",0.025,496,"COVID-19"
"DE-HH","00+",2022-02-21,2022-01-24,"-28 day ahead inc hosp","quantile",0.025,252,"COVID-19"
"DE-MV","00+",2022-02-21,2022-01-24,"-28 day ahead inc hosp","quantile",0.025,166,"COVID-19"
"DE-NI","00+",2022-02-21,2022-01-24,"-28 day ahead inc hosp","quantile",0.025,367,"COVID-19"
"DE-NW","00+",2022-02-21,2022-01-24,"-28 day ahead inc hosp","quantile",0.025,1556,"COVID-19"
"DE-RP","00+",2022-02-21,2022-01-24,"-28 day ahead inc hosp","quantile",0.025,387,"COVID-19"
"DE-SH","00+",2022-02-21,2022-01-24,"-28 day ahead inc hosp","quantile",0.025,278,"COVID-19"
"DE-SL","00+",2022-02-21,2022-01-24,"-28 day ahead inc hosp","quantile",0.025,41,"COVID-19"
"DE-SN","00+",2022-02-21,2022-01-24,"-28 day ahead inc hosp","quantile",0.025,201,"COVID-19"
"DE-ST","00+",2022-02-21,2022-01-24,"-28 day ahead inc hosp","quantile",0.025,132,"COVID-19"
"DE-TH","00+",2022-02-21,2022-01-24,"-28 day ahead inc hosp","quantile",0.025,158,"COVID-19"
"DE","00-04",2022-02-21,2022-01-24,"-28 day ahead inc hosp","quantile",0.1,306,"COVID-19"
"DE","00+",2022-02-21,2022-01-24,"-28 day ahead inc hosp","quantile",0.1,6406,"COVID-19"
"DE","05-14",2022-02-21,2022-01-24,"-28 day ahead inc hosp","quantile",0.1,301,"COVID-19"
"DE","15-34",2022-02-21,2022-01-24,"-28 day ahead inc hosp","quantile",0.1,1206,"COVID-19"
"DE","35-59",2022-02-21,2022-01-24,"-28 day ahead inc hosp","quantile",0.1,1612,"COVID-19"
"DE","60-79",2022-02-21,2022-01-24,"-28 day ahead inc hosp","quantile",0.1,1538,"COVID-19"
"DE","80+",2022-02-21,2022-01-24,"-28 day ahead inc hosp","quantile",0.1,1427,"COVID-19"
"DE-BB","00+",2022-02-21,2022-01-24,"-28 day ahead inc hosp","quantile",0.1,163,"COVID-19"
"DE-BE","00+",2022-02-21,2022-01-24,"-28 day ahead inc hosp","quantile",0.1,194,"COVID-19"
"DE-BW","00+",2022-02-21,2022-01-24,"-28 day ahead inc hosp","quantile",0.1,863,"COVID-19"
