"location","age_group","forecast_date","target_end_date","target","type","quantile","value","pathogen"
"DE","00-04",2022-03-07,2022-02-07,"-28 day ahead inc hosp","mean",NA,392,"COVID-19"
"DE","00+",2022-03-07,2022-02-07,"-28 day ahead inc hosp","mean",NA,9578,"COVID-19"
"DE","05-14",2022-03-07,2022-02-07,"-28 day ahead inc hosp","mean",NA,416,"COVID-19"
"DE","15-34",2022-03-07,2022-02-07,"-28 day ahead inc hosp","mean",NA,1444,"COVID-19"
"DE","35-59",2022-03-07,2022-02-07,"-28 day ahead inc hosp","mean",NA,2077,"COVID-19"
"DE","60-79",2022-03-07,2022-02-07,"-28 day ahead inc hosp","mean",NA,2605,"COVID-19"
"DE","80+",2022-03-07,2022-02-07,"-28 day ahead inc hosp","mean",NA,2635,"COVID-19"
"DE-BB","00+",2022-03-07,2022-02-07,"-28 day ahead inc hosp","mean",NA,210,"COVID-19"
"DE-BE","00+",2022-03-07,2022-02-07,"-28 day ahead inc hosp","mean",NA,250,"COVID-19"
"DE-BW","00+",2022-03-07,2022-02-07,"-28 day ahead inc hosp","mean",NA,1421,"COVID-19"
"DE-BY","00+",2022-03-07,2022-02-07,"-28 day ahead inc hosp","mean",NA,1671,"COVID-19"
"DE-HB","00+",2022-03-07,2022-02-07,"-28 day ahead inc hosp","mean",NA,33,"COVID-19"
"DE-HE","00+",2022-03-07,2022-02-07,"-28 day ahead inc hosp","mean",NA,826,"COVID-19"
"DE-HH","00+",2022-03-07,2022-02-07,"-28 day ahead inc hosp","mean",NA,246,"COVID-19"
"DE-MV","00+",2022-03-07,2022-02-07,"-28 day ahead inc hosp","mean",NA,286,"COVID-19"
"DE-NI","00+",2022-03-07,2022-02-07,"-28 day ahead inc hosp","mean",NA,608,"COVID-19"
"DE-NW","00+",2022-03-07,2022-02-07,"-28 day ahead inc hosp","mean",NA,2354,"COVID-19"
"DE-RP","00+",2022-03-07,2022-02-07,"-28 day ahead inc hosp","mean",NA,499,"COVID-19"
"DE-SH","00+",2022-03-07,2022-02-07,"-28 day ahead inc hosp","mean",NA,275,"COVID-19"
"DE-SL","00+",2022-03-07,2022-02-07,"-28 day ahead inc hosp","mean",NA,77,"COVID-19"
"DE-SN","00+",2022-03-07,2022-02-07,"-28 day ahead inc hosp","mean",NA,284,"COVID-19"
"DE-ST","00+",2022-03-07,2022-02-07,"-28 day ahead inc hosp","mean",NA,252,"COVID-19"
"DE-TH","00+",2022-03-07,2022-02-07,"-28 day ahead inc hosp","mean",NA,218,"COVID-19"
"DE","00-04",2022-03-07,2022-02-07,"-28 day ahead inc hosp","quantile",0.025,385,"COVID-19"
"DE","00+",2022-03-07,2022-02-07,"-28 day ahead inc hosp","quantile",0.025,9448,"COVID-19"
"DE","05-14",2022-03-07,2022-02-07,"-28 day ahead inc hosp","quantile",0.025,408,"COVID-19"
"DE","15-34",2022-03-07,2022-02-07,"-28 day ahead inc hosp","quantile",0.025,1420,"COVID-19"
"DE","35-59",2022-03-07,2022-02-07,"-28 day ahead inc hosp","quantile",0.025,2043,"COVID-19"
