"location","age_group","forecast_date","target_end_date","target","type","quantile","value","pathogen"
"DE","00-04",2022-02-03,2022-01-06,"-28 day ahead inc hosp","mean",NA,138,"COVID-19"
"DE","00+",2022-02-03,2022-01-06,"-28 day ahead inc hosp","mean",NA,5034,"COVID-19"
"DE","05-14",2022-02-03,2022-01-06,"-28 day ahead inc hosp","mean",NA,70,"COVID-19"
"DE","15-34",2022-02-03,2022-01-06,"-28 day ahead inc hosp","mean",NA,721,"COVID-19"
"DE","35-59",2022-02-03,2022-01-06,"-28 day ahead inc hosp","mean",NA,1236,"COVID-19"
"DE","60-79",2022-02-03,2022-01-06,"-28 day ahead inc hosp","mean",NA,1617,"COVID-19"
"DE","80+",2022-02-03,2022-01-06,"-28 day ahead inc hosp","mean",NA,1261,"COVID-19"
"DE-BB","00+",2022-02-03,2022-01-06,"-28 day ahead inc hosp","mean",NA,222,"COVID-19"
"DE-BE","00+",2022-02-03,2022-01-06,"-28 day ahead inc hosp","mean",NA,196,"COVID-19"
"DE-BW","00+",2022-02-03,2022-01-06,"-28 day ahead inc hosp","mean",NA,626,"COVID-19"
"DE-BY","00+",2022-02-03,2022-01-06,"-28 day ahead inc hosp","mean",NA,607,"COVID-19"
"DE-HB","00+",2022-02-03,2022-01-06,"-28 day ahead inc hosp","mean",NA,91,"COVID-19"
"DE-HE","00+",2022-02-03,2022-01-06,"-28 day ahead inc hosp","mean",NA,349,"COVID-19"
"DE-HH","00+",2022-02-03,2022-01-06,"-28 day ahead inc hosp","mean",NA,139,"COVID-19"
"DE-MV","00+",2022-02-03,2022-01-06,"-28 day ahead inc hosp","mean",NA,209,"COVID-19"
"DE-NI","00+",2022-02-03,2022-01-06,"-28 day ahead inc hosp","mean",NA,249,"COVID-19"
"DE-NW","00+",2022-02-03,2022-01-06,"-28 day ahead inc hosp","mean",NA,913,"COVID-19"
"DE-RP","00+",2022-02-03,2022-01-06,"-28 day ahead inc hosp","mean",NA,204,"COVID-19"
"DE-SH","00+",2022-02-03,2022-01-06,"-28 day ahead inc hosp","mean",NA,191,"COVID-19"
"DE-SL","00+",2022-02-03,2022-01-06,"-28 day ahead inc hosp","mean",NA,32,"COVID-19"
"DE-SN","00+",2022-02-03,2022-01-06,"-28 day ahead inc hosp","mean",NA,372,"COVID-19"
"DE-ST","00+",2022-02-03,2022-01-06,"-28 day ahead inc hosp","mean",NA,297,"COVID-19"
"DE-TH","00+",2022-02-03,2022-01-06,"-28 day ahead inc hosp","mean",NA,328,"COVID-19"
"DE","00-04",2022-02-03,2022-01-06,"-28 day ahead inc hosp","quantile",0.025,136,"COVID-19"
"DE","00+",2022-02-03,2022-01-06,"-28 day ahead inc hosp","quantile",0.025,4980,"COVID-19"
"DE","05-14",2022-02-03,2022-01-06,"-28 day ahead inc hosp","quantile",0.025,68,"COVID-19"
"DE","15-34",2022-02-03,2022-01-06,"-28 day ahead inc hosp","quantile",0.025,713,"COVID-19"
"DE","35-59",2022-02-03,2022-01-06,"-28 day ahead inc hosp","quantile",0.025,1222,"COVID-19"
"DE","60-79",2022-02-03,2022-01-06,"-28 day ahead inc hosp","quantile",0.025,1589,"COVID-19"
"DE","80+",2022-02-03,2022-01-06,"-28 day ahead inc hosp","quantile",0.025,1244,"COVID-19"
"DE-BB","00+",2022-02-03,2022-01-06,"-28 day ahead inc hosp","quantile",0.025,218,"COVID-19"
"DE-BE","00+",2022-02-03,2022-01-06,"-28 day ahead inc hosp","quantile",0.025,194,"COVID-19"
"DE-BW","00+",2022-02-03,2022-01-06,"-28 day ahead inc hosp","quantile",0.025,620,"COVID-19"
"DE-BY","00+",2022-02-03,2022-01-06,"-28 day ahead inc hosp","quantile",0.025,602,"COVID-19"
"DE-HB","00+",2022-02-03,2022-01-06,"-28 day ahead inc hosp","quantile",0.025,90,"COVID-19"
"DE-HE","00+",2022-02-03,2022-01-06,"-28 day ahead inc hosp","quantile",0.025,345,"COVID-19"
"DE-HH","00+",2022-02-03,2022-01-06,"-28 day ahead inc hosp","quantile",0.025,136,"COVID-19"
"DE-MV","00+",2022-02-03,2022-01-06,"-28 day ahead inc hosp","quantile",0.025,206,"COVID-19"
"DE-NI","00+",2022-02-03,2022-01-06,"-28 day ahead inc hosp","quantile",0.025,247,"COVID-19"
"DE-NW","00+",2022-02-03,2022-01-06,"-28 day ahead inc hosp","quantile",0.025,906,"COVID-19"
"DE-RP","00+",2022-02-03,2022-01-06,"-28 day ahead inc hosp","quantile",0.025,201,"COVID-19"
"DE-SH","00+",2022-02-03,2022-01-06,"-28 day ahead inc hosp","quantile",0.025,186,"COVID-19"
"DE-SL","00+",2022-02-03,2022-01-06,"-28 day ahead inc hosp","quantile",0.025,31,"COVID-19"
"DE-SN","00+",2022-02-03,2022-01-06,"-28 day ahead inc hosp","quantile",0.025,364,"COVID-19"
"DE-ST","00+",2022-02-03,2022-01-06,"-28 day ahead inc hosp","quantile",0.025,286,"COVID-19"
"DE-TH","00+",2022-02-03,2022-01-06,"-28 day ahead inc hosp","quantile",0.025,325,"COVID-19"
"DE","00-04",2022-02-03,2022-01-06,"-28 day ahead inc hosp","quantile",0.1,136,"COVID-19"
"DE","00+",2022-02-03,2022-01-06,"-28 day ahead inc hosp","quantile",0.1,4988,"COVID-19"
"DE","05-14",2022-02-03,2022-01-06,"-28 day ahead inc hosp","quantile",0.1,68,"COVID-19"
"DE","15-34",2022-02-03,2022-01-06,"-28 day ahead inc hosp","quantile",0.1,715,"COVID-19"
"DE","35-59",2022-02-03,2022-01-06,"-28 day ahead inc hosp","quantile",0.1,1226,"COVID-19"
"DE","60-79",2022-02-03,2022-01-06,"-28 day ahead inc hosp","quantile",0.1,1593,"COVID-19"
"DE","80+",2022-02-03,2022-01-06,"-28 day ahead inc hosp","quantile",0.1,1248,"COVID-19"
"DE-BB","00+",2022-02-03,2022-01-06,"-28 day ahead inc hosp","quantile",0.1,219,"COVID-19"
"DE-BE","00+",2022-02-03,2022-01-06,"-28 day ahead inc hosp","quantile",0.1,194,"COVID-19"
"DE-BW","00+",2022-02-03,2022-01-06,"-28 day ahead inc hosp","quantile",0.1,622,"COVID-19"
"DE-BY","00+",2022-02-03,2022-01-06,"-28 day ahead inc hosp","quantile",0.1,603,"COVID-19"
"DE-HB","00+",2022-02-03,2022-01-06,"-28 day ahead inc hosp","quantile",0.1,90,"COVID-19"
"DE-HE","00+",2022-02-03,2022-01-06,"-28 day ahead inc hosp","quantile",0.1,346,"COVID-19"
"DE-HH","00+",2022-02-03,2022-01-06,"-28 day ahead inc hosp","quantile",0.1,136,"COVID-19"
"DE-MV","00+",2022-02-03,2022-01-06,"-28 day ahead inc hosp","quantile",0.1,207,"COVID-19"
"DE-NI","00+",2022-02-03,2022-01-06,"-28 day ahead inc hosp","quantile",0.1,247,"COVID-19"
"DE-NW","00+",2022-02-03,2022-01-06,"-28 day ahead inc hosp","quantile",0.1,909,"COVID-19"
"DE-RP","00+",2022-02-03,2022-01-06,"-28 day ahead inc hosp","quantile",0.1,202,"COVID-19"
"DE-SH","00+",2022-02-03,2022-01-06,"-28 day ahead inc hosp","quantile",0.1,188,"COVID-19"
"DE-SL","00+",2022-02-03,2022-01-06,"-28 day ahead inc hosp","quantile",0.1,31,"COVID-19"
"DE-SN","00+",2022-02-03,2022-01-06,"-28 day ahead inc hosp","quantile",0.1,365,"COVID-19"
"DE-ST","00+",2022-02-03,2022-01-06,"-28 day ahead inc hosp","quantile",0.1,288,"COVID-19"
"DE-TH","00+",2022-02-03,2022-01-06,"-28 day ahead inc hosp","quantile",0.1,326,"COVID-19"
"DE","00-04",2022-02-03,2022-01-06,"-28 day ahead inc hosp","quantile",0.25,138,"COVID-19"
"DE","00+",2022-02-03,2022-01-06,"-28 day ahead inc hosp","quantile",0.25,5004,"COVID-19"
