location,age_group,forecast_date,target_end_date,target,type,quantile,value,pathogen
DE,00+,2021-09-27,2021-09-27,0 day ahead inc hosp,mean,,2816,COVID-19
DE,00+,2021-09-27,2021-09-27,0 day ahead inc hosp,quantile,0.025,2544,COVID-19
DE,00+,2021-09-27,2021-09-27,0 day ahead inc hosp,quantile,0.1,2604,COVID-19
DE,00+,2021-09-27,2021-09-27,0 day ahead inc hosp,quantile,0.25,2674,COVID-19
DE,00+,2021-09-27,2021-09-27,0 day ahead inc hosp,quantile,0.5,2783,COVID-19
DE,00+,2021-09-27,2021-09-27,0 day ahead inc hosp,quantile,0.75,2927,COVID-19
DE,00+,2021-09-27,2021-09-27,0 day ahead inc hosp,quantile,0.9,3081,COVID-19
DE,00+,2021-09-27,2021-09-27,0 day ahead inc hosp,quantile,0.975,3209,COVID-19
DE,00+,2021-09-27,2021-09-26,-1 day ahead inc hosp,mean,,2753,COVID-19
DE,00+,2021-09-27,2021-09-26,-1 day ahead inc hosp,quantile,0.025,2512,COVID-19
DE,00+,2021-09-27,2021-09-26,-1 day ahead inc hosp,quantile,0.1,2564,COVID-19
DE,00+,2021-09-27,2021-09-26,-1 day ahead inc hosp,quantile,0.25,2626,COVID-19
DE,00+,2021-09-27,2021-09-26,-1 day ahead inc hosp,quantile,0.5,2722,COVID-19
DE,00+,2021-09-27,2021-09-26,-1 day ahead inc hosp,quantile,0.75,2853,COVID-19
DE,00+,2021-09-27,2021-09-26,-1 day ahead inc hosp,quantile,0.9,2988,COVID-19
DE,00+,2021-09-27,2021-09-26,-1 day ahead inc hosp,quantile,0.975,3108,COVID-19
DE,00+,2021-09-27,2021-09-25,-2 day ahead inc hosp,mean,,2659,COVID-19
DE,00+,2021-09-27,2021-09-25,-2 day ahead inc hosp,quantile,0.025,2462,COVID-19
DE,00+,2021-09-27,2021-09-25,-2 day ahead inc hosp,quantile,0.1,2501,COVID-19
DE,00+,2021-09-27,2021-09-25,-2 day ahead inc hosp,quantile,0.25,2557,COVID-19
DE,00+,2021-09-27,2021-09-25,-2 day ahead inc hosp,quantile,0.5,2633,COVID-19
DE,00+,2021-09-27,2021-09-25,-2 day ahead inc hosp,quantile,0.75,2739,COVID-19
DE,00+,2021-09-27,2021-09-25,-2 day ahead inc hosp,quantile,0.9,2841,COVID-19
DE,00+,2021-09-27,2021-09-25,-2 day ahead inc hosp,quantile,0.975,2963,COVID-19
DE,00+,2021-09-27,2021-09-24,-3 day ahead inc hosp,mean,,2665,COVID-19
DE,00+,2021-09-27,2021-09-24,-3 day ahead inc hosp,quantile,0.025,2484,COVID-19
DE,00+,2021-09-27,2021-09-24,-3 day ahead inc hosp,quantile,0.1,2524,COVID-19
DE,00+,2021-09-27,2021-09-24,-3 day ahead inc hosp,quantile,0.25,2570,COVID-19
DE,00+,2021-09-27,2021-09-24,-3 day ahead inc hosp,quantile,0.5,2641,COVID-19
DE,00+,2021-09-27,2021-09-24,-3 day ahead inc hosp,quantile,0.75,2742,COVID-19
DE,00+,2021-09-27,2021-09-24,-3 day ahead inc hosp,quantile,0.9,2827,COVID-19
DE,00+,2021-09-27,2021-09-24,-3 day ahead inc hosp,quantile,0.975,2952,COVID-19
DE,00+,2021-09-27,2021-09-23,-4 day ahead inc hosp,mean,,2632,COVID-19
DE,00+,2021-09-27,2021-09-23,-4 day ahead inc hosp,quantile,0.025,2474,COVID-19
DE,00+,2021-09-27,2021-09-23,-4 day ahead inc hosp,quantile,0.1,2510,COVID-19
DE,00+,2021-09-27,2021-09-23,-4 day ahead inc hosp,quantile,0.25,2549,COVID-19
DE,00+,2021-09-27,2021-09-23,-4 day ahead inc hosp,quantile,0.5,2609,COVID-19
DE,00+,2021-09-27,2021-09-23,-4 day ahead inc hosp,quantile,0.75,2700,COVID-19
DE,00+,2021-09-27,2021-09-23,-4 day ahead inc hosp,quantile,0.9,2781,COVID-19
DE,00+,2021-09-27,2021-09-23,-4 day ahead inc hosp,quantile,0.975,2876,COVID-19
DE,00+,2021-09-27,2021-09-22,-5 day ahead inc hosp,mean,,2707,COVID-19
DE,00+,2021-09-27,2021-09-22,-5 day ahead inc hosp,quantile,0.025,2559,COVID-19
DE,00+,2021-09-27,2021-09-22,-5 day ahead inc hosp,quantile,0.1,2593,COVID-19
DE,00+,2021-09-27,2021-09-22,-5 day ahead inc hosp,quantile,0.25,2630,COVID-19
DE,00+,2021-09-27,2021-09-22,-5 day ahead inc hosp,quantile,0.5,2682,COVID-19
DE,00+,2021-09-27,2021-09-22,-5 day ahead inc hosp,quantile,0.75,2769,COVID-19
DE,00+,2021-09-27,2021-09-22,-5 day ahead inc hosp,quantile,0.9,2848,COVID-19
DE,00+,2021-09-27,2021-09-22,-5 day ahead inc hosp,quantile,0.975,2932,COVID-19
DE,00+,2021-09-27,2021-09-21,-6 day ahead inc hosp,mean,,2729,COVID-19
DE,00+,2021-09-27,2021-09-21,-6 day ahead inc hosp,quantile,0.025,2589,COVID-19
DE,00+,2021-09-27,2021-09-21,-6 day ahead inc hosp,quantile,0.1,2624,COVID-19
DE,00+,2021-09-27,2021-09-21,-6 day ahead inc hosp,quantile,0.25,2658,COVID-19
DE,00+,2021-09-27,2021-09-21,-6 day ahead inc hosp,quantile,0.5,2705,COVID-19
DE,00+,2021-09-27,2021-09-21,-6 day ahead inc hosp,quantile,0.75,2788,COVID-19
DE,00+,2021-09-27,2021-09-21,-6 day ahead inc hosp,quantile,0.9,2861,COVID-19
DE,00+,2021-09-27,2021-09-21,-6 day ahead inc hosp,quantile,0.975,2931,COVID-19
DE,00+,2021-09-27,2021-09-20,-7 day ahead inc hosp,mean,,2787,COVID-19
DE,00+,2021-09-27,2021-09-20,-7 day ahead inc hosp,quantile,0.025,2656,COVID-19
DE,00+,2021-09-27,2021-09-20,-7 day ahead inc hosp,quantile,0.1,2687,COVID-19
DE,00+,2021-09-27,2021-09-20,-7 day ahead inc hosp,quantile,0.25,2717,COVID-19
DE,00+,2021-09-27,2021-09-20,-7 day ahead inc hosp,quantile,0.5,2763,COVID-19
DE,00+,2021-09-27,2021-09-20,-7 day ahead inc hosp,quantile,0.75,2845,COVID-19
DE,00+,2021-09-27,2021-09-20,-7 day ahead inc hosp,quantile,0.9,2910,COVID-19
DE,00+,2021-09-27,2021-09-20,-7 day ahead inc hosp,quantile,0.975,2982,COVID-19
DE,00+,2021-09-27,2021-09-19,-8 day ahead inc hosp,mean,,2836,COVID-19
DE,00+,2021-09-27,2021-09-19,-8 day ahead inc hosp,quantile,0.025,2707,COVID-19
DE,00+,2021-09-27,2021-09-19,-8 day ahead inc hosp,quantile,0.1,2736,COVID-19
DE,00+,2021-09-27,2021-09-19,-8 day ahead inc hosp,quantile,0.25,2766,COVID-19
DE,00+,2021-09-27,2021-09-19,-8 day ahead inc hosp,quantile,0.5,2814,COVID-19
DE,00+,2021-09-27,2021-09-19,-8 day ahead inc hosp,quantile,0.75,2893,COVID-19
DE,00+,2021-09-27,2021-09-19,-8 day ahead inc hosp,quantile,0.9,2956,COVID-19
DE,00+,2021-09-27,2021-09-19,-8 day ahead inc hosp,quantile,0.975,3031,COVID-19
DE,00+,2021-09-27,2021-09-18,-9 day ahead inc hosp,mean,,2877,COVID-19
DE,00+,2021-09-27,2021-09-18,-9 day ahead inc hosp,quantile,0.025,2753,COVID-19
DE,00+,2021-09-27,2021-09-18,-9 day ahead inc hosp,quantile,0.1,2778,COVID-19
DE,00+,2021-09-27,2021-09-18,-9 day ahead inc hosp,quantile,0.25,2807,COVID-19
DE,00+,2021-09-27,2021-09-18,-9 day ahead inc hosp,quantile,0.5,2856,COVID-19
DE,00+,2021-09-27,2021-09-18,-9 day ahead inc hosp,quantile,0.75,2933,COVID-19
DE,00+,2021-09-27,2021-09-18,-9 day ahead inc hosp,quantile,0.9,2996,COVID-19
DE,00+,2021-09-27,2021-09-18,-9 day ahead inc hosp,quantile,0.975,3068,COVID-19
DE,00+,2021-09-27,2021-09-17,-10 day ahead inc hosp,mean,,2975,COVID-19
DE,00+,2021-09-27,2021-09-17,-10 day ahead inc hosp,quantile,0.025,2854,COVID-19
DE,00+,2021-09-27,2021-09-17,-10 day ahead inc hosp,quantile,0.1,2878,COVID-19
DE,00+,2021-09-27,2021-09-17,-10 day ahead inc hosp,quantile,0.25,2906,COVID-19
DE,00+,2021-09-27,2021-09-17,-10 day ahead inc hosp,quantile,0.5,2955,COVID-19
DE,00+,2021-09-27,2021-09-17,-10 day ahead inc hosp,quantile,0.75,3030,COVID-19
DE,00+,2021-09-27,2021-09-17,-10 day ahead inc hosp,quantile,0.9,3092,COVID-19
DE,00+,2021-09-27,2021-09-17,-10 day ahead inc hosp,quantile,0.975,3165,COVID-19
DE,00+,2021-09-27,2021-09-16,-11 day ahead inc hosp,mean,,3055,COVID-19
DE,00+,2021-09-27,2021-09-16,-11 day ahead inc hosp,quantile,0.025,2940,COVID-19
DE,00+,2021-09-27,2021-09-16,-11 day ahead inc hosp,quantile,0.1,2963,COVID-19
DE,00+,2021-09-27,2021-09-16,-11 day ahead inc hosp,quantile,0.25,2988,COVID-19
DE,00+,2021-09-27,2021-09-16,-11 day ahead inc hosp,quantile,0.5,3037,COVID-19
DE,00+,2021-09-27,2021-09-16,-11 day ahead inc hosp,quantile,0.75,3110,COVID-19
DE,00+,2021-09-27,2021-09-16,-11 day ahead inc hosp,quantile,0.9,3170,COVID-19
DE,00+,2021-09-27,2021-09-16,-11 day ahead inc hosp,quantile,0.975,3244,COVID-19
DE,00+,2021-09-27,2021-09-15,-12 day ahead inc hosp,mean,,3085,COVID-19
DE,00+,2021-09-27,2021-09-15,-12 day ahead inc hosp,quantile,0.025,2978,COVID-19
DE,00+,2021-09-27,2021-09-15,-12 day ahead inc hosp,quantile,0.1,3000,COVID-19
DE,00+,2021-09-27,2021-09-15,-12 day ahead inc hosp,quantile,0.25,3020,COVID-19
DE,00+,2021-09-27,2021-09-15,-12 day ahead inc hosp,quantile,0.5,3068,COVID-19
DE,00+,2021-09-27,2021-09-15,-12 day ahead inc hosp,quantile,0.75,3137,COVID-19
DE,00+,2021-09-27,2021-09-15,-12 day ahead inc hosp,quantile,0.9,3195,COVID-19
DE,00+,2021-09-27,2021-09-15,-12 day ahead inc hosp,quantile,0.975,3266,COVID-19
DE,00+,2021-09-27,2021-09-14,-13 day ahead inc hosp,mean,,3178,COVID-19
DE,00+,2021-09-27,2021-09-14,-13 day ahead inc hosp,quantile,0.025,3076,COVID-19
DE,00+,2021-09-27,2021-09-14,-13 day ahead inc hosp,quantile,0.1,3097,COVID-19
DE,00+,2021-09-27,2021-09-14,-13 day ahead inc hosp,quantile,0.25,3114,COVID-19
DE,00+,2021-09-27,2021-09-14,-13 day ahead inc hosp,quantile,0.5,3161,COVID-19
DE,00+,2021-09-27,2021-09-14,-13 day ahead inc hosp,quantile,0.75,3228,COVID-19
DE,00+,2021-09-27,2021-09-14,-13 day ahead inc hosp,quantile,0.9,3285,COVID-19
DE,00+,2021-09-27,2021-09-14,-13 day ahead inc hosp,quantile,0.975,3355,COVID-19
DE,00+,2021-09-27,2021-09-13,-14 day ahead inc hosp,mean,,3176,COVID-19
DE,00+,2021-09-27,2021-09-13,-14 day ahead inc hosp,quantile,0.025,3081,COVID-19
DE,00+,2021-09-27,2021-09-13,-14 day ahead inc hosp,quantile,0.1,3100,COVID-19
DE,00+,2021-09-27,2021-09-13,-14 day ahead inc hosp,quantile,0.25,3116,COVID-19
DE,00+,2021-09-27,2021-09-13,-14 day ahead inc hosp,quantile,0.5,3159,COVID-19
DE,00+,2021-09-27,2021-09-13,-14 day ahead inc hosp,quantile,0.75,3223,COVID-19
DE,00+,2021-09-27,2021-09-13,-14 day ahead inc hosp,quantile,0.9,3276,COVID-19
DE,00+,2021-09-27,2021-09-13,-14 day ahead inc hosp,quantile,0.975,3342,COVID-19
DE,00+,2021-09-27,2021-09-12,-15 day ahead inc hosp,mean,,3180,COVID-19
DE,00+,2021-09-27,2021-09-12,-15 day ahead inc hosp,quantile,0.025,3088,COVID-19
DE,00+,2021-09-27,2021-09-12,-15 day ahead inc hosp,quantile,0.1,3106,COVID-19
DE,00+,2021-09-27,2021-09-12,-15 day ahead inc hosp,quantile,0.25,3122,COVID-19
DE,00+,2021-09-27,2021-09-12,-15 day ahead inc hosp,quantile,0.5,3164,COVID-19
DE,00+,2021-09-27,2021-09-12,-15 day ahead inc hosp,quantile,0.75,3226,COVID-19
DE,00+,2021-09-27,2021-09-12,-15 day ahead inc hosp,quantile,0.9,3278,COVID-19
DE,00+,2021-09-27,2021-09-12,-15 day ahead inc hosp,quantile,0.975,3342,COVID-19
DE,00+,2021-09-27,2021-09-11,-16 day ahead inc hosp,mean,,3214,COVID-19
DE,00+,2021-09-27,2021-09-11,-16 day ahead inc hosp,quantile,0.025,3125,COVID-19
DE,00+,2021-09-27,2021-09-11,-16 day ahead inc hosp,quantile,0.1,3142,COVID-19
DE,00+,2021-09-27,2021-09-11,-16 day ahead inc hosp,quantile,0.25,3158,COVID-19
DE,00+,2021-09-27,2021-09-11,-16 day ahead inc hosp,quantile,0.5,3198,COVID-19
DE,00+,2021-09-27,2021-09-11,-16 day ahead inc hosp,quantile,0.75,3258,COVID-19
DE,00+,2021-09-27,2021-09-11,-16 day ahead inc hosp,quantile,0.9,3309,COVID-19
DE,00+,2021-09-27,2021-09-11,-16 day ahead inc hosp,quantile,0.975,3371,COVID-19
DE,00+,2021-09-27,2021-09-10,-17 day ahead inc hosp,mean,,3223,COVID-19
DE,00+,2021-09-27,2021-09-10,-17 day ahead inc hosp,quantile,0.025,3139,COVID-19
DE,00+,2021-09-27,2021-09-10,-17 day ahead inc hosp,quantile,0.1,3155,COVID-19
DE,00+,2021-09-27,2021-09-10,-17 day ahead inc hosp,quantile,0.25,3170,COVID-19
DE,00+,2021-09-27,2021-09-10,-17 day ahead inc hosp,quantile,0.5,3208,COVID-19
DE,00+,2021-09-27,2021-09-10,-17 day ahead inc hosp,quantile,0.75,3264,COVID-19
DE,00+,2021-09-27,2021-09-10,-17 day ahead inc hosp,quantile,0.9,3312,COVID-19
DE,00+,2021-09-27,2021-09-10,-17 day ahead inc hosp,quantile,0.975,3372,COVID-19
DE,00+,2021-09-27,2021-09-09,-18 day ahead inc hosp,mean,,3203,COVID-19
DE,00+,2021-09-27,2021-09-09,-18 day ahead inc hosp,quantile,0.025,3125,COVID-19
DE,00+,2021-09-27,2021-09-09,-18 day ahead inc hosp,quantile,0.1,3140,COVID-19
DE,00+,2021-09-27,2021-09-09,-18 day ahead inc hosp,quantile,0.25,3153,COVID-19
DE,00+,2021-09-27,2021-09-09,-18 day ahead inc hosp,quantile,0.5,3189,COVID-19
DE,00+,2021-09-27,2021-09-09,-18 day ahead inc hosp,quantile,0.75,3241,COVID-19
DE,00+,2021-09-27,2021-09-09,-18 day ahead inc hosp,quantile,0.9,3286,COVID-19
DE,00+,2021-09-27,2021-09-09,-18 day ahead inc hosp,quantile,0.975,3342,COVID-19
DE,00+,2021-09-27,2021-09-08,-19 day ahead inc hosp,mean,,3182,COVID-19
DE,00+,2021-09-27,2021-09-08,-19 day ahead inc hosp,quantile,0.025,3110,COVID-19
DE,00+,2021-09-27,2021-09-08,-19 day ahead inc hosp,quantile,0.1,3124,COVID-19
DE,00+,2021-09-27,2021-09-08,-19 day ahead inc hosp,quantile,0.25,3136,COVID-19
DE,00+,2021-09-27,2021-09-08,-19 day ahead inc hosp,quantile,0.5,3169,COVID-19
