date,location,age_group,value
2020-03-06,DE,00+,21
2020-03-07,DE,00+,49
2020-03-08,DE,00+,20
2020-03-09,DE,00+,16
2020-03-10,DE,00+,40
2020-03-11,DE,00+,58
2020-03-12,DE,00+,60
2020-03-13,DE,00+,80
2020-03-14,DE,00+,123
2020-03-15,DE,00+,78
2020-03-16,DE,00+,90
2020-03-17,DE,00+,201
2020-03-18,DE,00+,229
2020-03-19,DE,00+,330
2020-03-20,DE,00+,353
2020-03-21,DE,00+,410
2020-03-22,DE,00+,406
2020-03-23,DE,00+,306
2020-03-24,DE,00+,503
2020-03-25,DE,00+,694
2020-03-26,DE,00+,821
2020-03-27,DE,00+,843
2020-03-28,DE,00+,897
2020-03-29,DE,00+,805
2020-03-30,DE,00+,588
2020-03-31,DE,00+,835
2020-04-01,DE,00+,1121
2020-04-02,DE,00+,1043
2020-04-03,DE,00+,973
2020-04-04,DE,00+,990
2020-04-05,DE,00+,689
2020-04-06,DE,00+,457
2020-04-07,DE,00+,764
2020-04-08,DE,00+,872
2020-04-09,DE,00+,884
2020-04-10,DE,00+,798
2020-04-11,DE,00+,522
2020-04-12,DE,00+,515
2020-04-13,DE,00+,393
2020-04-14,DE,00+,387
2020-04-15,DE,00+,578
2020-04-16,DE,00+,680
2020-04-17,DE,00+,585
2020-04-18,DE,00+,516
2020-04-19,DE,00+,376
2020-04-20,DE,00+,272
2020-04-21,DE,00+,420
2020-04-22,DE,00+,401
2020-04-23,DE,00+,435
2020-04-24,DE,00+,315
2020-04-25,DE,00+,311
2020-04-26,DE,00+,235
2020-04-27,DE,00+,121
2020-04-28,DE,00+,241
2020-04-29,DE,00+,310
2020-04-30,DE,00+,238
2020-05-01,DE,00+,259
2020-05-02,DE,00+,140
2020-05-03,DE,00+,106
2020-05-04,DE,00+,73
2020-05-05,DE,00+,165
2020-05-06,DE,00+,211
2020-05-07,DE,00+,210
2020-05-08,DE,00+,198
2020-05-09,DE,00+,147
2020-05-10,DE,00+,89
2020-05-11,DE,00+,62
2020-05-12,DE,00+,148
2020-05-13,DE,00+,151
2020-05-14,DE,00+,126
2020-05-15,DE,00+,118
2020-05-16,DE,00+,117
2020-05-17,DE,00+,59
2020-05-18,DE,00+,44
2020-05-19,DE,00+,73
2020-05-20,DE,00+,114
2020-05-21,DE,00+,101
2020-05-22,DE,00+,52
2020-05-23,DE,00+,86
2020-05-24,DE,00+,50
2020-05-25,DE,00+,39
2020-05-26,DE,00+,80
2020-05-27,DE,00+,81
2020-05-28,DE,00+,68
2020-05-29,DE,00+,75
2020-05-30,DE,00+,52
2020-05-31,DE,00+,40
2020-06-01,DE,00+,23
2020-06-02,DE,00+,27
2020-06-03,DE,00+,52
2020-06-04,DE,00+,71
2020-06-05,DE,00+,52
2020-06-06,DE,00+,43
2020-06-07,DE,00+,39
2020-06-08,DE,00+,22
2020-06-09,DE,00+,32
2020-06-10,DE,00+,41
2020-06-11,DE,00+,55
2020-06-12,DE,00+,34
2020-06-13,DE,00+,60
2020-06-14,DE,00+,34
2020-06-15,DE,00+,37
2020-06-16,DE,00+,37
2020-06-17,DE,00+,62
2020-06-18,DE,00+,46
2020-06-19,DE,00+,51
2020-06-20,DE,00+,60
2020-06-21,DE,00+,39
2020-06-22,DE,00+,28
2020-06-23,DE,00+,41
2020-06-24,DE,00+,54
2020-06-25,DE,00+,49
2020-06-26,DE,00+,55
