location,age_group,date,value
DE,00+,2020-03-06,21
DE,00+,2020-03-07,49
DE,00+,2020-03-08,20
DE,00+,2020-03-09,16
DE,00+,2020-03-10,40
DE,00+,2020-03-11,58
DE,00-04,2020-03-06,0
DE,00-04,2020-03-07,1
DE,00-04,2020-03-08,0
DE,00-04,2020-03-09,1
DE,00-04,2020-03-10,0
DE,00-04,2020-03-11,0
DE,05-14,2020-03-06,0
DE,05-14,2020-03-07,3
DE,05-14,2020-03-08,0
DE,05-14,2020-03-09,0
DE,05-14,2020-03-10,0
DE,05-14,2020-03-11,1
DE,15-34,2020-03-06,3
DE,15-34,2020-03-07,7
DE,15-34,2020-03-08,3
DE,15-34,2020-03-09,0
DE,15-34,2020-03-10,4
DE,15-34,2020-03-11,11
DE,35-59,2020-03-06,15
DE,35-59,2020-03-07,22
DE,35-59,2020-03-08,7
DE,35-59,2020-03-09,11
DE,35-59,2020-03-10,18
DE,35-59,2020-03-11,25
DE,60-79,2020-03-06,1
DE,60-79,2020-03-07,11
DE,60-79,2020-03-08,10
DE,60-79,2020-03-09,2
DE,60-79,2020-03-10,11
DE,60-79,2020-03-11,14
DE,80+,2020-03-06,2
DE,80+,2020-03-07,5
DE,80+,2020-03-08,0
DE,80+,2020-03-09,2
DE,80+,2020-03-10,7
DE,80+,2020-03-11,7
DE-BB,00+,2020-03-06,0
DE-BB,00+,2020-03-07,0
DE-BB,00+,2020-03-08,0
DE-BB,00+,2020-03-09,1
DE-BB,00+,2020-03-10,1
DE-BB,00+,2020-03-11,1
DE-BB,00-04,2020-03-06,0
DE-BB,00-04,2020-03-07,0
DE-BB,00-04,2020-03-08,0
DE-BB,00-04,2020-03-09,0
DE-BB,00-04,2020-03-10,0
DE-BB,00-04,2020-03-11,0
DE-BB,05-14,2020-03-06,0
DE-BB,05-14,2020-03-07,0
DE-BB,05-14,2020-03-08,0
DE-BB,05-14,2020-03-09,0
DE-BB,05-14,2020-03-10,0
DE-BB,05-14,2020-03-11,0
DE-BB,15-34,2020-03-06,0
DE-BB,15-34,2020-03-07,0
DE-BB,15-34,2020-03-08,0
DE-BB,15-34,2020-03-09,0
DE-BB,15-34,2020-03-10,1
DE-BB,15-34,2020-03-11,0
DE-BB,35-59,2020-03-06,0
DE-BB,35-59,2020-03-07,0
DE-BB,35-59,2020-03-08,0
DE-BB,35-59,2020-03-09,0
DE-BB,35-59,2020-03-10,0
DE-BB,35-59,2020-03-11,0
DE-BB,60-79,2020-03-06,0
DE-BB,60-79,2020-03-07,0
DE-BB,60-79,2020-03-08,0
DE-BB,60-79,2020-03-09,1
DE-BB,60-79,2020-03-10,0
DE-BB,60-79,2020-03-11,1
DE-BB,80+,2020-03-06,0
DE-BB,80+,2020-03-07,0
DE-BB,80+,2020-03-08,0
DE-BB,80+,2020-03-09,0
DE-BB,80+,2020-03-10,0
DE-BB,80+,2020-03-11,0
DE-BE,00+,2020-03-06,0
DE-BE,00+,2020-03-07,0
DE-BE,00+,2020-03-08,0
DE-BE,00+,2020-03-09,0
DE-BE,00+,2020-03-10,3
DE-BE,00+,2020-03-11,1
DE-BE,00-04,2020-03-06,0
DE-BE,00-04,2020-03-07,0
DE-BE,00-04,2020-03-08,0
DE-BE,00-04,2020-03-09,0
