date,location,age_group,value
2021-05-20,GM,00-04,36
2021-05-20,GM,00+,1824
2021-05-20,GM,05-14,31
2021-05-20,GM,15-34,259
2021-05-20,GM,35-59,481
2021-05-20,GM,60-79,651
2021-05-20,GM,80+,366
2021-05-20,GM10,00-04,1
2021-05-20,GM10,00+,41
2021-05-20,GM10,05-14,3
2021-05-20,GM10,15-34,9
2021-05-20,GM10,35-59,13
2021-05-20,GM10,60-79,9
2021-05-20,GM10,80+,6
2021-05-20,GM04,00-04,1
2021-05-20,GM04,00+,11
2021-05-20,GM04,05-14,0
2021-05-20,GM04,15-34,1
2021-05-20,GM04,35-59,3
2021-05-20,GM04,60-79,3
2021-05-20,GM04,80+,3
2021-05-20,GM06,00-04,3
2021-05-20,GM06,00+,91
2021-05-20,GM06,05-14,2
2021-05-20,GM06,15-34,12
2021-05-20,GM06,35-59,28
2021-05-20,GM06,60-79,31
2021-05-20,GM06,80+,15
2021-05-20,GM03,00-04,0
2021-05-20,GM03,00+,20
2021-05-20,GM03,05-14,0
2021-05-20,GM03,15-34,3
2021-05-20,GM03,35-59,7
2021-05-20,GM03,60-79,8
2021-05-20,GM03,80+,2
2021-05-20,GM07,00-04,9
2021-05-20,GM07,00+,351
2021-05-20,GM07,05-14,5
2021-05-20,GM07,15-34,56
2021-05-20,GM07,35-59,100
2021-05-20,GM07,60-79,122
2021-05-20,GM07,80+,59
2021-05-20,GM05,00-04,6
2021-05-20,GM05,00+,138
2021-05-20,GM05,05-14,3
2021-05-20,GM05,15-34,21
2021-05-20,GM05,35-59,40
2021-05-20,GM05,60-79,41
2021-05-20,GM05,80+,27
2021-05-20,GM08,00-04,1
2021-05-20,GM08,00+,66
2021-05-20,GM08,05-14,2
2021-05-20,GM08,15-34,16
2021-05-20,GM08,35-59,21
2021-05-20,GM08,60-79,19
2021-05-20,GM08,80+,7
2021-05-20,GM01,00-04,5
2021-05-20,GM01,00+,283
2021-05-20,GM01,05-14,5
2021-05-20,GM01,15-34,41
