model,target_type,target_end_date,location,age_group,pathogen,mean,q0.025,q0.1,q0.25,q0.5,q0.75,q0.9,q0.975,retrospective
KIT-simple_nowcast,hosp,2021-08-17,DE,00+,COVID-19,1680,1649,1655,1663,1676,1691,1709,1733,True
KIT-simple_nowcast,hosp,2021-08-18,DE,00+,COVID-19,1797,1761,1769,1778,1792,1811,1831,1859,True
KIT-simple_nowcast,hosp,2021-08-19,DE,00+,COVID-19,1884,1844,1852,1863,1878,1899,1922,1952,True
KIT-simple_nowcast,hosp,2021-08-20,DE,00+,COVID-19,1976,1931,1941,1952,1970,1993,2018,2052,True
KIT-simple_nowcast,hosp,2021-08-21,DE,00+,COVID-19,2060,2011,2022,2035,2054,2079,2106,2144,True
KIT-simple_nowcast,hosp,2021-08-22,DE,00+,COVID-19,2128,2076,2087,2101,2121,2148,2178,2217,True
KIT-simple_nowcast,hosp,2021-08-23,DE,00+,COVID-19,2187,2132,2144,2159,2181,2208,2239,2279,True
KIT-simple_nowcast,hosp,2021-08-24,DE,00+,COVID-19,2309,2247,2261,2278,2302,2332,2366,2411,True
KIT-simple_nowcast,hosp,2021-08-25,DE,00+,COVID-19,2469,2397,2413,2433,2461,2496,2535,2586,True
KIT-simple_nowcast,hosp,2021-08-26,DE,00+,COVID-19,2640,2557,2576,2599,2631,2671,2715,2772,True
KIT-simple_nowcast,hosp,2021-08-27,DE,00+,COVID-19,2743,2653,2674,2699,2734,2777,2824,2884,True
KIT-simple_nowcast,hosp,2021-08-28,DE,00+,COVID-19,2841,2744,2768,2796,2833,2877,2925,2986,True
KIT-simple_nowcast,hosp,2021-08-29,DE,00+,COVID-19,2918,2815,2841,2870,2909,2956,3006,3069,True
KIT-simple_nowcast,hosp,2021-08-30,DE,00+,COVID-19,2940,2835,2862,2892,2932,2979,3029,3092,True
KIT-simple_nowcast,hosp,2021-08-31,DE,00+,COVID-19,2935,2823,2853,2885,2927,2977,3028,3093,True
KIT-simple_nowcast,hosp,2021-09-01,DE,00+,COVID-19,2950,2824,2859,2895,2942,2997,3052,3122,True
KIT-simple_nowcast,hosp,2021-09-02,DE,00+,COVID-19,2919,2783,2821,2861,2912,2969,3027,3100,True
KIT-simple_nowcast,hosp,2021-09-03,DE,00+,COVID-19,2933,2785,2827,2871,2925,2986,3048,3123,True
KIT-simple_nowcast,hosp,2021-09-04,DE,00+,COVID-19,2972,2812,2859,2906,2964,3029,3094,3173,True
KIT-simple_nowcast,hosp,2021-09-05,DE,00+,COVID-19,2980,2814,2863,2913,2973,3040,3105,3185,True
KIT-simple_nowcast,hosp,2021-09-06,DE,00+,COVID-19,2985,2818,2868,2918,2979,3046,3111,3190,True
KIT-simple_nowcast,hosp,2021-09-07,DE,00+,COVID-19,3010,2838,2891,2943,3004,3071,3136,3214,True
KIT-simple_nowcast,hosp,2021-09-08,DE,00+,COVID-19,3029,2849,2906,2960,3024,3093,3159,3237,True
KIT-simple_nowcast,hosp,2021-09-09,DE,00+,COVID-19,3033,2814,2882,2948,3026,3110,3191,3288,True
KIT-simple_nowcast,hosp,2021-09-10,DE,00+,COVID-19,3008,2737,2820,2901,2999,3104,3206,3329,True
KIT-simple_nowcast,hosp,2021-09-11,DE,00+,COVID-19,2921,2601,2698,2794,2910,3036,3159,3307,True
KIT-simple_nowcast,hosp,2021-09-12,DE,00+,COVID-19,2839,2450,2565,2680,2822,2979,3133,3322,True
KIT-simple_nowcast,hosp,2021-09-13,DE,00+,COVID-19,2812,2344,2479,2616,2788,2982,3176,3415,True
KIT-simple_nowcast,hosp,2021-09-14,DE,00+,COVID-19,2842,2228,2402,2581,2809,3067,3327,3649,True
