model,target_type,target_end_date,location,age_group,pathogen,mean,q0.025,q0.1,q0.25,q0.5,q0.75,q0.9,q0.975
RKI-weekly_report,hosp,2021-09-18,DE,00+,COVID-19,2792.0,2734.0,,,,,,2846.0
RKI-weekly_report,hosp,2021-09-19,DE,00+,COVID-19,2733.0,2677.0,,,,,,2797.0
RKI-weekly_report,hosp,2021-09-20,DE,00+,COVID-19,2672.0,2608.0,,,,,,2743.0
RKI-weekly_report,hosp,2021-09-21,DE,00+,COVID-19,2611.0,2553.0,,,,,,2674.0
RKI-weekly_report,hosp,2021-09-22,DE,00+,COVID-19,2566.0,2522.0,,,,,,2622.0
RKI-weekly_report,hosp,2021-09-23,DE,00+,COVID-19,2571.0,2522.0,,,,,,2616.0
RKI-weekly_report,hosp,2021-09-24,DE,00+,COVID-19,2559.0,2499.0,,,,,,2611.0
RKI-weekly_report,hosp,2021-09-25,DE,00+,COVID-19,2532.0,2484.0,,,,,,2593.0
RKI-weekly_report,hosp,2021-09-26,DE,00+,COVID-19,2540.0,2490.0,,,,,,2611.0
RKI-weekly_report,hosp,2021-09-27,DE,00+,COVID-19,2575.0,2504.0,,,,,,2668.0
RKI-weekly_report,hosp,2021-09-28,DE,00+,COVID-19,2656.0,2559.0,,,,,,2754.0
RKI-weekly_report,hosp,2021-09-29,DE,00+,COVID-19,2696.0,2608.0,,,,,,2783.0
RKI-weekly_report,hosp,2021-09-30,DE,00+,COVID-19,2663.0,2576.0,,,,,,2754.0
RKI-weekly_report,hosp,2021-10-01,DE,00+,COVID-19,2658.0,2576.0,,,,,,2749.0
RKI-weekly_report,hosp,2021-10-02,DE,00+,COVID-19,2669.0,2585.0,,,,,,2760.0
RKI-weekly_report,hosp,2021-10-03,DE,00+,COVID-19,2678.0,2585.0,,,,,,2766.0
RKI-weekly_report,hosp,2021-10-04,DE,00+,COVID-19,2673.0,2555.0,,,,,,2766.0
RKI-weekly_report,hosp,2021-10-05,DE,00+,COVID-19,2621.0,2522.0,,,,,,2737.0
RKI-weekly_report,hosp,2021-10-06,DE,00+,COVID-19,2628.0,2524.0,,,,,,2760.0
RKI-weekly_report,hosp,2021-10-07,DE,00+,COVID-19,2700.0,2556.0,,,,,,2858.0
RKI-weekly_report,hosp,2021-10-08,DE,00+,COVID-19,2800.0,2641.0,,,,,,2961.0
RKI-weekly_report,hosp,2021-10-09,DE,00+,COVID-19,2871.0,2734.0,,,,,,3016.0
testteam-testmodel,hosp,2021-09-18,DE,00+,COVID-19,2744.0,1672.0,1990.0,2308.0,2698.0,3131.0,3557.0,4076.0
testteam-testmodel,hosp,2021-09-18,DE,00-04,COVID-19,82.0,46.0,57.0,68.0,81.0,95.0,109.0,126.0
testteam-testmodel,hosp,2021-09-18,DE,05-14,COVID-19,48.0,26.0,33.0,39.0,47.0,57.0,65.0,76.0
testteam-testmodel,hosp,2021-09-18,DE,15-34,COVID-19,473.0,285.0,341.0,396.0,465.0,541.0,615.0,706.0
testteam-testmodel,hosp,2021-09-18,DE,35-59,COVID-19,975.0,591.0,705.0,819.0,958.0,1113.0,1265.0,1451.0
testteam-testmodel,hosp,2021-09-18,DE,60-79,COVID-19,655.0,396.0,473.0,550.0,644.0,748.0,851.0,976.0
testteam-testmodel,hosp,2021-09-18,DE,80+,COVID-19,543.0,328.0,392.0,456.0,534.0,621.0,707.0,811.0
testteam-testmodel,hosp,2021-09-19,DE,00+,COVID-19,2690.0,1639.0,1951.0,2262.0,2645.0,3069.0,3486.0,3995.0
testteam-testmodel,hosp,2021-09-19,DE,00-04,COVID-19,77.0,43.0,53.0,63.0,75.0,89.0,102.0,119.0
testteam-testmodel,hosp,2021-09-19,DE,05-14,COVID-19,51.0,28.0,35.0,42.0,50.0,60.0,69.0,81.0
testteam-testmodel,hosp,2021-09-19,DE,15-34,COVID-19,460.0,277.0,331.0,385.0,452.0,526.0,598.0,687.0
testteam-testmodel,hosp,2021-09-19,DE,35-59,COVID-19,975.0,591.0,705.0,819.0,958.0,1113.0,1265.0,1451.0
testteam-testmodel,hosp,2021-09-19,DE,60-79,COVID-19,639.0,386.0,461.0,536.0,628.0,730.0,830.0,953.0
