model,target_type,target_end_date,location,age_group,pathogen,q0.025,q0.1,q0.25,q0.5,q0.75,q0.9,q0.975
testteam,hosp,2021-07-18,DE,0 to 4,COVID-19,4,6,8,10,12,14,17
testteam,hosp,2021-07-18,DE,15 to 34,COVID-19,78,84,90,97,104,110,117
testteam,hosp,2021-07-18,DE,35 to 59,COVID-19,129,137,145,153,161,169,178
testteam,hosp,2021-07-18,DE,5 to 14,COVID-19,0,1,2,3,4,5,7
testteam,hosp,2021-07-18,DE,60 to 79,COVID-19,67,73,79,85,91,97,104
testteam,hosp,2021-07-18,DE,80 plus,COVID-19,32,37,40,45,49,54,59
testteam,hosp,2021-07-25,DE,0 to 4,COVID-19,7,9,11,14,16,19,22
testteam,hosp,2021-07-25,DE,15 to 34,COVID-19,115,122,129,137,145,152,160
testteam,hosp,2021-07-25,DE,35 to 59,COVID-19,138,146,153,162,170,178,187
testteam,hosp,2021-07-25,DE,5 to 14,COVID-19,2,3,4,6,8,9,11
testteam,hosp,2021-07-25,DE,60 to 79,COVID-19,81,87,93,100,107,113,120
testteam,hosp,2021-07-25,DE,80 plus,COVID-19,41,46,50,55,60,65,70
testteam,hosp,2021-08-01,DE,0 to 4,COVID-19,9,12,14,17,20,22,26
testteam,hosp,2021-08-01,DE,0 to 4,COVID-19,9,12,14,17,20,22,26
testteam,hosp,2021-08-01,DE,15 to 34,COVID-19,90,97,103,110,117,124,131
testteam,hosp,2021-08-01,DE,15 to 34,COVID-19,90,97,103,110,117,124,131
testteam,hosp,2021-08-01,DE,35 to 59,COVID-19,131,139,147,155,163,171,180
testteam,hosp,2021-08-01,DE,35 to 59,COVID-19,131,139,147,155,163,171,180
testteam,hosp,2021-08-01,DE,5 to 14,COVID-19,8,10,12,15,18,20,23
testteam,hosp,2021-08-01,DE,5 to 14,COVID-19,8,10,12,15,18,20,23
testteam,hosp,2021-08-01,DE,60 to 79,COVID-19,83,89,95,102,109,115,122
testteam,hosp,2021-08-01,DE,60 to 79,COVID-19,83,89,95,102,109,115,122
testteam,hosp,2021-08-01,DE,80 plus,COVID-19,53,58,63,69,75,80,86
testteam,hosp,2021-08-01,DE,80 plus,COVID-19,53,58,63,69,75,80,86
testteam2,hosp,2021-07-18,DE,0 to 4,COVID-19,4,6,8,10,12,14,17
testteam2,hosp,2021-07-18,DE,15 to 34,COVID-19,78,84,90,97,104,110,117
testteam2,hosp,2021-07-18,DE,35 to 59,COVID-19,129,137,145,153,161,169,178
testteam2,hosp,2021-07-18,DE,5 to 14,COVID-19,0,1,2,3,4,5,7
testteam2,hosp,2021-07-18,DE,60 to 79,COVID-19,67,73,79,85,91,97,104
testteam2,hosp,2021-07-18,DE,80 plus,COVID-19,32,37,40,45,49,54,59
testteam2,hosp,2021-07-25,DE,0 to 4,COVID-19,7,9,11,14,16,19,22
testteam2,hosp,2021-07-25,DE,15 to 34,COVID-19,115,122,129,137,145,152,160
testteam2,hosp,2021-07-25,DE,35 to 59,COVID-19,138,146,153,162,170,178,187
testteam2,hosp,2021-07-25,DE,5 to 14,COVID-19,2,3,4,6,8,9,11
testteam2,hosp,2021-07-25,DE,60 to 79,COVID-19,81,87,93,100,107,113,120
testteam2,hosp,2021-07-25,DE,80 plus,COVID-19,41,46,50,55,60,65,70
testteam2,hosp,2021-08-01,DE,0 to 4,COVID-19,9,12,14,17,20,22,26
testteam2,hosp,2021-08-01,DE,0 to 4,COVID-19,9,12,14,17,20,22,26
testteam2,hosp,2021-08-01,DE,15 to 34,COVID-19,90,97,103,110,117,124,131
testteam2,hosp,2021-08-01,DE,15 to 34,COVID-19,90,97,103,110,117,124,131
testteam2,hosp,2021-08-01,DE,35 to 59,COVID-19,131,139,147,155,163,171,180
testteam2,hosp,2021-08-01,DE,35 to 59,COVID-19,131,139,147,155,163,171,180
testteam2,hosp,2021-08-01,DE,5 to 14,COVID-19,8,10,12,15,18,20,23
testteam2,hosp,2021-08-01,DE,5 to 14,COVID-19,8,10,12,15,18,20,23
testteam2,hosp,2021-08-01,DE,60 to 79,COVID-19,83,89,95,102,109,115,122
testteam2,hosp,2021-08-01,DE,60 to 79,COVID-19,83,89,95,102,109,115,122
testteam2,hosp,2021-08-01,DE,80 plus,COVID-19,53,58,63,69,75,80,86
testteam2,hosp,2021-08-01,DE,80 plus,COVID-19,53,58,63,69,75,80,86
